simulation,HarderLASSO_QUT_(20)_mse,HarderLASSO_QUT_(20)_features,"HarderLASSO_QUT_(20, 10)_mse","HarderLASSO_QUT_(20, 10)_features","HarderLASSO_QUT_(20, 10, 5)_mse","HarderLASSO_QUT_(20, 10, 5)_features"
0,21.773190225764797,"11,23,34,44",0.009931616483280774,"11,23,34,44",0.008679375730547875,"11,23,34,44"
1,13.516151940169292,"20,26,40,47",0.01464695269707461,"20,26,40,47",43.68156700777203,"26,47"
2,22.825625007313377,"24,26,27,29",0.018010352050938594,"24,26,27,29",0.011963651027549862,"24,26,27,29"
3,21.33832776221007,"8,14,19,35",0.011581736790086478,"8,14,19,35",1.7627397687911799,"8,14,19,35"
4,22.259112141169762,"3,16,22,40",0.030969155661541875,"3,16,22,40",0.009937478107198128,"3,16,22,40"
5,22.658692805402886,"12,19,36,45",0.24118038799491656,"12,19,36,45",0.023739383857963838,"12,19,36,45"
6,13.653204871444439,"12,15,29,35",0.012242014423796205,"12,15,29,35",0.009602714238183346,"12,15,29,35"
7,22.50769403186892,"11,35,38,47",0.021083281148167272,"11,35,38,47",0.015056876735739536,"11,35,38,47"
8,0.011542114075640935,"13,16,34,45",0.006224704897262159,"13,16,34,45",0.008060656492024294,"13,16,34,45"
9,21.71391530923075,"13,32,33,34",0.009159834523945904,"13,32,33,34",0.009334034242408584,"13,32,33,34"
10,22.319703363355504,"0,11,12,17",0.013837045181299886,"0,11,12,17",57.50950644194184,
11,21.633174186827677,"5,17,24,47",0.013780818574632559,"5,17,24,47",0.012430544966941473,"5,17,24,47"
12,23.745131317968294,"7,37,38,46",0.008405905690212752,"7,37,38,46",0.012956401360199696,"7,37,38,46"
13,24.990474849835028,"17,25,38,42",0.018688258867948917,"17,25,38,42",0.018043891095166728,"17,25,38,42"
14,22.429976395836768,"14,25,29,30",0.04729970461538685,"14,25,29,30",2.0657008841129416,"14,25,29,30"
15,24.208973027578246,"27,28,40,45",0.020960426894321423,"27,28,40,45",57.578563543789144,
16,23.50505107105621,"1,7,21,35",0.009650212781055214,"1,7,21,35",34.471177349302536,"1,7,21,35"
17,21.87429222885734,"10,23,38,39",0.02398502158123668,"10,23,38,39",1.3611307266313661,"10,23,38,39"
18,24.012215871492256,"2,4,26,33",0.019659699062243133,"2,4,26,33",62.68791635007833,
19,14.56982131835028,"9,12,30,43",0.008008373897616954,"9,12,30,43",0.009234856299685849,"9,12,30,43"
20,14.932689280957952,"10,21,37,49",0.008319289889392277,"10,21,37,49",0.006578451909576379,"10,21,37,49"
21,22.6992059690562,"3,9,25,28",0.025287799458501178,"3,9,25,28",0.011187561961756031,"3,9,25,28"
22,22.63377017326204,"16,44,46,48",0.3331920787573817,"16,44,46,48",1.0504672570184241,"16,44,46,48"
23,23.26454800521853,"3,4,29,32",0.023226603483714036,"3,4,29,32",0.017914698532403624,"3,4,29,32"
24,24.50369955675528,"5,21,34,39",0.009017993927674696,"5,21,34,39",0.018837334673076515,"5,21,34,39"
25,23.141555278134163,"8,11,21,49",0.007224211151782004,"8,11,21,49",0.00976305548175522,"8,11,21,49"
26,22.177173177471886,"19,29,33,36",0.01023108039383389,"19,29,33,36",0.010220792877038446,"19,29,33,36"
27,21.378397009844313,"1,9,33,39",0.014853604345442627,"1,9,33,39",0.006648145996592918,"1,9,33,39"
28,23.809114785837462,"6,7,35,38",0.019247032186589297,"6,7,35,38",0.013516850829183151,"6,7,35,38"
29,21.148924191702957,"10,34,39,45",7.8443647582308484,"10,34,39,45",13.322703471263791,"10,34,39,45"
30,22.822025416158976,"4,30,47,49",0.01448069947950374,"4,30,47,49",0.010441579323947764,"4,30,47,49"
31,15.611263248037343,"10,22,35,38",0.011781755919867394,"10,22,35,38",23.201061155644833,"10,22,35,38"
32,22.302663659350813,"3,19,26,30",0.348409704303929,"3,19,26,30",4.211123710672663,"3,19,26,30"
33,13.589944458000907,"4,16,24,29",0.014345531277223612,"4,16,24,29",0.01900665218113515,"4,16,24,29"
34,22.43632182286037,"6,7,12,28",0.010954531925683589,"6,7,12,28",0.0072579824027544666,"6,7,12,28"
35,22.498831168163367,"24,35,42,43",0.6970133896602264,"24,35,42,43",0.012425541314118162,"24,35,42,43"
36,15.514921467706179,"19,38,41,45",0.016973942658197246,"19,38,41,45",0.011203179900993428,"19,38,41,45"
37,20.867309829822617,"7,27,29,49",0.018295242577384307,"7,27,29,49",0.022944081878330854,"7,27,29,49"
38,23.089193262937325,"21,24,38,47",0.00901065557512173,"21,24,38,47",0.008438895338654199,"21,24,38,47"
39,22.226028775414797,"5,16,27,41",0.015759586530577196,"5,16,27,41",0.01650172723096304,"5,16,27,41"
40,14.217845470724416,"0,1,9,11",0.02673123416249319,"0,1,9,11",0.015108733281052899,"0,1,9,11"
41,24.03345269088814,"14,18,22,46",15.560749426867407,"14,18,22,46",0.02056472481237783,"14,18,22,46"
42,22.000683764706437,"9,16,24,32",0.014886820891548004,"9,16,24,32",0.01723392531011448,"9,16,24,32"
43,21.50084425378537,"1,14,18,35",0.021648404873651224,"1,14,18,35",35.864554954151856,"1,14,18,35"
44,24.637165429758692,"5,11,12,17",0.01996862819236275,"5,11,12,17",0.011597808979441964,"5,11,12,17"
45,23.49162340362458,"1,14,35,43",0.013436034930255764,"1,14,35,43",0.009186644350023754,"1,14,35,43"
46,23.723759329955072,"11,13,14,39",0.01489833102769792,"11,13,14,39",0.010966735208534096,"11,13,14,39"
47,21.75311561443157,"14,28,39,44",0.029079129065901724,"14,28,39,44",0.017380330045556974,"14,28,39,44"
48,22.071155602116587,"5,13,22,31",0.17493095701651143,"5,13,22,31",0.006438807749147981,"5,13,22,31"
49,22.269291368762566,"19,21,26,28",0.018661285144759097,"19,21,26,28",0.006473648646323341,"19,21,26,28"
50,23.124508979252823,"4,7,11,29",0.39446567043687936,"4,7,11,29",0.008517271639212176,"4,7,11,29"
51,22.868111887028185,"9,24,41,48",0.01019266261453208,"9,24,41,48",0.011176032399766136,"9,24,41,48"
52,23.119173578309674,"4,6,19,28",0.00910462919943641,"4,6,19,28",0.00826303998574204,"4,6,19,28"
53,22.852335918895456,"1,3,4,42",0.011726486853107383,"1,3,4,42",37.612465190856796,"1,3,4,42"
54,22.985923249816754,"5,20,30,45",0.009056984603999419,"5,20,30,45",0.008864519977621188,"5,20,30,45"
55,22.110535025715947,"19,21,23,44",0.030718268066915286,"19,21,23,44",12.401143557848137,"19,21,23,44"
56,22.059914237200093,"19,25,31,39",0.012605091449460107,"19,25,31,39",36.856435624348876,"19,25,31,39"
57,23.54720344898327,"29,30,32,36",0.018303058532690087,"29,30,32,36",2.152971189285123,"29,30,32,36"
58,21.443862658216347,"3,13,31,46",0.036279911807330235,"3,13,31,46",3.2055302262330576,"3,13,31,46"
59,14.270165881857478,"1,9,20,33",0.009988113595658382,"1,9,20,33",0.01037368872166886,"1,9,20,33"
60,13.71751003057597,"27,30,32,47",0.009290348721292254,"27,30,32,47",0.009369598911662096,"27,30,32,47"
61,23.08903185293192,"9,14,34,45",0.023480484127530506,"9,14,34,45",1.4146441676882617,"9,14,34,45"
62,22.07242649151072,"16,30,37,44",0.02314551453270559,"16,30,37,44",58.09685862850842,
63,23.77693082879988,"4,23,37,47",0.00816339804965719,"4,23,37,47",0.009718022037745957,"4,23,37,47"
64,22.994322439759294,"1,9,33,37",0.20761638225134527,"1,9,33,37",0.02682618337991245,"1,9,33,37"
65,23.831166737874806,"15,31,35,40",0.01318068477399506,"15,31,35,40",2.3201788401110135,"15,31,35,40"
66,24.08823972056878,"8,11,15,41",0.01624047536667349,"8,11,15,41",0.009370079238812107,"8,11,15,41"
67,0.02416399443478952,"5,18,19,47",0.01584366640215597,"5,18,19,47",0.0106031112456205,"5,18,19,47"
68,23.59325261711893,"3,21,25,46",0.012877091302888364,"3,21,25,46",23.830120784106928,"3,21,25,46"
69,21.149168758729964,"20,24,31,43",0.4236023688954098,"20,24,31,43",0.012278546481518337,"20,24,31,43"
70,16.338071910208395,"4,11,28,49",0.009891189248934808,"4,11,28,49",15.619868606781598,"4,11,28,49"
71,22.75626787814356,"10,15,17,44",0.01093308783586922,"10,15,17,44",0.012990599316982834,"10,15,17,44"
72,15.855517537620983,"13,25,38,45",0.00835248848770028,"13,25,38,45",0.009516837004475268,"13,25,38,45"
73,22.895786195809,"12,13,15,41",0.011271716684856091,"12,13,15,41",0.008954169051592341,"12,13,15,41"
74,22.412121326515535,"14,31,42,45",0.018050885775198103,"14,31,42,45",16.383348100577834,"14,31,42,45"
75,21.48762129520202,"11,16,20,25",0.02224705186597793,"11,16,20,25",0.010945746828148712,"11,16,20,25"
76,22.644383456557733,"2,13,18,37",0.0236611326627744,"2,13,18,37",15.153479235851378,"2,13,18,37"
77,21.892721303361956,"0,18,22,45",0.02718242926690334,"0,18,22,45",1.3355060773459178,"0,18,22,45"
78,21.69147234326454,"8,22,34,45",0.009087489975911951,"8,22,34,45",1.4437090041704392,"8,22,34,45"
79,15.05663508407256,"7,17,22,36",0.009449950481657024,"7,17,22,36",22.913304179097484,"7,17,22,36"
80,23.285931550565664,"0,4,9,32",0.3479083324769617,"0,4,9,32",0.013323626506278004,"0,4,9,32"
81,22.46756087351799,"8,13,25,31",0.006578019929218947,"8,13,25,31",0.006896881495967616,"8,13,25,31"
82,15.363348771681364,"6,11,34,45",0.012940438506118302,"6,11,34,45",52.22271371962307,"6,11,34,45"
83,21.895009679140827,"19,33,45,48",0.007457014155847803,"19,33,45,48",0.007109666125836117,"19,33,45,48"
84,22.52237869717494,"2,15,37,46",0.010982801358637991,"2,15,37,46",0.010242543474106212,"2,15,37,46"
85,21.77704795029157,"27,35,46,48",0.010984627218867473,"27,35,46,48",36.60444525208946,"27,35,46,48"
86,22.003014442533125,"7,12,47,49",0.016374825256967013,"7,12,47,49",0.009095339738671169,"7,12,47,49"
87,23.89734322783826,"14,24,25,44",0.01825839588619304,"14,24,25,44",0.013249989090985431,"14,24,25,44"
88,25.717454137433794,"0,31,38,46",0.020561279600342274,"0,31,38,46",0.012891092068535974,"0,31,38,46"
89,22.145418151868228,"18,21,43,46",0.01258819491401748,"18,21,43,46",61.114614993651024,
90,21.919034988140165,"22,25,26,48",0.010292068467431855,"22,25,26,48",0.007791467904355214,"22,25,26,48"
91,22.460164708882598,"2,9,38,41",0.008934565444071342,"2,9,38,41",0.0058738182049613286,"2,9,38,41"
92,23.385972965073563,"0,2,27,46",0.028402618188494634,"0,2,27,46",0.013412954358738374,"0,2,27,46"
93,22.47575517355346,"7,13,36,39",0.011991681459288969,"7,13,36,39",0.009426165700155895,"7,13,36,39"
94,22.77008772853645,"12,16,25,45",0.00861175467257348,"12,16,25,45",0.005968808591806621,"12,16,25,45"
95,15.718368449922338,"2,15,19,22",0.00881743970391495,"2,15,19,22",42.166252647110014,"2,15,19,22"
96,21.91464519149843,"5,13,21,26",14.820510750156162,"5,13,21,26",0.013541028074050214,"5,13,21,26"
97,22.119116341875696,"2,22,31,45",0.018047664131492648,"2,22,31,45",36.552190097743164,"2,22,31,45"
98,12.599175487653996,"9,12,22,48",0.013302057839106,"9,12,22,48",0.013156369131022068,"9,12,22,48"
99,21.188385042325965,"17,31,35,40",0.00784875643394729,"17,31,35,40",17.202219464926227,"17,31,35,40"
100,14.063249879755835,"9,13,16,44",0.006699225744200532,"9,13,16,44",0.008064862456707737,"9,13,16,44"
101,22.00713005121828,"15,26,36,42",0.015701010315702906,"15,26,36,42",0.225790249608207,"15,26,36,42"
102,22.643896460233016,"10,16,17,32",0.014245707789874947,"10,16,17,32",0.01438917686699862,"10,16,17,32"
103,22.375013680361022,"1,6,16,43",0.7029838786486569,"1,6,16,43",0.008716936837171828,"1,6,16,43"
104,24.123158625651612,"19,28,43,47",0.014445220926179822,"19,28,43,47",0.013463143963006975,"19,28,43,47"
105,21.79119924183636,"6,18,24,33",0.008165721251297964,"6,18,24,33",0.01002761415442693,"6,18,24,33"
106,22.76891972534129,"3,4,12,45",0.00738039947044438,"3,4,12,45",0.008136013076161313,"3,4,12,45"
107,22.56785978758654,"7,37,39,40",0.015498391674292173,"7,37,39,40",0.008655836232091147,"7,37,39,40"
108,23.725411894100137,"14,29,30,34",0.011902772568503717,"14,29,30,34",0.576579572757192,"14,29,30,34"
109,24.1947540850082,"7,10,30,34",0.012309714813919154,"7,10,30,34",0.012071490762950589,"7,10,30,34"
110,23.332499292425602,"0,2,27,39",0.012263351984179657,"0,2,27,39",0.012173555310976988,"0,2,27,39"
111,21.512086294631246,"2,12,37,48",0.013683837256029847,"2,12,37,48",0.008755835798527532,"2,12,37,48"
112,24.49104795179429,"0,17,34,49",0.005860320974383605,"0,17,34,49",2.271917700456288,"0,17,34,49"
113,14.95551538124098,"6,15,31,40",0.011628316281922194,"6,15,31,40",0.010923626782375458,"6,15,31,40"
114,21.31541213838917,"5,16,29,39",0.02043445569951958,"5,16,29,39",0.008610653345817973,"5,16,29,39"
115,23.09337782558872,"10,30,39,46",0.009113519345863188,"10,30,39,46",0.009586413922500594,"10,30,39,46"
116,22.451031867769693,"19,20,29,34",0.027264825175299948,"19,20,29,34",0.008578208023252447,"19,20,29,34"
117,24.38337818932226,"16,29,44,46",0.010121602810505906,"16,29,44,46",0.008829805441081237,"16,29,44,46"
118,22.45737632812417,"8,25,29,30",0.010558524164068401,"8,25,29,30",0.01112578154121659,"8,25,29,30"
119,13.848577865186135,"9,20,40,45",0.00762958101065494,"9,20,40,45",49.74491254395535,"9,20,40,45"
120,22.657871769428045,"7,19,33,40",0.009044972351595718,"7,19,33,40",0.005761400809261374,"7,19,33,40"
121,21.720228748869843,"14,18,31,46",0.015347178951347322,"14,18,31,46",16.13288184502317,"14,18,31,46"
122,23.61379734194036,"1,2,25,40",0.012338297483537307,"1,2,25,40",0.017138671926584678,"1,2,25,40"
123,22.63830299850264,"1,6,15,31",0.025927347394807707,"1,6,15,31",36.17741661117557,"1,6,15,31"
124,22.286139487145128,"7,17,18,29",0.019787867723502984,"7,17,18,29",0.015435661868148633,"7,17,18,29"
125,21.99797459531107,"7,27,29,33",0.031119034385316435,"7,27,29,33",0.020149679049971517,"7,27,29,33"
126,22.335680610595826,"12,16,24,42",0.012076458095401317,"12,16,24,42",0.008204149975031515,"12,16,24,42"
127,22.946150225516313,"17,27,34,37",0.007392661159389971,"17,27,34,37",0.009399723132174801,"17,27,34,37"
128,24.054652413779205,"7,16,35,42",0.009678880082471857,"7,16,35,42",0.013884001318357648,"7,16,35,42"
129,13.774703697921716,"1,27,36,41",0.008239925500532496,"1,27,36,41",0.00980763637743989,"1,27,36,41"
130,13.864105805316164,"19,35,42,44",0.013952274875481016,"19,35,42,44",0.01300254237491024,"19,35,42,44"
131,20.437767715536047,"10,21,28,37",0.008028195524829047,"10,21,28,37",22.380302680236863,"10,21,28,37"
132,21.395436917479405,"11,14,29,44",0.01870943661363637,"11,14,29,44",0.008099859098336328,"11,14,29,44"
133,14.450271930231771,"12,31,32,34",0.015304971200398039,"12,31,32,34",0.012053530830066212,"12,31,32,34"
134,21.06863699726177,"7,11,16,25",0.01658889726195169,"7,11,16,25",0.010096275541715926,"7,11,16,25"
135,20.643057599909422,"2,3,8,36",0.026108324087461207,"2,3,8,36",0.013628359040605052,"2,3,8,36"
136,22.671379729777946,"1,30,34,47",0.013941793537661926,"1,30,34,47",0.010102599358733179,"1,30,34,47"
137,14.334488485840517,"36,38,41,49",0.012933662125145531,"36,38,41,49",1.0517496766738088,"36,38,41,49"
138,13.970608859407788,"19,43,44,45",0.0055775503776352466,"19,43,44,45",0.007482897123144219,"19,43,44,45"
139,22.77965602569485,"3,19,39,41",0.011635919593037863,"3,19,39,41",60.92982438581847,
140,21.70245916407188,"14,16,36,45",0.0076005748981013855,"14,16,36,45",0.010960863261456583,"14,16,36,45"
141,21.95114494900182,"3,11,36,49",0.013477197562672258,"3,11,36,49",0.012824183442794146,"3,11,36,49"
142,20.759267078832725,"3,8,16,46",0.021123393426583176,"3,8,16,46",0.009766801057607738,"3,8,16,46"
143,23.70707816322569,"12,21,30,48",0.01027968191721623,"12,21,30,48",0.008157272717027663,"12,21,30,48"
144,24.464672480300578,"17,18,20,48",0.02349387636311031,"17,18,20,48",0.017724065258068397,"17,18,20,48"
145,21.81858020123618,"6,33,40,45",0.02260840490625796,"6,33,40,45",0.016675451128111623,"6,33,40,45"
146,22.970683755436344,"11,22,28,45",0.01729331101637757,"11,22,28,45",0.014076432030295136,"11,22,28,45"
147,0.019665148766548058,"1,13,15,31",0.017773249168841217,"1,13,15,31",0.012878599973063254,"1,13,15,31"
148,14.820173591137008,"10,21,36,42",0.019763123040438955,"10,21,36,42",0.021252336380853977,"10,21,36,42"
149,14.812178714991324,"4,7,9,10",0.01032874672511826,"4,7,9,10",0.008047469020449116,"4,7,9,10"
150,16.14672173044039,"11,13,42,46",0.025741258240765907,"11,13,42,46",0.009343422226255983,"11,13,42,46"
151,22.179267862071246,"17,21,39,45",0.009234362105684919,"17,21,39,45",0.009713398134153147,"17,21,39,45"
152,14.00110068932621,"4,6,15,27",0.016572009651882495,"4,6,15,27",23.94034517882318,"4,6,15,27"
153,14.895143521350755,"5,10,13,28",0.0052970599923088365,"5,10,13,28",0.0060441961061229645,"5,10,13,28"
154,0.02604636701067809,"5,7,8,17",0.009749197683090958,"5,7,8,17",0.021049521338181883,"5,7,8,17"
155,22.249152211207715,"4,6,21,39",0.008634212751419413,"4,6,21,39",0.017448759110468826,"4,6,21,39"
156,22.171944557857117,"0,7,8,11",0.012639921159579392,"0,7,8,11",0.04209034822148523,"0,7,8,11"
157,22.73497065342188,"0,7,20,39",0.010177644928131174,"0,7,20,39",0.007051966585715272,"0,7,20,39"
158,14.432797898982862,"4,15,23,36",0.01618048846149417,"4,15,23,36",0.9438346156588584,"4,15,23,36"
159,22.312112809068758,"1,19,23,48",0.006890046571227386,"1,19,23,48",0.007140086039732885,"1,19,23,48"
160,22.70698038717246,"3,8,24,43",0.009108991196549834,"3,8,24,43",0.007409020445700087,"3,8,24,43"
161,16.09454179707574,"10,12,25,47",0.02055874892585097,"10,12,25,47",0.012992631484519634,"10,12,25,47"
162,15.0184135357644,"2,3,10,30",0.02465050414522139,"2,3,10,30",0.01708509671655545,"2,3,10,30"
163,23.36449362211431,"8,11,14,34",0.028834514000988878,"8,11,14,34",0.013100958863804966,"8,11,14,34"
164,0.023387088074327878,"9,31,40,46",0.010987848748234354,"9,31,40,46",0.5545156059380306,"9,31,40,46"
165,21.314841992652145,"12,19,37,40",0.012136966283498566,"12,19,37,40",0.011584928676580139,"12,19,37,40"
166,24.36860442899393,"3,28,32,41",0.009972015068088355,"3,28,32,41",0.007374554796613146,"3,28,32,41"
167,15.149358532230233,"22,41,42,43",0.012560337403487004,"22,41,42,43",0.009629461185988926,"22,41,42,43"
168,0.051406423115528226,"15,22,23,28",0.01034591469736697,"15,22,23,28",1.1837885281644673,"15,22,23,28"
169,16.523675495368806,"11,29,40,41",0.01673645320154011,"11,29,40,41",0.009650286118417442,"11,29,40,41"
170,0.024658280579768165,"16,24,38,46",0.011974423060296963,"16,24,38,46",0.010571113682157645,"16,24,38,46"
171,23.80776453618628,"3,5,8,45",0.008971107189953323,"3,5,8,45",0.017566331640666406,"3,5,8,45"
172,23.540380226416588,"0,7,14,45",0.010455404986109147,"0,7,14,45",0.025050955860149625,"0,7,14,45"
173,16.224646718027614,"0,1,2,15",0.01296929426894887,"0,1,2,15",0.9556833652636854,"0,1,2,15"
174,15.415336341702233,"1,27,28,31",0.007048487584129846,"1,27,28,31",0.8311157184384929,"1,27,28,31"
175,21.630957041615417,"2,21,24,47",0.010357442235661547,"2,21,24,47",0.012955278125394034,"2,21,24,47"
176,22.9293659325337,"17,24,40,48",0.026786360117791796,"17,24,40,48",0.013898299335099264,"17,24,40,48"
177,15.182035291669697,"1,6,38,42",0.009575358532598,"1,6,38,42",0.20788709808764794,"1,6,38,42"
178,24.137796742157807,"5,6,9,26",0.025265906889114,"5,6,9,26",0.009319025703236353,"5,6,9,26"
179,24.616978730854825,"14,26,38,46",0.009740659091054387,"14,26,38,46",1.9143064358443946,"14,26,38,46"
180,22.846254537395836,"12,14,21,47",0.007139645386162398,"12,14,21,47",0.007391343805224254,"12,14,21,47"
181,21.998034503994884,"17,33,35,38",0.013629998429166115,"17,33,35,38",0.013592451771360722,"17,33,35,38"
182,21.832483767955274,"6,11,26,29",0.022751469963293837,"6,11,26,29",0.02170901675133321,"6,11,26,29"
183,14.721093378705095,"18,24,31,48",0.016895998645746597,"18,24,31,48",0.016766114880515715,"18,24,31,48"
184,22.297165299380765,"8,22,41,45",0.011749999184381394,"8,22,41,45",0.032204671242215224,"8,22,41,45"
185,22.3148844153597,"3,6,31,47",0.038811051651206435,"3,6,31,47",0.032572475216787654,"3,6,31,47"
186,21.571180218641203,"3,5,19,37",0.011991545596626694,"3,5,19,37",0.012969096851346045,"3,5,19,37"
187,23.654231514290693,"21,23,46,49",0.008302152025016116,"21,23,46,49",36.87948414418024,"21,23,46,49"
188,23.456175191850786,"3,5,16,28",0.01902063609706397,"3,5,16,28",0.013761898169803256,"3,5,16,28"
189,21.885191359643407,"1,6,13,15",0.01032609092526074,"1,6,13,15",1.3307445339140045,"1,6,13,15"
190,23.389360147332475,"8,9,12,25",0.020127498744289332,"8,9,12,25",3.714483927865851,"8,9,12,25"
191,21.913257607773026,"24,38,40,48",0.021036413619224766,"24,38,40,48",0.009358726627094631,"24,38,40,48"
192,21.499305832233883,"18,39,45,48",0.008399863338586187,"18,39,45,48",10.634906326316202,"18,39,45,48"
193,24.19003411514237,"13,45,47,48",0.011312361763217945,"13,45,47,48",0.014577902327081822,"13,45,47,48"
194,23.772961135678777,"7,10,13,14",0.010076492630123748,"7,10,13,14",39.91916718260228,"7,10,13,14"
195,14.63570969210365,"2,9,10,30",0.009867103886876422,"2,9,10,30",0.00719591088542612,"2,9,10,30"
196,24.208554802349763,"8,43,45,47",0.01590080072336508,"8,43,45,47",42.45256243897293,"8,43,45,47"
197,23.566305888926852,"14,35,40,49",0.015526033040316014,"14,35,40,49",1.7080431598450274,"14,35,40,49"
198,20.717419354602534,"15,31,32,45",0.00875094969959856,"15,31,32,45",0.36899693792383104,"15,31,32,45"
199,15.867416413054942,"4,13,44,45",0.026922438825210997,"4,13,44,45",0.010035977590295378,"4,13,44,45"
200,13.505902365990579,"6,12,26,28",0.022744875624738918,"6,12,26,28",0.007113468811491688,"6,12,26,28"
201,23.233801377928092,"6,29,30,46",0.011811814194299029,"6,29,30,46",0.013587605025812556,"6,29,30,46"
202,0.04536641300145164,"2,10,12,19",0.020363054833077508,"2,10,12,19",0.01807246699602373,"2,10,12,19"
203,13.77316446925314,"33,36,41,48",0.018754218960067723,"33,36,41,48",0.01276020445518582,"33,36,41,48"
204,23.15628371220428,"10,11,26,47",0.00861749947624953,"10,11,26,47",0.05049140721629772,"10,11,26,47"
205,22.862590849376893,"6,8,34,48",0.019888770611254238,"6,8,34,48",0.43597656124103157,"6,8,34,48"
206,14.508714769671661,"13,18,21,32",0.018213547059272934,"13,18,21,32",8.467831310441683,"13,18,21,32"
207,23.081649747042945,"16,25,30,40",0.010381613865414639,"16,25,30,40",0.013855243180464771,"16,25,30,40"
208,23.63573426189311,"8,26,31,41",0.01611558275767618,"8,26,31,41",0.009165494169060017,"8,26,31,41"
209,21.939043431335012,"0,17,33,43",0.007583287043533941,"0,17,33,43",0.007672763357005544,"0,17,33,43"
210,15.051096818835628,"3,7,14,48",0.012986846382002266,"3,7,14,48",18.44419545031798,"3,7,14,48"
211,21.10766792971515,"4,33,39,48",0.016384809354266294,"4,33,39,48",0.01896338720255367,"4,33,39,48"
212,23.24527279627937,"2,9,42,46",0.021278639285548694,"2,9,42,46",0.014030954975079134,"2,9,42,46"
213,23.226398567412755,"17,24,26,48",0.9716143080873618,"17,24,26,48",0.009401586932816824,"17,24,26,48"
214,22.06838755403157,"13,18,26,32",0.014880152113691439,"13,18,26,32",0.007951865982939694,"13,18,26,32"
215,23.877988144031697,"10,23,24,25",0.009068160363792231,"10,23,24,25",0.013032637918263265,"10,23,24,25"
