simulation,HarderLASSO_QUT_(20)_mse,HarderLASSO_QUT_(20)_features,"HarderLASSO_QUT_(20, 10)_mse","HarderLASSO_QUT_(20, 10)_features","HarderLASSO_QUT_(20, 10, 5)_mse","HarderLASSO_QUT_(20, 10, 5)_features"
0,25.45666285799717,"1,8,9,39",16.694277369291274,"1,8,9,39",58.23308231044463,
1,22.40352607409642,"12,16,27,45",13.293700327161943,"12,16,27,45",57.12229367966375,
2,21.838896091539116,"9,40,41,45",34.683629340095294,"9,40,41,45",54.598570750589246,
3,23.239166924109707,"2,3,12,17",50.5123508023855,"2,12,17",58.82198741570233,
4,26.883949971494058,"0,14,36,44",0.061871567994711885,"0,14,36,44",53.36385670766352,
5,23.41708332800003,"15,18,26,45",54.077300168165046,"15,26",60.572688826346145,
6,23.252873255125415,"2,10,37,42",18.122090672422058,"2,10,37,42",59.79866405933596,
7,22.701565672277372,"2,4,11,49",38.16087516541049,"2,4,11,49",63.05248823380309,
8,24.901263193666885,"12,17,19,45",18.45523105708829,"12,17,19,45",61.933462782103305,
9,23.278325855917647,"23,24,38,41",0.0634533232616881,"23,24,38,41",59.8704286851698,
10,22.906641673470983,"3,35,39,41",13.77224785793949,"3,35,39,41",61.621522308068975,
11,23.549277231076946,"8,32,41,43",14.824474529744384,"8,32,41,43",56.04199773079262,
12,22.59183827854147,"3,11,17,41",13.010173885394227,"3,11,17,41",61.735853493185694,
13,24.192032583456573,"13,15,34,42",16.326517851490028,"13,15,34,42",57.15053549684263,
14,22.148638825806238,"20,36,39,45",34.5529697475507,"20,36,39,45",54.20820920618189,
15,23.836387158714206,"3,26,43,45",59.12756203594338,43,60.046831437789265,
16,21.870109152094344,"13,19,26,37",0.04788127663639538,"13,19,26,37",52.01654370577299,
17,21.574720973648724,"5,7,22,37",11.472296788294676,"5,7,22,37",55.73528881913348,
18,23.46981546867249,"4,13,42,45",0.058951112828711134,"4,13,42,45",55.874391098479684,
19,22.09144214795871,"20,22,38,47",24.376010215626223,"20,22,38,47",57.91096578096059,
20,24.163091307679576,"17,20,22,30",16.97805422828372,"17,20,22,30",60.50106504007048,20
21,22.169365232894336,"19,30,34,47",0.05302119232812932,"19,30,34,47",60.3145741043358,
22,23.123762437361,"12,20,31,41",16.200509774280953,"12,20,31,41",60.976641113182104,
23,21.574852967964684,"13,15,23,45",12.45428845606944,"13,15,23,45",64.41461041977686,
24,22.973567637829436,"9,29,33,48",14.362458913747776,"9,29,33,48",59.08284803421016,
25,22.562079659453605,"10,15,30,31",0.042085570091307305,"10,15,30,31",55.00729109186043,31
26,23.889398664849132,"19,20,23,37",57.29211385481448,"19,20,23,37",62.73914172914688,
27,25.21191208537337,"7,16,23,32",16.66425093227662,"7,16,23,32",56.609508126589034,
28,24.404284493058377,"5,8,19,29",16.02945473108711,"5,8,19,29",59.30356016730834,
29,22.933232106521572,"28,30,36,49",42.54574619026159,"28,30",56.11317786020283,
30,21.930101196071874,"0,17,33,39",0.06658499429504226,"0,17,33,39",52.33670566933957,
31,22.751960632462506,"22,26,32,36",13.798811195776972,"22,26,32,36",59.553157432863316,
32,23.99375035024515,"3,6,25,40",0.05394071017019232,"3,6,25,40",56.05735071432264,40
33,24.06152357486828,"27,38,42,46",12.610840888725049,"27,38,42,46",64.12848463773275,
34,22.49943781953749,"15,26,31,49",55.009456444776674,31,57.430540210033065,
35,21.44280444922344,"3,8,10,25",37.117497100016024,"3,8,10,25",59.74714394568827,
36,24.380239822696375,"5,20,27,41",39.03456983947103,"5,20,27,41",60.65301033228359,
37,24.347985026289344,"7,12,43,44",17.809392722745947,"7,12,43,44",62.836899777418886,7
38,24.2563510475489,"19,26,29,38",17.437503272692805,"19,26,29,38",60.79253792289394,
39,24.1674643375327,"2,6,12,25",12.537485983015301,"2,6,12,25",54.8904755191069,2
40,25.032213309301603,"10,13,32,48",25.5268719625951,"10,13,32,48",57.721135917356996,
41,22.172995511051084,"8,22,31,44",0.048583436853956496,"8,22,31,44",51.09049322521604,
42,22.99896309059752,"14,21,34,44",17.255183097668404,"14,21,34,44",58.4931387020061,
43,24.482078183692472,"9,29,35,38",18.587345622369554,"9,29,35,38",61.096930160126526,38
44,22.70109892898082,"12,15,20,23",0.06624746172925347,"12,15,20,23",65.60670800238326,
45,21.82647275994581,"9,13,34,44",0.0534137220164684,"9,13,34,44",55.73761890115679,
46,22.114875900566737,"15,23,42,44",0.05542413659180514,"15,23,42,44",56.8059574883239,
47,24.044658818661915,"8,14,19,46",40.91797986062571,"8,14,19,46",61.1556780333707,
48,22.876321097144473,"6,19,27,29",15.250913879597,"6,19,27,29",59.194063185903,
49,21.69217554717689,"4,30,34,49",0.0378574297369055,"4,30,34,49",53.49591413342478,
50,22.855714346100473,"5,42,48,49",64.27894914853259,,64.32461860279915,
51,22.04469873878734,"11,20,31,37",15.294396253551609,"11,20,31,37",59.38614757921057,
52,23.331420456275097,"8,17,20,48",16.2424018503716,"8,17,20,48",59.79849759379861,
53,22.606348386525525,"13,36,45,46",22.73463247921392,"13,36,45,46",54.583617438254585,
54,22.791944551105566,"0,4,18,41",14.074629172854443,"0,4,18,41",52.18574883573626,4
55,22.0964597334221,"23,28,33,42",0.07191302585076721,"23,28,33,42",59.31239892775626,
56,22.415311550543763,"21,30,34,35",14.97315645498317,"21,30,34,35",54.50301605545324,
57,23.590532184807266,"22,24,34,37",11.606327124998494,"22,24,34,37",56.683537633404676,24
58,22.77626832627489,"2,9,21,49",15.77426829814559,"2,9,21,49",59.92478774138461,
59,24.063148377607657,"1,16,40,47",15.67688697756894,"1,16,40,47",61.57915526770463,
60,21.96356251593007,"19,39,45,49",12.591125829325112,"19,39,45,49",53.92164298596175,
61,22.067160240462755,"11,21,31,34",13.354591918367575,"11,21,31,34",56.55916510919972,11
62,24.73367103794722,"22,32,41,48",14.559689867807194,"22,32,41,48",59.45523519448034,
63,22.462289511911255,"2,26,31,43",11.813079287733055,"2,26,31,43",59.3915708652041,
64,24.24786941593813,"8,11,12,24",0.0315515113833411,"8,11,12,24",57.96690649643625,11
65,23.77831824130104,"6,11,20,27",12.953541098186328,"6,11,20,27",51.51871234565694,27
66,31.48659302540345,"22,26,34,49",13.606377589304604,"22,26,34,49",59.64151619760411,
67,23.78044412966999,"7,8,11,43",0.05722348095731282,"7,8,11,43",56.25042038876969,
68,23.515592415947896,"0,23,38,46",0.05448819729068898,"0,23,38,46",53.280541065028956,
69,21.807366396926493,"19,20,37,48",60.466165576795156,,60.318553036622006,
70,22.8158777807366,"3,10,12,28",17.741647407468086,"3,10,12,28",60.83702093363239,
71,23.094250503718264,"8,17,22,47",0.0739751678038868,"8,17,22,47",57.74327997763293,
72,24.100395137171507,"8,23,28,40",34.355515623265994,"8,23,28,40",53.458033320999576,
73,23.26909830423431,"1,6,34,36",13.896314450013623,"1,6,34,36",55.74330168778674,
74,25.132301903334643,"16,19,21,43",13.447750432768046,"16,19,21,43",54.63959035095741,
75,24.709603796699433,"10,28,29,44",15.67274380011017,"10,28,29,44",58.046827106552094,
76,24.202901551955815,"0,9,13,15",38.80765649030318,"0,9,13,15",58.94595625059677,
77,25.495263892707168,"9,22,33,38",15.911772050113461,"9,22,33,38",61.36967847246127,
78,24.282440143692366,"20,32,39,42",25.120882732720858,"20,32,39,42",60.97614078909742,42
79,21.22291033786329,"8,11,12,31",45.71490684778763,"8,11,12",60.636046663014,
80,24.043705286712203,"12,20,45,46",35.333328183716034,"12,20,45,46",59.37309801132967,
81,23.02391903956866,"1,10,15,33",22.936589155824926,"1,10,15,33",59.596931000739765,
82,23.780109427603396,"3,15,30,49",54.40783791018101,15,51.2002219741922,"15,30"
83,22.698810499027637,"5,19,28,32",10.92591059409146,"5,19,28,32",55.53743039778505,
84,22.750553359676694,"11,13,26,49",49.020036962150265,"11,26,49",59.922587093584106,
85,25.5865489326878,"10,26,38,40",46.29279740184606,"26,38",58.891777032212794,
86,22.685027737350786,"10,12,29,31",15.517121399676165,"10,12,29,31",53.41146380443984,
87,24.125415851699582,"17,23,24,45",17.90296614772411,"17,23,24,45",54.684716451289745,"23,24"
88,23.295083203102806,"15,18,24,48",13.589207154327207,"15,18,24,48",59.71999760755469,
89,24.616526449658327,"11,21,35,38",12.604515437942963,"11,21,35,38",57.93219042305929,
90,24.606312099973056,"32,40,47,49",0.03709632866535453,"32,40,47,49",52.370758739482376,
91,23.6449357663938,"17,40,47,49",0.048241221234938354,"17,40,47,49",53.031021832839265,
92,25.130884714853988,"2,4,14,25",11.023616576563098,"2,4,14,25",58.07187107197085,
93,24.348005508302982,"13,31,35,36",42.20122765338307,"13,31,35,36",61.8217538757624,
94,22.11885731965181,"10,13,20,31",13.850049783613427,"10,13,20,31",56.40238797622318,
95,23.80257349348905,"28,35,37,48",13.992005047123811,"28,35,37,48",57.192450143921754,
96,25.280358734840025,"33,34,38,40",34.631688804399964,"33,34,38,40",54.06293020028735,
97,22.493014963097725,"31,40,46,47",27.09979943295391,"31,40,46,47",55.30378326465437,"40,47"
98,22.192428327340004,"3,24,38,43",14.375734632162013,"3,24,38,43",56.70902529152234,
99,23.035975146481796,"9,32,44,48",40.101667522384766,"9,32,44,48",58.3550457052945,
100,23.06710850423229,"6,10,30,31",13.802346128057769,"6,10,30,31",51.9909825985634,
101,22.005541440917558,"6,15,18,37",0.055085680749053595,"6,15,18,37",56.449246916237854,
102,22.792803616190465,"10,37,39,45",19.520639688423028,"10,37,39,45",53.856735616624356,37
103,23.893156178141126,"1,16,20,40",16.475098642384385,"1,16,20,40",60.55718648416373,
104,23.86445262166262,"14,22,36,46",14.153161131805264,"14,22,36,46",56.925885072397534,
105,25.826872675140926,"1,17,27,49",15.790692402170775,"1,17,27,49",61.366764680108226,
106,21.261712927109052,"16,17,20,31",12.269944573473364,"16,17,20,31",56.04049346057605,20
107,21.940705379539178,"11,26,37,46",36.53414411818701,"11,26,37,46",56.16784335650483,
108,21.719647287439653,"2,33,38,45",31.921447125282228,"2,33,38,45",52.400680589385395,
109,25.72047904654045,"10,21,30,43",25.613364464905114,"10,21,30,43",57.36932497303326,
110,22.991760194312366,"1,18,21,32",15.004410434602626,"1,18,21,32",57.338464992069994,
111,22.390160465535534,"5,11,20,21",0.05509088674492007,"5,11,20,21",57.25812788124901,
112,22.705858657789506,"8,10,15,28",0.05471187157050781,"8,10,15,28",51.934709889319755,
113,22.920955351242746,"34,37,41,47",14.81414377912675,"34,37,41,47",60.558650941207766,
