simulation,HarderLASSO_QUT_(20)_mse,HarderLASSO_QUT_(20)_features,"HarderLASSO_QUT_(20, 10)_mse","HarderLASSO_QUT_(20, 10)_features","HarderLASSO_QUT_(20, 10, 5)_mse","HarderLASSO_QUT_(20, 10, 5)_features"
55,22.59820109844328,"20,23,35,37",0.039908498990951516,"20,23,35,37",0.007964787047802227,"20,23,35,37"
56,13.667314717915596,"18,19,32,39",0.0059355261285827755,"18,19,32,39",0.022677090131846128,"18,19,32,39"
57,23.90850196250437,"18,32,40,46",0.03125868921544913,"18,32,40,46",0.007854913708934734,"18,32,40,46"
58,22.504281168071145,"7,26,35,42",0.022860806041893653,"7,26,35,42",0.017781622020056117,"7,26,35,42"
59,20.513142052165982,"1,7,12,39",0.5868355351448343,"1,7,12,39",0.008405391813128889,"1,7,12,39"
60,21.263800155923505,"2,13,27,36",0.022965960986751712,"2,13,27,36",0.010546035434003025,"2,13,27,36"
61,22.42561438135286,"6,20,26,39",0.03370085087540767,"6,20,26,39",0.008224385894792508,"6,20,26,39"
62,22.719932871529032,"2,26,31,40",0.01795634832926107,"2,26,31,40",0.007650723799744812,"2,26,31,40"
63,22.447283128487477,"7,36,41,44",0.050101092973365596,"7,36,41,44",0.014853073826731547,"7,36,41,44"
64,14.680378643435139,"4,23,38,39",0.007702963765307256,"4,23,38,39",23.883637641785203,"4,23,38,39"
65,22.44441424844168,"20,31,33,40",0.3203982335271244,"20,31,33,40",0.7903114982729963,"20,31,33,40"
66,15.759525096159402,"4,17,32,42",0.03377369882439735,"4,17,32,42",0.015197002038574943,"4,17,32,42"
67,22.939307589224484,"4,19,32,48",0.012187407822225016,"4,19,32,48",0.014789741839765497,"4,19,32,48"
68,24.216607171716138,"15,17,35,39",0.02868776981185242,"15,17,35,39",36.31840226114986,"15,17,35,39"
69,15.046298950651035,"3,21,36,38",0.01703229052878558,"3,21,36,38",24.582992217149265,"3,21,36,38"
70,24.822069028030185,"2,35,40,45",0.04107852591485138,"2,35,40,45",0.008011101811350983,"2,35,40,45"
71,24.68828406284527,"6,8,13,38",0.014772382273293696,"6,8,13,38",0.015180149382719872,"6,8,13,38"
72,21.028215505471586,"6,8,28,46",0.09925953698153805,"6,8,28,46",0.007245262780775779,"6,8,28,46"
73,0.028515940896091933,"24,30,33,49",0.029185263758085393,"24,30,33,49",24.73089328827756,"24,30,33,49"
74,23.145167599793623,"15,18,27,40",0.058889698572743295,"15,18,27,40",0.012283618687686378,"15,18,27,40"
75,15.048009176017471,"0,36,44,47",0.011129241041160079,"0,36,44,47",0.010582403353491778,"0,36,44,47"
76,21.802313869065262,"20,26,29,44",0.014963601676042035,"20,26,29,44",0.016063322679298758,"20,26,29,44"
77,22.400120682678672,"23,28,35,45",0.044358051250557154,"23,28,35,45",0.014207408692274501,"23,28,35,45"
78,22.17701821751149,"39,40,41,46",0.024653930688975825,"39,40,41,46",0.009939675918777023,"39,40,41,46"
79,14.55052465983731,"5,24,28,33",0.014286335611526927,"5,24,28,33",18.648754213867875,"5,24,28,33"
80,22.41920723587661,"13,24,34,44",0.022491223808950914,"13,24,34,44",0.0065790713312944915,"13,24,34,44"
81,13.953525175911821,"17,20,27,29",0.011653349804759091,"17,20,27,29",9.60476191805726,"17,20,27,29"
82,22.975746973635637,"10,25,33,47",0.025367717740538864,"10,25,33,47",0.011416691934446816,"10,25,33,47"
83,21.416991012217,"4,11,15,32",0.030667267767317905,"4,11,15,32",0.013617025589054432,"4,11,15,32"
84,14.273495340454181,"12,24,40,49",0.011863509161644711,"12,24,40,49",0.010708106326353975,"12,24,40,49"
85,22.060225210248113,"5,42,48,49",0.02503116548306347,"5,42,48,49",0.014156038203111062,"5,42,48,49"
86,21.83813937228545,"5,12,14,20",0.02707976185484469,"5,12,14,20",0.010561863961381921,"5,12,14,20"
87,13.582184007021706,"1,12,23,25",0.031600483241180005,"1,12,23,25",0.01182262099623539,"1,12,23,25"
88,14.668373526878124,"17,28,29,47",0.015818860396247726,"17,28,29,47",34.76256296136776,"17,28,29,47"
89,22.89685054213271,"9,11,31,44",0.016634029991358736,"9,11,31,44",0.023564311914914975,"9,11,31,44"
90,23.482187659114004,"6,15,31,33",0.37228724963406784,"6,15,31,33",0.015156646198162933,"6,15,31,33"
91,23.9096661587914,"19,37,41,47",0.028139952105274247,"19,37,41,47",0.009620052644511294,"19,37,41,47"
92,23.37283581193988,"5,36,37,46",0.024182383929871265,"5,36,37,46",0.01226152798901304,"5,36,37,46"
93,21.73247935958643,"2,10,18,45",0.5085319719513324,"2,10,18,45",0.006268666220917217,"2,10,18,45"
94,14.820038841832487,"15,18,21,25",0.014560584146919527,"15,18,21,25",38.43733523699639,"15,18,21,25"
95,13.92253276290405,"9,10,37,45",0.0126864964193016,"9,10,37,45",0.006528138637430631,"9,10,37,45"
96,14.067948240108695,"15,31,32,37",0.03214951994853568,"15,31,32,37",22.59069888426055,"15,31,32,37"
97,22.475436318639012,"9,17,18,46",0.5626565287911988,"9,17,18,46",0.01994784918726884,"9,17,18,46"
98,24.24973269227317,"5,7,30,37",0.016270072287083756,"5,7,30,37",5.44974265273247,"5,7,30,37"
99,14.743445839746437,"4,11,16,34",0.015772274053138653,"4,11,16,34",0.011595095774793585,"4,11,16,34"
100,21.147972264847986,"5,33,39,41",0.41749034185694706,"5,33,39,41",0.032800099625280785,"5,33,39,41"
101,14.516999100484359,"26,28,29,47",0.011442397727558635,"26,28,29,47",57.33001991104921,
102,22.744521237410154,"23,33,38,40",0.037877066207739264,"23,33,38,40",0.014596497524357049,"23,33,38,40"
103,14.307354432316048,"0,14,40,45",0.01311799004392648,"0,14,40,45",38.46843926562074,"0,14,40,45"
104,20.967512472298683,"16,39,40,46",0.027507555883980208,"16,39,40,46",0.014534919212297315,"16,39,40,46"
105,21.165749509547695,"18,19,25,40",0.03288249035728225,"18,19,25,40",0.010639609907868748,"18,19,25,40"
106,14.03702881049725,"7,16,21,30",0.016701403049550947,"7,16,21,30",22.75801088510904,"7,16,21,30"
107,13.395907832207744,"28,34,36,38",0.017759128298098035,"28,34,36,38",15.103219966285849,"28,34,36,38"
108,23.2775499822018,"3,6,12,16",0.024485118840853113,"3,6,12,16",0.00849036776555015,"3,6,12,16"
109,14.3949167547795,"11,20,36,47",0.4439733599043742,"11,20,36,47",0.021316382540152886,"11,20,36,47"
110,22.568928402056788,"0,11,15,21",0.016736437287361412,"0,11,15,21",0.01889909125966881,"0,11,15,21"
111,14.436538930283094,"11,14,34,46",0.017546261550973597,"11,14,34,46",16.942347991003004,"11,14,34,46"
112,24.79368734357637,"13,19,45,46",0.015098943083582367,"13,19,45,46",0.016559191037440437,"13,19,45,46"
113,13.010879577939773,"23,27,29,37",0.024934994713699966,"23,27,29,37",0.008495074799862869,"23,27,29,37"
114,14.098276882237007,"8,29,32,49",0.030272253832822327,"8,29,32,49",0.01085190819036887,"8,29,32,49"
115,14.426750481966003,"13,17,31,32",0.025673234218039263,"13,17,31,32",0.014537796619561838,"13,17,31,32"
116,22.84829920145962,"35,36,44,46",0.07592290942331835,"35,36,44,46",33.8959079038438,"35,36,44,46"
117,22.770344439715274,"25,38,42,48",0.3864670826406684,"25,38,42,48",0.010627771350131873,"25,38,42,48"
118,21.32690297849614,"7,10,25,43",0.023259563586890252,"7,10,25,43",0.00613359233538446,"7,10,25,43"
119,22.103982658947505,"0,20,26,49",0.020614642379746695,"0,20,26,49",0.01053303465418752,"0,20,26,49"
120,24.0286144213654,"22,28,47,48",0.029659752378070142,"22,28,47,48",0.02071802856289383,"22,28,47,48"
121,15.23109645383934,"24,41,46,47",0.5055742202483045,"24,41,46,47",0.007876058107853093,"24,41,46,47"
122,13.774114749347085,"2,16,27,37",0.024235409395180544,"2,16,27,37",21.758676833373055,"2,16,27,37"
123,23.628505079207127,"5,11,17,40",0.018874017945037118,"5,11,17,40",0.008599518168589998,"5,11,17,40"
124,13.264794151016932,"3,12,44,45",0.02960300949293017,"3,12,44,45",0.009487148809933189,"3,12,44,45"
125,23.83316504768583,"11,17,29,34",0.08295046703776211,"11,17,29,34",0.010634904202110655,"11,17,29,34"
126,21.12973234724963,"9,13,27,35",0.4454506973780172,"9,13,27,35",3.4499929759535384,"9,13,27,35"
127,24.46262315983815,"21,28,45,46",0.031786317936865364,"21,28,45,46",0.017939965524389364,"21,28,45,46"
