simulation,HarderLASSO_QUT_(20)_mse,HarderLASSO_QUT_(20)_features,"HarderLASSO_QUT_(20, 10)_mse","HarderLASSO_QUT_(20, 10)_features","HarderLASSO_QUT_(20, 10, 5)_mse","HarderLASSO_QUT_(20, 10, 5)_features"
0,22.671698716091626,"1,17,44,47",0.004356367831647349,"1,17,44,47",0.43302353825541146,"1,17,44,47"
1,14.505560849199654,"1,7,18,30",0.010725516820298587,"1,7,18,30",22.795789446078285,"1,7,18,30"
2,22.672708809680827,"1,14,17,44",0.02136881810176843,"1,14,17,44",0.01433744520047947,"1,14,17,44"
3,14.25637031121221,"9,15,33,34",0.023882537061073385,"9,15,33,34",0.015456033909693233,"9,15,33,34"
4,23.836040787598044,"22,30,38,47",0.013241734161180773,"22,30,38,47",31.861499679384792,"22,30,38,47"
5,14.476806344412424,"18,22,33,37",0.10727820465687768,"18,22,33,37",69.01628783024925,"18,22,33,37"
6,23.498477204360135,"15,18,25,48",0.05367061627404858,"15,18,25,48",23.444819709587858,"15,18,25,48"
7,22.48530080001997,"0,2,16,40",0.005542309005680743,"0,2,16,40",8.048800993713144,"0,2,16,40"
8,22.675202972033915,"9,14,23,34",0.0071429837882076175,"9,14,23,34",2.1062811590321386,"9,14,23,34"
9,23.275794914446006,"13,17,21,49",0.014166730471783944,"13,17,21,49",0.014289630597303085,"13,17,21,49"
10,22.43527934389241,"21,28,39,41",0.0064924347337832625,"21,28,39,41",0.0068368523406279495,"21,28,39,41"
11,14.661519814721204,"26,37,38,49",0.02036040531923461,"26,37,38,49",0.009667635369081473,"26,37,38,49"
12,23.647826418968876,"1,18,22,38",0.18231819445222044,"1,18,22,38",23.479343986012694,"1,18,22,38"
13,22.12198682687514,"4,23,32,41",0.01194521953972667,"4,23,32,41",1.0662074131709982,"4,23,32,41"
14,14.091447753489133,"6,24,39,49",0.01168019264738018,"6,24,39,49",0.006561726563721976,"6,24,39,49"
15,0.01634946596162606,"9,22,30,33",0.005192202579935898,"9,22,30,33",0.3719701190489285,"9,22,30,33"
16,23.539244128853607,"6,7,31,38",0.0183320890485785,"6,7,31,38",0.5302423494764646,"6,7,31,38"
17,24.51170537696175,"3,16,34,41",0.2229698664817505,"3,16,34,41",0.009509228393613829,"3,16,34,41"
18,22.29452016324499,"8,24,39,42",0.019530159934152296,"8,24,39,42",0.013095968490808524,"8,24,39,42"
19,21.849774063898213,"2,8,12,21",0.009148322739032412,"2,8,12,21",22.176427836426782,"2,8,12,21"
20,0.027845709824500638,"39,40,41,44",0.024355281237978005,"39,40,41,44",11.308853103243695,"39,40,41,44"
21,13.664125530443089,"21,25,27,33",0.006318083683516205,"21,25,27,33",0.006660144340410493,"21,25,27,33"
22,21.71807306766112,"8,13,24,39",0.01759716975025559,"8,13,24,39",0.012418711602513408,"8,13,24,39"
23,15.244511906607212,"5,21,36,44",0.01449136280790431,"5,21,36,44",10.082742795090795,"5,21,36,44"
24,20.245915773308305,"1,20,24,30",0.04206908333020637,"1,20,24,30",0.006984473825830129,"1,20,24,30"
25,22.100818282027593,"11,32,36,45",0.0055432436717854205,"11,32,36,45",1.0119234140920002,"11,32,36,45"
26,21.931155932369435,"0,12,19,20",0.008131581202645686,"0,12,19,20",0.032453907266770526,"0,12,19,20"
27,20.289155528506356,"7,28,30,32",0.013613830777719523,"7,28,30,32",13.293990221819215,"7,28,30,32"
28,23.05436877517969,"7,10,17,49",0.7595860078045747,"7,10,17,49",0.4408690503895353,"7,10,17,49"
29,22.379200537264122,"7,8,24,34",0.016518625856530106,"7,8,24,34",1.464132659698761,"7,8,24,34"
30,15.487441459013716,"3,12,20,30",0.021719787825391555,"3,12,20,30",0.012875306621589437,"3,12,20,30"
31,22.577888158711207,"5,18,31,49",0.273338334290953,"5,18,31,49",0.01850739737247263,"5,18,31,49"
32,0.05151022407714487,"27,30,40,49",1.0865727457004288,"27,30,40,49",0.01247530064501503,"27,30,40,49"
33,21.05493521804482,"4,19,27,39",0.017166564005720177,"4,19,27,39",2.5214547716788793,"4,19,27,39"
34,14.447859415036156,"3,7,25,26",0.24702578371878842,"3,7,25,26",8.283002228460278,"3,7,25,26"
35,20.33527078965882,"8,29,41,44",0.16724198172972357,"8,29,41,44",0.009203281131825374,"8,29,41,44"
36,14.902357020683693,"25,31,42,45",0.01026021247979419,"25,31,42,45",42.44572200792425,"25,31,42,45"
37,22.66928322265037,"4,8,31,35",0.007916268407256205,"4,8,31,35",1.0214290385538969,"4,8,31,35"
38,13.998849897973553,"7,11,20,33",0.011534446412432607,"7,11,20,33",0.026035828577973853,"7,11,20,33"
39,23.321092495958975,"10,14,26,34",0.032540168803794414,"10,14,26,34",0.011346353575165648,"10,14,26,34"
40,22.24165545496249,"18,25,34,44",0.01055560013706022,"18,25,34,44",2.0592476303799927,"18,25,34,44"
41,14.586961029279363,"6,24,25,46",0.023364051564704183,"6,24,25,46",43.36038680960533,"6,25"
42,14.158707418642676,"16,26,45,47",0.012868648732939329,"16,26,45,47",0.008796641191976108,"16,26,45,47"
43,15.009850404047697,"3,4,15,24",0.021499077437026663,"3,4,15,24",0.01743963216301351,"3,4,15,24"
44,21.21422285194412,"3,18,28,35",0.027872100274647878,"3,18,28,35",0.004846407195725907,"3,18,28,35"
45,14.784226064969632,"4,18,20,49",0.2046817895827735,"4,18,20,49",0.020737334984799804,"4,18,20,49"
46,21.20322112824624,"4,11,18,35",0.00478569602190608,"4,11,18,35",0.5174089532834756,"4,11,18,35"
47,15.117394615780936,"25,37,39,46",0.02838871296622947,"25,37,39,46",0.05138686513135585,"25,37,39,46"
48,13.433453731117531,"17,19,27,45",0.012451507672477078,"17,19,27,45",20.855710002842248,"17,19,27,45"
49,20.72079604967698,"16,31,37,40",0.29953834713147626,"16,31,37,40",0.007818857246869947,"16,31,37,40"
