simulation,HarderLASSO_QUT_(20)_mse,HarderLASSO_QUT_(20)_features,"HarderLASSO_QUT_(20, 10)_mse","HarderLASSO_QUT_(20, 10)_features","HarderLASSO_QUT_(20, 10, 5)_mse","HarderLASSO_QUT_(20, 10, 5)_features"
0,21.640165909193943,"14,32,34,37",0.016016146441384365,"14,32,34,37",0.019305611969292046,"14,32,34,37"
1,21.60386306957133,"0,13,18,19",0.01839899989417447,"0,13,18,19",0.02074094415446042,"0,13,18,19"
2,21.249154203910013,"3,13,18,24",0.012504736254174066,"3,13,18,24",0.009894829675191737,"3,13,18,24"
3,23.152854960921577,"4,8,39,49",0.026564265913031376,"4,8,39,49",0.020699640504284956,"4,8,39,49"
4,21.555718784978563,"2,6,19,21",0.01531107704669637,"2,6,19,21",13.332119360065208,"2,6,19,21"
5,24.2780727266267,"21,23,28,31",0.030296111041826577,"21,23,28,31",46.5057578259177,"23,31"
6,22.097903938461428,"3,4,9,28",0.019587990669959185,"3,4,9,28",0.013878011568882952,"3,4,9,28"
7,22.367455849107934,"0,12,17,32",0.019074447534961132,"0,12,17,32",0.02036992302583417,"0,12,17,32"
8,23.175746665537478,"1,6,17,36",0.03207365255799655,"1,6,17,36",38.910503248998296,"1,6,17,36"
9,23.434486206003207,"4,24,39,41",0.016351003796019923,"4,24,39,41",38.12571441171175,"4,24,39,41"
10,20.70790758913516,"21,28,33,37",0.011746339629286402,"21,28,33,37",0.00916122651097486,"21,28,33,37"
11,22.952214177613293,"1,2,31,45",0.016992098598029876,"1,2,31,45",0.00904708181931516,"1,2,31,45"
12,21.74091684299554,"6,9,25,38",0.025089804805859976,"6,9,25,38",11.375302540658321,"6,9,25,38"
13,20.908140036486927,"3,8,19,36",0.015616324902558909,"3,8,19,36",35.998740994423194,"3,8,19,36"
14,22.561920387191986,"18,27,37,49",0.019870975925608533,"18,27,37,49",34.73359378690143,"18,27,37,49"
15,23.13135959723314,"2,17,19,23",0.02056984241445687,"2,17,19,23",0.020551339886657017,"2,17,19,23"
16,21.838300803872915,"2,16,21,39",0.037797494124568586,"2,16,21,39",35.715506714494346,"2,16,21,39"
17,22.020043340110778,"9,15,20,28",0.03339808058935978,"9,15,20,28",0.02900402579574758,"9,15,20,28"
18,22.260471823786165,"2,16,39,40",0.02346894966681233,"2,16,39,40",38.2358478271068,"2,16,39,40"
19,25.176921087056428,"4,8,31,47",0.01744189869162146,"4,8,31,47",16.22873328499604,"4,8,31,47"
20,22.460382487222102,"5,23,42,46",0.011378887529125052,"5,23,42,46",22.825667997139767,"5,23,42,46"
21,23.466962585431354,"11,22,34,43",0.020277245667650785,"11,22,34,43",14.814222730772617,"11,22,34,43"
22,22.983828888148366,"3,5,20,36",0.03226503213941231,"3,5,20,36",0.031480823622396174,"3,5,20,36"
23,22.797768135424224,"6,15,16,29",0.021475492018841975,"6,15,16,29",54.87806569727254,
24,22.515895577522986,"0,25,42,46",0.02173465669071085,"0,25,42,46",0.021286261753520188,"0,25,42,46"
25,21.886178429007078,"1,19,35,42",0.019440298770419914,"1,19,35,42",37.202840563250575,"1,19,35,42"
26,23.446908468661388,"14,24,38,49",0.020315801852342986,"14,24,38,49",35.565714968669056,"14,24,38,49"
27,23.129866544985532,"33,37,38,43",0.019597243799749763,"33,37,38,43",0.018232229099830556,"33,37,38,43"
