simulation,HarderLASSO_QUT_(20)_mse,HarderLASSO_QUT_(20)_features,"HarderLASSO_QUT_(20, 10)_mse","HarderLASSO_QUT_(20, 10)_features","HarderLASSO_QUT_(20, 10, 5)_mse","HarderLASSO_QUT_(20, 10, 5)_features"
0,23.224768576771,"3,7,16,29",0.012645120312964,"3,7,16,29",35.79179043967941,"3,7,16,29"
1,23.06786584725409,"0,8,17,19",0.014104395622132145,"0,8,17,19",0.021739985684121017,"0,8,17,19"
2,22.234288676088795,"3,15,28,30",0.017674459805123863,"3,15,28,30",0.018550207195014646,"3,15,28,30"
3,22.75936853684006,"24,32,38,44",0.026015276688362877,"24,32,38,44",0.022831290447307053,"24,32,38,44"
4,23.048864194225477,"14,27,47,49",0.013673345175727351,"14,27,47,49",0.011767482603673555,"14,27,47,49"
5,22.049336282018384,"1,3,26,39",0.021388945623825515,"1,3,26,39",0.01667409480594241,"1,3,26,39"
6,22.838122133281693,"16,21,29,34",0.011578857378444699,"16,21,29,34",0.011650540471553662,"16,21,29,34"
7,24.524239183867188,"1,10,17,22",0.017615571802915498,"1,10,17,22",0.011209989775614772,"1,10,17,22"
8,22.56976954148909,"1,21,22,36",0.019401644620905597,"1,21,22,36",36.38974805050852,"1,21,22,36"
9,23.374152421902828,"0,9,11,45",0.015882875114725723,"0,9,11,45",0.016013555530384038,"0,9,11,45"
10,20.44889919276444,"12,16,18,43",0.017560537445061277,"12,16,18,43",0.01800285311110824,"12,16,18,43"
11,20.84228067181044,"7,19,36,42",0.01388904454297084,"7,19,36,42",0.010558068202161723,"7,19,36,42"
12,22.36400165564126,"0,37,40,46",0.01959203777440164,"0,37,40,46",36.06024621119949,"0,37,40,46"
13,22.712099879111243,"21,27,36,46",0.015235604722008314,"21,27,36,46",0.02477709362364056,"21,27,36,46"
14,21.949974041058965,"13,29,30,45",0.01564669051812833,"13,29,30,45",0.016515828347935146,"13,29,30,45"
15,22.914863219429183,"2,18,40,48",0.014395657859624253,"2,18,40,48",0.019746321596565974,"2,18,40,48"
16,23.414919027495547,"29,37,40,42",0.012345125740683489,"29,37,40,42",38.89752946091513,"29,37,40,42"
17,23.084949612569904,"11,16,37,47",0.0177889588657438,"11,16,37,47",0.010983477637421043,"11,16,37,47"
18,22.048236713811974,"6,14,16,33",0.011885084261528314,"6,14,16,33",0.010346811849480865,"6,14,16,33"
19,22.354565606100973,"18,22,28,38",0.016702771408365884,"18,22,28,38",38.075747447160715,"18,22,28,38"
20,20.85543597474376,"2,35,39,40",0.016400251829882046,"2,35,39,40",0.018843372835496752,"2,35,39,40"
21,21.22698655961377,"2,7,33,47",0.01624909267231938,"2,7,33,47",0.01954198798866713,"2,7,33,47"
22,23.151572444259294,"2,13,35,45",0.01806395117139425,"2,13,35,45",0.018740400570052985,"2,13,35,45"
23,22.324728997830068,"10,14,20,37",0.01470475629750645,"10,14,20,37",16.73768820196003,"10,14,20,37"
24,23.17218236293967,"1,12,23,48",0.01733402186034037,"1,12,23,48",0.014496028009499793,"1,12,23,48"
25,22.49491248530416,"17,21,25,33",0.01553590491048925,"17,21,25,33",0.016350744957489716,"17,21,25,33"
26,25.198020665891708,"27,28,35,46",0.022397779284450862,"27,28,35,46",0.0278756360740783,"27,28,35,46"
27,24.430313609879978,"2,15,21,48",0.017580387577368677,"2,15,21,48",51.30620176081333,"21,48"
28,23.31889473252391,"0,5,9,28",0.02109405212895535,"0,5,9,28",0.019910132827077476,"0,5,9,28"
