simulation,RandomForest_acc,RandomForest_features,XGBoost_acc,XGBoost_features,LassoNet_acc,LassoNet_features,LASSO_QUT_acc,LASSO_QUT_features,HarderLASSO_QUT_acc,HarderLASSO_QUT_features,LASSO_CV_acc,LASSO_CV_features,linear_LASSO_QUT_acc,linear_LASSO_QUT_features,linear_HarderLASSO_QUT_acc,linear_HarderLASSO_QUT_features
29,0.9478487614080836,"4,6,7,15,16,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9498044328552804,"4,6,7,15,16,20,21,22,23,24,25,26,27,36,38,41,43,44,45,51,52,54,55,56",0.9341590612777052,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.60625814863103,"2,4,5,6,7,8,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,55,56",0.9308996088657104,"4,5,6,7,15,16,19,20,21,22,23,24,26,41,45,51,52,55,56",0.926336375488918,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9048239895697524,"4,5,6,7,15,16,18,20,22,23,24,25,26,51,52,55,56",0.8833116036505867,"4,6,15,20,24,52,55"
30,0.9478487614080836,"4,6,7,15,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9504563233376792,"4,5,6,7,12,15,16,20,21,22,23,24,25,26,27,36,38,41,44,45,51,52,54,55,56",0.9413298565840938,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.924380704041721,"4,5,6,7,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,55,56",0.60625814863103,"4,5,6,7,15,16,19,20,21,22,23,24,26,41,44,45,51,52,55,56",0.9341590612777052,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9009126466753584,"4,5,6,7,15,16,18,20,22,23,24,25,51,52,55,56",0.8872229465449805,"6,15,20,24,52,55"
31,0.9445893089960886,"4,6,7,15,16,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9413298565840938,"4,6,7,15,16,19,20,22,23,24,25,26,27,36,41,44,45,51,52,54,55",0.922425032594524,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9126466753585396,"2,4,5,6,7,8,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,56",0.910039113428944,"4,5,6,7,15,16,19,20,21,22,23,24,41,44,45,51,52,56",0.9139504563233376,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.878748370273794,"4,5,6,7,8,15,16,18,19,20,22,23,24,51,52,56",0.8617992177314211,"4,6,15,20,24,52,56"
32,0.9367666232073012,"4,6,7,15,16,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9426336375488916,"4,6,7,13,15,16,20,21,22,23,24,25,26,27,35,36,41,44,45,48,51,52,54,55,56",0.9367666232073012,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.924380704041721,"2,4,5,6,7,8,15,16,17,18,19,20,21,22,23,24,25,26,38,41,44,45,51,52,56",0.9152542372881356,"4,6,7,15,20,21,22,23,24,41,51,52,56",0.9282920469361148,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.8976531942633638,"4,5,6,7,8,15,16,18,19,20,22,23,24,25,51,52,56",0.8820078226857888,"4,6,15,20,22,24,51,52,56"
33,0.9322033898305084,"2,4,6,7,10,15,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.938722294654498,"4,5,6,7,8,15,16,20,21,22,23,24,25,26,27,35,36,41,44,45,48,51,52,54,55,56",0.9230769230769232,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9132985658409388,"4,5,6,7,8,10,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,56",0.909387222946545,"4,6,7,15,20,21,22,23,24,44,45,51,52,56",0.9146023468057366,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.8859191655801826,"4,5,6,15,16,18,19,20,22,23,24,25,51,52,56",0.864406779661017,"6,15,20,24,52,56"
34,0.9511082138200784,"4,6,7,15,16,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.954367666232073,"4,6,7,15,16,20,23,24,25,26,27,35,36,38,41,44,45,51,52,54,55,56",0.940026075619296,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9367666232073012,"2,4,5,6,7,8,15,16,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,55,56",0.940677966101695,"4,5,6,7,15,16,19,20,21,22,23,24,26,41,44,45,51,52,56",0.9256844850065188,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.8956975228161669,"4,5,6,7,8,15,16,18,20,22,24,25,51,52,55,56",0.8813559322033898,"6,15,20,24,51,52,55"
35,0.9419817470664928,"4,6,7,15,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9432855280312908,"4,6,7,15,16,20,21,22,23,24,25,26,27,36,38,41,44,45,51,52,54,55,56",0.9328552803129074,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9269882659713168,"4,5,6,7,8,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,56",0.9146023468057366,"4,6,15,20,23,24,44,51,52,56",0.922425032594524,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,55,56",0.8904823989569752,"4,5,6,7,15,16,17,18,20,22,23,24,25,51,52,56",0.8761408083441982,"6,15,20,24,51,52,56"
36,0.9413298565840938,"4,6,7,10,15,16,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9419817470664928,"4,6,7,15,16,20,22,23,24,26,27,34,36,41,44,45,47,51,52,54,55",0.9322033898305084,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9204693611473272,"4,5,6,7,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,55,56",0.9061277705345502,"4,5,6,7,15,16,19,20,24,41,44,51,52,56",0.9152542372881356,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,50,51,52,53,54,55,56",0.8911342894393742,"4,5,6,7,15,16,17,18,20,22,24,25,51,52,55,56",0.8885267275097783,"4,6,15,20,24,51,52,56"
37,0.954367666232073,"4,6,7,15,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.953715775749674,"4,6,7,15,16,19,20,21,22,23,24,26,27,28,36,41,44,45,51,52,54,55,56",0.9335071707953064,"1,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,28,30,31,32,34,35,36,40,41,43,44,45,46,47,48,50,51,52,53,54,55,56",0.9308996088657104,"4,5,6,7,8,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,55,56",0.9354628422425032,"4,5,6,7,8,15,16,19,20,21,22,23,24,26,36,41,44,45,51,52,55,56",0.9282920469361148,"0,1,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,55,56",0.9061277705345502,"4,5,6,7,8,15,16,18,19,20,22,23,24,25,51,52,55,56",0.8859191655801826,"6,15,20,22,24,51,52,56"
38,0.9498044328552804,"4,6,10,15,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9498044328552804,"4,6,7,13,15,16,20,22,23,24,25,26,27,36,41,44,45,51,52,54,55",0.9354628422425032,"0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,30,31,32,34,35,36,37,39,40,41,42,43,44,45,47,48,50,51,52,54,55,56",0.9276401564537158,"4,5,6,7,8,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,56",0.9308996088657104,"4,5,6,7,15,16,18,19,20,22,23,24,26,41,45,51,52,56",0.9289439374185136,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.8924380704041721,"4,5,6,8,15,16,18,19,20,22,23,24,25,51,52,56",0.8728813559322034,"4,6,15,20,24,52,56"
