simulation,RandomForest_acc,RandomForest_features,XGBoost_acc,XGBoost_features,LassoNet_acc,LassoNet_features,LASSO_QUT_acc,LASSO_QUT_features,HarderLASSO_QUT_acc,HarderLASSO_QUT_features,LASSO_CV_acc,LASSO_CV_features,linear_LASSO_QUT_acc,linear_LASSO_QUT_features,linear_HarderLASSO_QUT_acc,linear_HarderLASSO_QUT_features
13,0.925281022702226,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9327749614282566,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.926603482477408,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9243993828521048,"1,2,6,10,11,12,14,15",0.9277055322900596,"4,5,6,10,12,15",0.931011681728014,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9274851223275292,"0,2,3,4,5,6,10,12,13,15",0.9243993828521048,"0,2,4,5,10,12,13"
14,0.9241789728895746,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9279259422525898,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9292484020277716,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.93519947101609,"1,2,4,6,10,12,14,15",0.9285871721401808,"1,4,5,10,12,15",0.9312320916905444,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9279259422525898,"0,2,4,5,6,10,12,13,15",0.9246197928146352,"2,4,5,6,10,12,13"
15,0.9241789728895746,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9285871721401808,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9206524134890895,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9268238924399382,"1,2,4,5,6,10,12,14,15",0.9248402027771656,"1,4,5,10,12,15",0.9279259422525898,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9228565131143928,"0,2,4,5,6,10,12,13,15",0.9204320035265594,"2,4,5,6,10,12,13"
16,0.923738152964514,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9292484020277716,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9270443024024686,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.922415693189332,"1,2,4,5,6,10,12,14,15",0.9248402027771656,"1,4,5,10,12,15",0.9274851223275292,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9213136433766806,"0,2,4,5,6,10,12,13,15",0.9188891337888472,"2,4,5,6,10,12,13"
17,0.9173462640511352,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9318933215781352,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9235177430019836,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.925060612739696,"0,1,2,4,5,6,10,12,14,15",0.912276834912938,"1,4,5,10,12",0.9246197928146352,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9217544633017412,"0,2,3,4,5,6,10,12,13,15",0.9171258540886048,"0,2,4,5,10,12,13"
18,0.9232973330394534,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9305708618029536,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9246197928146352,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.926603482477408,"0,1,2,6,10,11,12,14,15",0.9263830725148776,"1,4,5,10,12,15",0.9243993828521048,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9228565131143928,"0,2,4,5,6,10,12,13,15",0.915803394313423,"2,4,5,6,10,12,13"
19,0.9182279039012564,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9232973330394534,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9217544633017412,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9228565131143928,"1,2,4,6,10,11,12,14,15",0.9232973330394534,"1,4,5,10,12,15",0.9241789728895746,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9184483138637868,"0,2,3,4,5,6,10,12,13,15",0.9169054441260746,"0,2,4,5,10,12,13"
20,0.925060612739696,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9261626625523474,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9248402027771656,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9235177430019836,"1,2,6,10,12,14,15",0.925060612739696,"1,4,5,10,12,15",0.9279259422525898,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9235177430019836,"0,2,4,5,6,10,12,13,15",0.9219748732642716,"2,4,5,6,10,12,13"
21,0.9191095437513775,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9228565131143928,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9173462640511352,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9210932334141504,"1,2,4,5,6,10,12,14,15",0.9230769230769232,"1,4,5,10,12,15",0.9235177430019836,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.918007493938726,"0,2,4,5,6,10,12,13,15",0.910733965175226,"2,4,5,6,10,12,13"
22,0.922415693189332,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9292484020277716,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9217544633017412,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9184483138637868,"0,1,2,6,10,11,12,14,15",0.923738152964514,"1,4,5,10,12,15",0.9232973330394534,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9184483138637868,"0,2,3,4,5,6,10,12,13,15",0.9175666740136654,"0,2,4,5,10,12,13"
