simulation,RandomForest_acc,RandomForest_features,XGBoost_acc,XGBoost_features,LassoNet_acc,LassoNet_features,LASSO_QUT_acc,LASSO_QUT_features,HarderLASSO_QUT_acc,HarderLASSO_QUT_features,LASSO_CV_acc,LASSO_CV_features,linear_LASSO_QUT_acc,linear_LASSO_QUT_features,linear_HarderLASSO_QUT_acc,linear_HarderLASSO_QUT_features
36,0.9526315789473684,"0,1,2,3,4,5,6,7,10,12,13,17,20,21,22,23,24,25,26,27,28,29",0.9473684210526316,"7,12,14,17,20,21,22,23,24,27",0.963157894736842,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.963157894736842,"7,20,21,22,27",0.9421052631578948,"20,27",0.968421052631579,"1,7,10,19,20,21,22,24,26,27,28",0.9421052631578948,"7,20,22,27",0.9210526315789472,20
37,0.9526315789473684,"0,1,2,3,5,6,7,10,12,13,16,20,21,22,23,24,25,26,27,28,29",0.963157894736842,"0,1,3,7,18,20,21,22,26,27",0.9526315789473684,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.963157894736842,"7,20,21,22,27",0.9526315789473684,"22,24",0.963157894736842,"7,10,15,19,20,21,22,26,27,28",0.936842105263158,"20,22,27",0.9473684210526316,"20,27"
38,0.968421052631579,"0,1,2,3,4,5,6,7,10,12,13,16,17,19,20,21,22,23,24,25,26,27,28,29",0.9894736842105264,"3,7,20,21,22,23,27",0.968421052631579,"0,1,2,6,7,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,26,27,28",0.9789473684210528,"7,20,21,27",0.9578947368421052,"22,27",0.9789473684210528,"1,7,9,10,19,20,21,22,24,26,27,28",0.9421052631578948,"7,20,22,27",0.9578947368421052,"20,27"
39,0.963157894736842,"0,1,2,3,4,5,6,7,10,12,13,16,17,20,21,22,23,24,25,26,27,28,29",0.9736842105263158,"2,3,6,7,17,21,22,23,27",0.9842105263157894,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.9736842105263158,"7,20,21,22,27",0.936842105263158,"22,27",0.9789473684210528,"0,1,7,9,10,19,20,21,22,24,26,27,28",0.9315789473684212,"7,20,22,27",0.936842105263158,"7,20"
40,0.968421052631579,"0,1,2,3,4,5,6,7,10,12,13,20,21,22,23,24,25,26,27,28,29",0.9736842105263158,"1,7,17,20,21,22,23,26,27",0.9736842105263158,"0,2,7,10,14,19,20,21,22,23,24,26,27,28",0.9842105263157894,"7,20,21,27",0.9315789473684212,"22,27",0.9842105263157894,"5,7,8,10,11,13,14,15,17,19,20,21,22,23,24,26,27,28,29",0.9315789473684212,"7,20,22,27",0.9210526315789472,20
41,0.9315789473684212,"0,1,2,3,4,5,6,7,10,12,13,16,17,20,21,22,23,24,25,26,27,28,29",0.936842105263158,"0,3,7,13,20,21,22,23,26,27",0.9736842105263158,"0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29",0.968421052631579,"7,20,21,27",0.9263157894736842,"20,27",0.9736842105263158,"1,7,10,19,20,21,22,24,27,28",0.9210526315789472,"7,20,27",0.9263157894736842,22
42,0.9526315789473684,"0,1,2,3,4,5,6,7,10,12,13,16,20,21,22,23,24,25,26,27,28,29",0.9421052631578948,"1,2,5,7,16,20,21,22,23,25,27",0.963157894736842,"0,2,7,20,21,22,23,24,26,27,28",0.9578947368421052,"20,21,27",0.9263157894736842,"20,27",0.9736842105263158,"1,6,7,10,20,21,23,24,26,27,28",0.9315789473684212,"20,22,27",0.9263157894736842,"20,27"
43,0.9421052631578948,"0,1,2,3,4,5,6,7,9,10,12,13,16,20,21,22,23,24,25,26,27,28,29",0.9473684210526316,"0,1,4,7,20,21,22,23,26,27",0.963157894736842,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.963157894736842,"7,20,21,27",0.936842105263158,"20,24",0.968421052631579,"4,6,7,8,9,10,11,13,14,15,19,20,21,22,23,24,25,26,28",0.9315789473684212,"20,27",0.9052631578947368,20
44,0.9736842105263158,"0,1,2,3,4,5,6,7,10,12,13,16,20,21,22,23,24,25,26,27,28,29",0.9578947368421052,"0,1,6,7,20,21,22,23,26,27",0.9736842105263158,"0,2,6,7,9,19,20,21,22,23,24,26,27,28",0.968421052631579,"20,21,27",0.963157894736842,"20,27",0.9842105263157894,"1,7,10,20,21,22,24,26,27,28",0.9578947368421052,"20,22,27",0.963157894736842,"20,27"
45,0.9578947368421052,"0,1,2,3,4,5,6,7,10,12,13,16,20,21,22,23,24,25,26,27,28,29",0.9789473684210528,"3,7,8,17,20,21,22,23,27",0.9789473684210528,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,26,27,28,29",0.9842105263157894,"7,20,21,27",0.9315789473684212,"22,27",0.9789473684210528,"0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,17,19,20,21,22,23,24,26,27,28,29",0.9263157894736842,"20,22,27",0.9052631578947368,22
46,0.9473684210526316,"0,1,2,3,5,6,7,10,12,13,16,17,20,21,22,23,24,25,26,27,28,29",0.9473684210526316,"1,6,7,20,21,22,24,27,28",0.968421052631579,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.963157894736842,"7,20,21,22,27",0.9526315789473684,"20,27",0.9736842105263158,"10,19,20,21,22,24,26,27,28",0.9578947368421052,"7,20,22,27",0.9,20
47,0.9578947368421052,"0,1,2,3,4,5,6,7,10,12,13,16,20,21,22,23,24,25,26,27,28,29",0.968421052631579,"3,4,7,21,22,23,26,27",0.968421052631579,"0,1,2,3,6,7,9,10,11,12,13,14,19,20,21,22,23,24,26,27,28",0.9526315789473684,"20,21,22,27",0.9315789473684212,"20,27",0.968421052631579,"1,4,5,6,7,10,11,12,13,14,15,17,18,19,20,21,22,23,24,26,27,28",0.9263157894736842,"20,22,27",0.9210526315789472,"22,27"
48,0.963157894736842,"0,1,2,3,5,6,7,10,12,13,20,21,22,23,24,25,26,27,28",0.9421052631578948,"1,5,6,7,8,21,22,23,25,26,27",0.968421052631579,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.9578947368421052,"20,21,27",0.9473684210526316,"20,27",0.968421052631579,"6,7,10,14,20,21,22,23,24,27,28",0.9473684210526316,"20,27",0.9473684210526316,"20,27"
49,0.9526315789473684,"0,1,2,3,5,6,7,10,12,13,16,17,20,21,22,23,24,25,26,27,28,29",0.9578947368421052,"1,6,7,10,12,15,16,20,21,22,23,26,27",0.9736842105263158,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.963157894736842,"7,20,21,27",0.9473684210526316,"20,24",0.9578947368421052,"1,7,10,19,20,21,22,24,26,27",0.9578947368421052,"7,20,27",0.9,20
