simulation,RandomForest_acc,RandomForest_features,XGBoost_acc,XGBoost_features,LassoNet_acc,LassoNet_features,LASSO_QUT_acc,LASSO_QUT_features,HarderLASSO_QUT_acc,HarderLASSO_QUT_features,LASSO_CV_acc,LASSO_CV_features,linear_LASSO_QUT_acc,linear_LASSO_QUT_features,linear_HarderLASSO_QUT_acc,linear_HarderLASSO_QUT_features
18,0.9714034315882094,"0,1,2,8,9,15,16,17,18,22,30,34,36,37,39,42,53,56,85,89,90,91,92,94",0.9692036955565332,"1,2,8,16,18,37,39,67,89",0.9661240651121864,"0,1,2,13,20,25,28,36,37,44,47,48,49,50,52,53,55,58,59,63,64,66,67,68,75,76,78,81,84,85",0.9692036955565332,"1,2,18,36,37,58,64,85",0.9678838539375276,"37,58,85",0.9674439067311924,"2,3,4,5,6,10,11,12,15,16,17,18,19,21,23,24,25,26,27,28,29,31,33,34,36,37,38,39,41,43,44,45,46,48,49,50,51,53,54,55,56,57,58,60,61,62,63,64,66,67,73,74,75,76,79,80,82,84,85,86,87,88,89,91,94",0.9670039595248572,"36,37,85",0.9696436427628684,18
19,0.9696436427628684,"0,2,15,16,17,18,22,34,36,37,39,42,53,56,61,64,85,89,90,91,92,94",0.9656841179058512,"1,9,14,17,18,36,39,42,56,59,60,61,67,85,89,91",0.9656841179058512,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94",0.9678838539375276,"2,36,37,53,83,85",0.9678838539375276,"2,36,53,64",0.968763748350198,"2,14,18,36,37,42,43,44,48,49,50,54,58,64,75,82,83,85",0.9678838539375276,"36,37,85",0.9674439067311924,18
20,0.9696436427628684,"2,15,16,17,18,22,34,36,37,39,42,56,64,85,87,89,90,91,92,94",0.9700835899692036,"1,2,8,39,67,68,80,85,89,92",0.9683238011438629,"1,2,36,37,48,53,59,64,85",0.9678838539375276,"0,2,36,37,53,64,85",0.9678838539375276,"37,85",0.9678838539375276,"0,2,18,33,36,37,42,43,44,45,48,54,58,64,73,80,85",0.9678838539375276,"36,37,85",0.9665640123185216,18
21,0.9709634843818742,"8,9,15,16,17,18,22,34,36,37,39,42,56,64,85,89,90,91,92,94",0.9683238011438629,"2,8,9,18,30,36,39,51,56,80,85,89",0.9692036955565332,"1,2,18,23,36,37,39,48,53,61,64,67,85",0.9678838539375276,"18,36,37,53,85",0.9678838539375276,"36,37,85",0.9678838539375276,,0.9692036955565332,"36,37,85",0.9678838539375276,18
22,0.9692036955565332,"0,1,8,9,15,16,17,18,22,34,36,37,39,42,53,56,61,64,68,85,87,89,91,92,94",0.9696436427628684,"7,8,9,18,34,36,39,56,85",0.9674439067311924,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94",0.965244170699516,"18,36,37,53,78,85",0.9678838539375276,"37,85",0.9674439067311924,"0,18,36,37,42,43,44,48,49,50,53,58,64,75,80,82,85",0.9665640123185216,"36,37,85",0.9648042234931808,"18,37"
23,0.970523537175539,"8,9,15,16,17,18,22,34,36,37,39,42,56,64,68,85,89,90,91,92,94",0.9661240651121864,"8,9,16,39,79,85,89",0.9661240651121864,"0,1,2,10,11,13,14,18,23,25,28,29,34,36,37,44,45,47,48,49,50,52,55,56,58,59,61,63,64,67,68,70,71,73,75,76,78,79,81,83,84,85,89,90,92,94",0.9678838539375276,"36,37,53,85",0.9678838539375276,"36,85",0.9678838539375276,"10,18,36,37,44,48,50,54,56,58,64,73,75,82,83,85",0.9670039595248572,"36,37,85",0.9648042234931808,"18,37,85"
24,0.9696436427628684,"0,1,8,15,16,17,18,22,34,36,37,39,42,56,85,89,90,91,92,94",0.9634843818741752,"9,18,20,39,67,85",0.9665640123185216,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,94",0.9656841179058512,"1,2,18,36,37,53,85",0.9661240651121864,"18,36,49,85",0.9661240651121864,"0,2,18,31,36,37,42,43,44,48,49,53,56,58,64,75,82,85",0.9661240651121864,"36,37,85",0.9656841179058512,18
25,0.9665640123185216,"8,9,15,16,17,18,22,34,36,37,39,42,53,56,64,87,89,90,91,92,94",0.9665640123185216,"9,15,16,39,42,53,67,85,91",0.9670039595248572,"2,6,7,8,9,10,11,13,14,17,18,20,22,23,25,26,28,29,31,32,35,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,55,56,58,59,61,63,64,66,67,68,69,70,71,72,73,75,76,78,79,80,81,82,83,84,85,89,90,91,92,94",0.9634843818741752,"1,2,18,36,37,53,78,83,85",0.9678838539375276,"0,37,83",0.9678838539375276,"2,14,15,16,18,31,33,36,37,42,43,44,48,53,58,75,80,82,83,85",0.9661240651121864,"36,37,83,85",0.9630444346678398,"18,36"
26,0.9709634843818742,"8,9,15,16,17,18,22,34,36,37,39,42,51,53,56,64,85,87,89,90,91,92,94",0.959524857017158,"0,2,6,9,39,67,89",0.9683238011438629,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94",0.9678838539375276,"0,18,36,37,53,83,85",0.9678838539375276,"0,37,48,49,83",0.970523537175539,"0,2,14,18,31,36,37,42,44,48,49,50,53,54,58,75,82,83,85",0.9692036955565332,"36,37,83,85",0.9700835899692036,"18,36"
27,0.9718433787945446,"8,15,16,17,18,22,30,34,36,37,39,42,56,64,85,89,90,91,92,94",0.9678838539375276,"8,11,18,37,39,67,79,85,89",0.968763748350198,"0,1,2,18,36,37,44,53,85",0.9692036955565332,"1,2,18,36,37,53,64,85",0.9700835899692036,"18,37,49",0.968763748350198,"0,2,15,16,18,36,37,42,43,44,45,48,49,53,54,56,58,73,75,82",0.9700835899692036,"1,36,37,85",0.9692036955565332,"18,36"
28,0.9736031676198856,"8,9,15,17,18,22,34,36,37,39,42,56,64,68,85,89,90,91,92,94",0.9678838539375276,"2,8,18,34,36,39,56,67,85,89",0.9665640123185216,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94",0.9678838539375276,"0,18,36,37,44,53,83,85",0.9678838539375276,"0,36,44",0.9683238011438629,"0,2,18,33,36,37,42,44,48,50,56,64,69,75,84,85",0.9696436427628684,"1,2,36,37,39,85",0.9700835899692036,18
29,0.9678838539375276,"0,8,9,15,16,17,18,22,30,34,36,37,39,42,56,61,67,85,89,90,91,92,94",0.9678838539375276,"2,8,17,20,30,37,39,61,67,74,82,85,89",0.9674439067311924,"0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,94",0.9678838539375276,"0,18,36,37,53,78,85",0.9678838539375276,"0,37",0.9670039595248572,"0,1,2,14,15,16,18,36,37,42,43,44,45,48,49,53,54,56,58,64,73,75,80,82,85",0.9670039595248572,"2,36,37,85",0.965244170699516,"18,36"
30,0.9700835899692036,"0,1,2,9,15,16,17,18,22,34,36,37,39,42,53,56,61,64,68,85,89,90,91,92,94",0.9678838539375276,"9,18,19,36,39,42,61,67,68,89",0.9692036955565332,"0,1,2,13,14,18,23,27,29,34,36,37,39,43,44,48,50,52,53,58,59,63,67,70,73,75,76,84,85,92,94",0.9678838539375276,"2,36,37,53,64,85",0.9678838539375276,"37,85",0.9683238011438629,"2,14,15,18,36,37,44,48,50,53,54,58,64,80,84,85",0.9674439067311924,"36,37,39,85",0.9678838539375276,18
31,0.9718433787945446,"2,8,9,15,16,17,18,22,34,36,37,39,42,56,61,64,85,87,89,90,91,92,94",0.9656841179058512,"0,8,15,18,23,36,39,42,67,68,85,91",0.9674439067311924,"36,37,85",0.9656841179058512,"18,36,37,78,85",0.9678838539375276,"36,85",0.9670039595248572,"2,18,31,36,37,44,45,48,50,54,56,58,64,75,80,82,84,85",0.968763748350198,"36,37,85",0.9661240651121864,18
32,0.970523537175539,"8,9,15,18,22,34,36,37,39,42,56,64,85,89,90,91,92,94",0.9678838539375276,"9,14,16,18,39,53,56,67,68,85",0.9696436427628684,"0,1,2,18,36,37,39,44,53,59,83,84,85",0.9714034315882094,"18,36,37,64,85",0.9678838539375276,"18,36,85",0.9700835899692036,"14,18,36,37,42,44,45,48,49,50,54,56,58,64,73,82,84,85",0.9714034315882094,"36,37,85",0.9696436427628684,18
33,0.9696436427628684,"2,8,15,16,17,18,22,34,36,37,39,42,56,64,85,89,90,91,92,94",0.9692036955565332,"0,2,8,30,37,39,42,67,89,91",0.9692036955565332,"0,1,2,18,36,37,39,53,83,85,91",0.9678838539375276,"0,2,36,37,53,85",0.9678838539375276,"36,85",0.9678838539375276,,0.9678838539375276,"1,2,36,37,39,85",0.9661240651121864,18
34,0.9709634843818742,"8,9,15,16,17,18,22,34,36,37,39,42,53,56,64,85,87,89,90,91,92,94",0.9643642762868456,"0,2,6,15,16,18,36,39,56,59,85",0.9674439067311924,"0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,94",0.9678838539375276,"0,2,36,37,53,83,85",0.9678838539375276,"37,85",0.970523537175539,"0,2,14,18,36,37,43,44,45,48,54,58,64,75,80,83,84,85,86",0.970523537175539,"36,37,85",0.9700835899692036,"37,85"
