simulation,LassoNet_c_index,LassoNet_features,GBoost_c_index,GBoost_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
0,0.4862865609100676,"0,1,2,3,4,6,7,8,9,10,11,13,15,16,17,18,21,22,25,26,27,28,29,31,32,35,36,38,39,40,44,46",0.4899516941864235,"4,31",0.5,,0.5,
1,0.4874015410040135,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.4952983817311613,9,0.5,,0.5,
2,0.5013050838892258,"16,22,23,24,40",0.5,,0.5,,0.5,
3,0.5152049004792191,"0,1,2,6,7,9,10,11,12,14,18,19,22,24,26,28,29,30,33,34,38,39,40,43,45,47,49",0.4981749809416829,"6,30",0.5,,0.5,
4,0.4950327534597197,"0,1,2,3,5,6,7,9,10,11,12,14,15,16,21,22,24,25,26,27,29,31,32,33,34,35,36,37,39,40,41,43,44,45,46,47,48,49",0.5,,0.5,,0.5,
5,0.5102147787964143,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.5,,0.5,,0.5,
6,0.5102481815488005,3,0.4974910684833474,3,0.5,3,0.5,3
7,0.5009540994339277,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.530090725940593,46,0.5,,0.5,
8,0.4977389308855292,"0,1,2,3,4,8,10,11,12,13,16,17,18,20,21,22,25,26,31,32,34,37,39,42,46,47,48,49",0.5,,0.5,,0.5,
9,0.4923689704428085,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.4772978244148995,"36,46",0.5,,0.5,
10,0.5102468437912191,"1,9,10,14,20,34",0.4830701589096162,20,0.5040864267319892,20,0.5,
11,0.4978780798399108,45,0.5020963377335107,"5,24",0.5,,0.5,
12,0.4965481808389601,26,0.5152273985735419,"26,42",0.5,,0.5,26
13,0.5086387087492842,"0,4,5,6,10,11,12,14,16,18,20,21,22,24,25,26,28,29,31,32,35,37,39,40,41,46,47",0.5012961589127497,"31,49",0.5,,0.5,
14,0.4949541822979856,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.5,,0.5,,0.5,
15,0.4820241306205809,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.495279877459958,"14,46",0.5,,0.5,
16,0.4962685364281109,"0,2,3,4,5,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,48,49",0.5,,0.5,,0.5,
17,0.4956543590247846,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.5040479195004834,"9,12,17",0.5,,0.5,
18,0.5377353531161375,1,0.5273583731064536,1,0.5,,0.5,
19,0.4952915276851234,"12,25,39,45,46",0.5,,0.5,,0.5,
20,0.5064768656894229,44,0.5102957411265748,"2,37",0.5,,0.5,
21,0.5172840901953395,"0,2,3,4,5,6,7,8,10,12,15,17,18,21,28,31,32,34,37,38,40,41,46,47",0.4937353181332831,38,0.5,,0.5,
22,0.5110103266971243,39,0.4729285468147308,39,0.5,,0.5,39
23,0.5062413393446664,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.5,,0.5,,0.5,
24,0.5023320513869569,"6,42",0.4928101901099201,41,0.5,,0.5,
25,0.5068838833703825,32,0.5138273562467939,30,0.5,,0.5,
26,0.471985745915707,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.4904256573517274,33,0.5,,0.5,
27,0.5017727759043324,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.5015154593101206,7,0.5,,0.5,
28,0.502528849761219,"0,1,3,5,10,13,17,19,22,24,31,33,34,38,41,43,44,46,48,49",0.4933499572648367,"8,33",0.5,,0.5,
29,0.5158273863542612,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.5,,0.5,,0.5,
30,0.5,,0.5,,0.5,,0.5,
31,0.532521998157838,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.5076570107142158,"2,6,35",0.5,,0.5,
32,0.514966556666253,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.5042206221650412,38,0.5,,0.5,
33,0.4867668694580301,"14,33,35",0.4805320291065251,"40,46",0.5,,0.5,
34,0.4820177577225156,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.4968842717708411,18,0.5,,0.5,
35,0.5041165717806316,"1,2,3,4,5,6,7,8,9,10,12,13,15,16,17,18,19,20,21,23,24,25,26,28,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,49",0.5,,0.5,,0.5,
36,0.5064243785066106,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.481265637825838,1,0.5,,0.5,
37,0.492887772831213,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.5,,0.5,,0.5,
38,0.4982910906298003,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.5,,0.5,,0.5,
39,0.5055942193067164,"0,2,4,5,6,7,8,11,12,14,15,16,20,28,31,34,35,37,38,39,43,46,48",0.5,,0.5,,0.5,
40,0.4979142498131264,"26,28,34,48",0.5112914504336271,"34,39",0.4894640814259726,34,0.5,34
41,0.4991065022807356,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.5,,0.5,,0.5,
42,0.4941885982306687,18,0.5083112563520895,44,0.5,,0.5,
43,0.5312964693454678,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.5263586993323311,"9,27,36,37,38",0.4925689676187381,36,0.4929197307655846,36
44,0.5093683600540854,"3,7,15,16,33,38,42,44,49",0.4775999077114588,"13,33,36,38",0.5012448221835898,38,0.5,
45,0.4793937000367702,"6,8,9,14,31,33,34,39,49",0.5077353634122758,4,0.5,,0.5,
46,0.5153697297440587,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.5,,0.5,,0.5,20
47,0.4982905355234062,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.4704549596229114,"1,15,27,42,47",0.5,,0.5,
48,0.4865033470397413,8,0.5,,0.5,,0.5,
49,0.5064692313094589,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.4904433651887827,"4,13,47",0.5,,0.5,
50,0.5146399465597863,27,0.5195190380761523,"27,46",0.5,,0.5,
51,0.5020533032732932,"5,13,41,45",0.4997441698712055,41,0.4965076522522378,"13,45",0.5,
52,0.5156450103759925,"1,2,3,11,23,25,28,36,44,45",0.5,,0.5,,0.5,
53,0.5023144631964376,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.4966928626058963,2,0.5,,0.5,
