simulation,LassoNet_c_index,LassoNet_features,GBoost_c_index,GBoost_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
0,0.9292365600196384,"0,1,8,9,12,20,24,25,27,28,30,31,32,34,40,41,48",0.8820991190028094,"0,9,20,24,30,44",0.5,,0.9814117775413904,"9,20,24,30"
1,0.927751426410944,"3,7,9,15,21,23,24,26,28,29,33,36,40,41,42,43,47",0.8809429382743468,"4,8,28,36,41,42,43",0.5,,0.9772726070931886,"28,36,41,43"
2,0.9329956139641024,"7,8,10,20,23,39,40,41",0.8978668651981808,"8,10,20,23",0.5,,0.9832839701986934,"8,10,20,23"
3,0.8976064850726314,"1,2,3,4,6,7,9,12,15,17,19,20,22,23,24,25,29,32,33,34,35,36,38,46",0.8797378543876695,"3,25,34,38,49",0.5,,0.9805363104236106,"3,25,34,38"
4,0.9326044853016546,"1,2,3,7,9,11,13,16,20,23,26,30,32,35,42,46,47,48,49",0.8743168735602419,"16,20,30,49",0.5,,0.980440869438555,"16,20,30,49"
5,0.9193841993030634,"0,3,8,13,14,18,20,21,22,26,28,34,35,37,39,41,43,45,47",0.8790268892702969,"8,14,22,28,37,40",0.5,"8,22",0.976787850418682,"8,22,28,37"
6,0.924303220005994,"4,10,12,26,28,31,32,33,35,36,38,42,43,45,46,48,49",0.8794495687789284,"4,14,32,35,49",0.5,,0.979923523470192,"4,32,35,49"
7,0.9061922629059388,"0,5,7,10,16,17,19,20,22,29,38,41,42,44,47",0.8646901280890154,"16,19,20,47",0.5,,0.9786595937378704,"16,19,20,47"
8,0.9321139335519298,"0,2,3,7,10,12,13,18,20,21,22,25,26,29,30,31,33,47,48",0.8763652405219979,"2,3,21,31,33,44",0.5,,0.9794888002212302,"2,21,31,33"
9,0.91059501305248,"0,2,3,4,5,8,10,11,12,16,17,18,24,26,27,28,29,35,36,38,39,42,44,45,46,47,49",0.8580404562581176,"8,11,12,29",0.5,,0.9768090222856628,"8,11,12,29"
10,0.9276331051299896,"6,8,11,17,23,26,34,36,43,48,49",0.8866144981954133,"17,23,26,48",0.5,,0.9778863946569128,"17,23,26,48"
11,0.9200247160562928,"0,1,4,5,6,7,9,11,13,14,15,21,22,28,29,31,32,35,40,43,45,47",0.8699262120427045,"7,14,27,28,40,43,47",0.5,,0.9799556108495728,"7,40,43,47"
12,0.9322643772489112,"2,4,8,10,11,14,15,16,19,21,23,26,27,30,31,36,42,46",0.8879266355238516,"2,11,19,30,42",0.5,,0.9770348042000716,"2,11,19,30"
13,0.920072256431218,"0,6,7,10,12,13,15,16,21,23,26,32,33,35,36,46",0.882937988686858,"7,13,23,32,36,46",0.5,,0.9789638849698712,"13,23,32,36"
14,0.9311956961475912,"0,2,5,12,13,15,16,17,18,19,25,27,28,30,32,35,36,42,44,45,47,48",0.8933963300441798,"2,16,29,30,35,44,47",0.5,,0.9806053364126168,"2,16,30,35"
15,0.9312607581843012,"1,11,12,15,16,21,22,24,25,26,27,29,32,34,35,36,38,39,40",0.8672975441035048,"11,15,25,34",0.5,,0.9780243461583012,"11,15,25,34"
16,0.9286827895657463,"0,3,4,5,7,10,12,14,20,24,26,27,28,31,35,42,45,47,49",0.8896575513618635,"5,10,13,28,49",0.5,,0.9803597231728648,"5,10,28,49"
17,0.9281909651922629,"0,9,10,12,13,17,18,23,25,31,32,37,39,41,42,43,45,46,47",0.8750220763830054,"0,9,12,23,41,43",0.5,,0.9752782904049,"9,12,23,43"
18,0.9290628995920356,"0,2,4,5,9,11,14,16,20,21,22,23,24,28,29,32,34,35,37,39,41,47",0.8630512880927861,"0,4,5,14,24,37",0.5,,0.977367371845953,"0,4,14,37"
19,0.9215472843692328,"2,4,9,10,12,16,17,24,25,28,37,38,42",0.898733219001976,"4,9,12,17,37,38,42",0.5,,0.979864107523682,"12,17,38,42"
20,0.9297908422837762,"0,8,12,15,16,17,19,23,25,26,32,33,40,42,46",0.8595955027950506,"15,19,27,40,42",0.5,,0.9752854720180892,"15,19,40,42"
21,0.9167913693161251,"0,2,8,10,11,14,15,17,19,20,21,22,23,26,28,29,32,35,37,40,44,45,48",0.8699819563819845,"17,28,40,48",0.5,,0.9789689206783104,"17,28,40,48"
22,0.9307683179282974,"2,6,11,17,20,25,29,30,33,36,39,43,45,48",0.8847681333315752,"2,20,29,36",0.5,,0.9782070384093036,"2,20,29,36"
