simulation,LassoNet_c_index,LassoNet_features,GBoost_c_index,GBoost_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
0,0.7861467558286643,"3,4,5,6,7,12,13,16,18,19,23,25,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,46,48,49",0.7915368750066446,"1,3,7,13,33,38,42,46,48",0.5683971040069742,"33,48",0.9662267039474384,"3,7,13,33,38,42,46,48"
1,0.801698098015942,"0,1,2,3,4,5,7,9,10,11,13,14,16,17,18,19,20,23,24,25,26,27,28,29,30,31,32,33,34,36,38,39,40,41,43,46,48,49",0.8153467750942162,"1,5,7,9,14,28,29,32",0.5,,0.9551268898418,"1,5,7,9,14,28,29,32"
2,0.7988435379739728,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,25,27,28,29,30,31,32,33,34,35,37,38,39,40,41,42,44,45,46,47,48,49",0.820201928897581,"1,2,9,12,13,30,41,42",0.5,,0.986789160702204,"1,2,9,12,13,30,41,42"
3,0.792895195864156,"0,2,3,4,5,6,7,8,9,10,11,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,37,42,43,44,47,48,49",0.8334169573806322,"0,15,16,21,24,29,31,34,49",0.5,,0.968282405850706,"0,15,16,21,24,29,31,49"
4,0.8201502430402121,"0,1,2,3,5,6,7,8,9,10,13,14,15,16,17,18,19,22,24,26,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49",0.8129024367148538,"10,14,15,23,24,26,39,40,43,49",0.5,,0.981693074932138,"10,14,15,24,26,40,43,49"
5,0.8051627632935631,"1,2,3,4,5,6,7,8,9,12,13,14,15,16,17,19,20,21,22,23,24,28,30,31,32,33,35,36,37,39,40,41,42,43,45,46,47,48,49",0.8303768701470867,"2,3,14,17,20,35,39,42",0.5,,0.9614107905645688,"2,3,14,17,20,35,39,42"
6,0.7748512069794092,"0,1,2,3,4,5,6,7,8,9,10,11,13,15,16,17,18,19,20,21,22,25,26,27,28,29,30,32,33,34,35,37,38,39,41,43,45,47,49",0.8196449035419868,"5,8,16,17,26,28,34,38",0.5,,0.9666555765036412,"5,8,16,17,26,28,34,38"
7,0.8129721864681851,"2,3,4,5,8,9,12,13,15,17,18,19,20,21,22,24,25,26,27,30,32,34,35,36,38,40,43,44,45,46,47,48",0.8196997193863275,"3,12,18,20,22,30,35,36,38,46",0.5,,0.9842371332102152,"3,12,20,22,35,36,38,46"
8,0.827108567514562,"0,2,3,4,5,6,7,9,10,11,12,13,15,16,17,18,19,20,22,24,25,26,27,28,30,31,32,33,34,35,36,37,38,39,41,42,44,45,46,47,48,49",0.7989573216249408,"3,4,17,20,23,25,31,35,41,42,45",0.5,,0.971737717023992,"17,20,25,31,35,41,42,45"
9,0.8343749588485495,"2,4,6,7,8,9,10,13,16,17,18,19,21,22,24,26,29,30,31,32,33,34,35,36,38,39,40,41,42,43,44,46,48",0.8291944850472089,"4,17,22,24,31,35,38,46",0.5665507841820409,"24,46",0.5,
10,0.8307312549436762,"0,3,5,6,10,12,13,14,15,16,18,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,40,42,43,44,45,48,49",0.836262717180809,"0,6,12,15,25,26,40,42",0.5,,0.5,"0,6,12,15,25,26,40,42"
11,0.8427757558752087,"0,2,3,4,7,8,9,10,12,13,14,15,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35,36,37,38,39,41,42,43,44,45,46,47,48",0.8120882264750948,"4,7,13,21,24,25,35,39,46",0.5,,0.9692010596419994,"4,7,13,24,25,35,39,46"
12,0.8026662277814351,"0,1,3,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,28,29,30,32,33,34,35,36,38,39,40,41,42,43,46,48",0.8618553873162168,"0,9,10,33,36,40,41,43",0.5,,0.9689159534781656,"0,9,10,33,36,40,41,43"
13,0.8494600475278499,"2,5,8,9,10,12,16,17,18,19,21,22,23,24,25,26,28,31,34,35,36,37,40,41,43,46,47,49",0.8023746377756165,"5,16,19,21,23,25,32,37,41",0.5680944240005615,"16,21",0.979560016444235,"5,16,19,21,23,25,37,41"
14,0.7947552778566696,"1,2,5,7,8,9,10,12,15,18,19,21,22,24,25,27,28,29,30,31,32,34,36,39,41,42,44,46,47,49",0.8169756968393719,"1,7,8,19,22,32,47,49",0.5,,0.5,"1,7,8,19,22,32,47,49"
15,0.8159654459500388,"0,1,2,4,5,6,8,9,11,12,13,14,15,16,17,18,20,21,22,23,24,26,27,30,31,33,35,36,37,39,41,42,43,44,45,46,47,48,49",0.8172967776768195,"0,11,12,13,16,24,27,43,45",0.5,"0,24",0.965654011772607,"0,12,13,16,24,27,43,45"
16,0.8015136885696545,"0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49",0.776177047404656,"9,18,20,31,33,37,38,47,49",0.5,,0.9690889148433932,"9,18,20,31,33,37,38,47"
17,0.8229744982439253,"0,1,2,3,5,6,8,9,11,12,13,14,15,16,19,20,21,22,25,27,28,29,30,31,32,33,34,35,36,38,40,41,42,43,47,48,49",0.8322046328285693,"2,11,15,19,29,30,34,43",0.5,,0.9859915089637156,"2,11,15,19,29,30,34,43"
18,0.7789790369128654,"0,1,2,4,5,6,7,8,10,11,12,13,14,15,16,17,18,20,21,22,23,24,26,28,29,30,31,32,34,36,37,38,40,41,43,44,46,47,48,49",0.8210616326754071,"0,2,5,15,16,28,29,30,31,41,47",0.5,,0.6898070540879454,"5,28,41"
19,0.8263094423258694,"0,2,4,5,6,9,11,12,14,17,18,19,21,23,26,27,28,29,30,31,34,35,36,38,39,40,41,43,44,47,48,49",0.8222827917386439,"6,11,12,14,18,38,40,48",0.5,,0.9707908260269656,"6,11,12,14,18,38,40,48"
20,0.8011394262841894,"1,2,3,5,6,7,8,9,11,13,14,16,17,19,20,21,22,24,25,27,29,30,31,32,34,35,36,37,39,40,41,43,44,45,48,49",0.8048365577051367,"1,6,7,20,29,31,35,36,49",0.5630740493662442,"1,49",0.980925950633756,"1,6,20,29,31,35,36,49"
21,0.7821015170984237,"0,1,2,3,5,6,7,8,9,10,11,12,14,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49",0.8180433713533322,"1,16,29,34,35,36,41,45,48",0.5,,0.968338700551528,"1,16,29,34,35,41,45,48"
22,0.8364584630282907,"0,1,2,3,4,6,7,9,10,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,33,34,35,36,37,40,41,42,43,44,45,46,47,48,49",0.8008286643148648,"3,6,7,22,25,26,31,43,46",0.5,,0.9854893823061492,"6,7,22,25,26,31,43,46"
23,0.8286437876934304,"1,2,3,4,5,6,7,8,9,10,12,13,15,16,17,18,20,21,22,23,25,26,29,30,31,32,33,34,36,37,38,39,40,41,42,44,45,46,47,48",0.8041672032279527,"2,5,10,16,25,29,34,40",0.5,,0.9618880518532826,"2,5,10,16,25,29,34,40"
24,0.7828944699152026,"0,1,2,3,4,5,7,8,10,11,12,14,17,20,21,22,23,25,26,29,30,31,33,35,36,37,38,40,41,44,45,46,47,48",0.8129670953868625,"1,12,20,25,31,40,46,47",0.5,,0.9666409705035096,"1,12,20,25,31,40,46,47"
25,0.769992069529189,"0,1,2,3,4,6,7,8,9,10,12,13,14,15,16,19,21,23,24,25,26,27,29,30,31,32,33,34,36,37,38,39,41,42,44,45,46,47,49",0.8130256634351347,"2,6,8,27,29,30,34,49",0.5594947157168983,"6,29",0.5,"8,27"
26,0.8448017487720407,"1,3,4,5,7,9,11,12,13,14,15,17,20,22,24,25,27,29,30,31,32,34,35,37,38,39,42,43,44,45,46,48",0.80349886092785,"4,11,13,19,22,25,42,44,45",0.5,,0.5,"4,11,13,22,25,42,44,45"
27,0.7710875725730554,"0,1,2,3,4,5,7,8,9,10,11,12,14,16,17,18,19,20,22,25,26,27,28,29,33,34,35,36,37,39,40,46,47,48",0.8095099053910668,"3,19,26,27,29,37,39,45,47",0.5,,0.6966961173578324,"19,39"
