simulation,LassoNet_c_index,LassoNet_features,GBoost_c_index,GBoost_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
0,0.7026308313869074,"0,1,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32,33,35,36,38,39,40,41,42,43,44,45,46,47,48,49",0.8119173873703259,"3,6,10,16,17,18,21,23,40,41,48",0.5,"40,48",0.5,
1,0.6925890030367642,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,37,38,39,40,41,43,44,45,46,47,48,49",0.8030858693545261,"0,3,6,12,13,20,24,38,40,47,49",0.5501208244491826,40,0.5,
2,0.7370665997585033,"0,1,2,3,5,6,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,29,30,31,32,34,36,37,38,39,40,41,43,44,45,46,47,48,49",0.7890694015378423,"1,12,15,18,22,25,30,31,43,45,46",0.5,,0.5,
3,0.6503080518376886,"0,1,4,6,7,8,9,10,11,13,14,15,16,18,19,20,21,22,24,25,26,27,28,29,30,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49",0.8168192676190624,"9,13,24,26,32,35,39,42,44,45",0.5459344411799758,"13,26",0.5066571841626638,26
4,0.6980185193821346,"2,3,4,6,7,8,9,12,14,16,17,18,19,20,21,22,23,25,26,27,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.800043526247882,"2,14,21,25,30,34,38,39,42,48",0.5,,0.5,
5,0.704776226515357,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49",0.8236874758613889,"6,15,17,23,31,35,39,43,45,46,47,49",0.5,,0.5,
6,0.7225324530141772,"1,2,3,4,5,7,8,10,12,13,14,16,17,19,20,21,22,23,24,25,26,27,28,29,32,33,34,35,36,38,40,42,43,44,46,47,49",0.7831931233820634,"4,7,8,10,23,26,27,28,29,38,46,49",0.5622715358983269,"7,28",0.5,"7,28"
7,0.6965763979772792,"0,1,2,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34,36,37,38,39,40,41,42,43,45,47,48",0.7869689906272345,"2,9,15,17,18,27,28,30,33,38,43",0.5,,0.5,
8,0.7336809807872108,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,28,31,33,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49",0.7842979233332017,"1,2,3,9,14,15,18,20,33,38,42,44",0.5,,0.5,
9,0.747036307869099,"0,1,2,3,5,6,7,9,10,11,13,14,15,17,19,22,24,27,28,31,33,34,35,37,38,39,40,43,44,45,46,47,48,49",0.7837525736029315,"0,1,3,14,19,22,30,31,35,37,46",0.5,,0.5,
10,0.7390249213582784,"0,1,2,3,5,6,10,11,12,14,15,16,17,18,19,20,22,23,24,25,26,28,29,30,32,33,34,35,37,39,40,43,44,45,47,48,49",0.8420737802334459,"1,11,12,19,20,24,35,40,44,45",0.5,,0.5,
11,0.6788383014897501,"0,1,2,3,4,5,6,8,9,10,11,12,14,15,16,17,18,19,20,21,23,26,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49",0.7892317125855317,"1,3,5,16,20,21,32,37,38,42,47",0.5,,0.5,
12,0.71753600161811,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,28,29,30,31,32,33,34,35,36,37,39,40,41,42,43,44,45,47,48,49",0.7876975731010494,"11,13,14,15,24,26,31,33,39,40,45,49",0.5,,0.5,
13,0.721103524031327,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,47,48,49",0.7987689919041809,"0,1,4,14,18,21,27,35,39,42",0.5,,0.5,
14,0.7020518129213782,"0,1,2,3,4,6,7,9,10,11,12,13,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,37,38,39,40,41,42,43,44,45,46,47,48,49",0.8293544619631577,"1,6,15,19,22,25,26,34,38,41",0.5,,0.5,
15,0.7179724087904291,"0,1,2,4,5,6,8,9,11,12,13,14,15,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,40,41,42,43,44,45,46,47,49",0.7697767447032131,"5,11,12,26,28,31,33,40,41,44,49",0.5,,0.563916193885034,"33,44"
16,0.7541832563571694,"0,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,38,39,41,42,43,44,45,47,48,49",0.8155040611562351,"6,13,17,29,30,31,35,41,47,48",0.5,,0.5,
17,0.706832997403352,"0,1,2,3,4,5,6,8,9,10,11,13,14,15,16,18,19,20,22,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.8271063069232705,"2,4,14,19,25,26,30,32,45,46",0.5,,0.5,
18,0.8013569543912552,"1,2,3,4,5,7,8,10,12,13,14,15,16,18,19,20,21,22,23,24,25,26,28,29,31,32,33,34,37,38,44,45,46,47,48,49",0.7949463828206514,"4,5,12,13,14,28,29,31,32,34,35,45",0.5,,0.5,
19,0.7125969125388986,"0,1,2,3,4,5,6,7,9,10,11,12,13,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,45,46,47,48,49",0.8233450124551855,"12,13,16,22,23,26,29,34,35,49",0.5,,0.5,
20,0.6953476095263363,"0,2,4,5,6,7,8,9,10,11,13,14,16,17,19,21,22,23,25,26,27,29,31,32,33,34,35,37,38,39,40,42,43,44,45,46,47,48,49",0.7928456743354021,"4,11,16,21,23,33,39,42,44,45,46",0.5,,0.5,
21,0.7351208158121472,"0,1,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,33,34,35,36,38,39,40,41,42,44,45,46,48,49",0.8161889330401347,"13,14,16,21,24,27,29,32,33,42,44",0.5,,0.5,
22,0.8020179138676249,"0,1,3,4,5,6,7,8,9,10,11,13,14,16,17,18,20,21,22,24,25,26,28,29,31,32,33,34,38,39,41,42,43,44,45,46,48,49",0.8027391553403114,"3,9,17,18,25,28,43,44,45,46",0.5,,0.978789772431391,"3,9,17,18,25,28,43,44,45,46"
23,0.7191543269568412,"0,1,3,5,6,7,8,9,10,11,12,13,15,16,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,37,39,40,41,43,44,45,46,47,48,49",0.7780689006898712,"0,12,13,22,28,30,35,41,44,47",0.5,,0.5,
24,0.7397561220340415,"0,1,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37,38,39,42,43,44,45,46,47,48,49",0.7878399002941534,"9,10,13,15,17,26,39,43,46,48",0.5,,0.5,
25,0.7424036782189677,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,35,36,37,38,39,41,42,43,44,45,46,47,48,49",0.8262604423121436,"8,12,26,35,36,37,41,43,44,45",0.5,,0.5,
26,0.7430480916092224,"0,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,28,29,30,31,32,33,34,35,38,39,40,41,42,43,45,46,47,48,49",0.8400003771257095,"7,17,22,23,29,32,34,39,40,49",0.5,,0.5,
27,0.6810510552524264,"2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,26,27,28,29,30,32,33,34,35,36,37,38,40,41,42,43,44,45,47,48,49",0.7962893873680611,"10,15,16,19,22,27,28,30,33,35,43,48,49",0.5,,0.5,
28,0.6784154976619906,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.8348216432865732,"1,14,16,20,22,23,36,38,42,44",0.5,,0.5,
