simulation,LassoNet_c_index,LassoNet_features,GBoost_c_index,GBoost_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
23,0.6847459957379528,"0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",0.7352480818143842,"4,7,9,10,17,22,23,36,37,39,42,43,44",0.5,,0.5,
24,0.6340954577385449,"0,1,2,3,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7221307672935968,"1,3,12,18,19,22,23,24,34,35,38,40,44,46,49",0.5,,0.5,
25,0.6748446180578102,"0,3,10,11,12,13,14,15,16,17,19,21,22,23,25,29,31,32,33,35,38,39,42,46,49",0.7149517296549002,"0,10,12,14,21,23,24,26,33,36,43,44,49",0.5,,0.5,
26,0.6609026948897316,"0,1,2,3,4,5,6,7,8,10,11,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,40,44,45,46,48",0.7290908083661948,"0,1,4,5,11,13,16,17,21,29,31,40,46",0.5,,0.5,
27,0.6068957017738924,"1,2,3,7,8,13,14,15,16,17,18,19,20,21,22,23,24,30,31,38,42,43,48,49",0.7044905920208334,"2,8,9,12,14,15,16,17,20,21,24,31,49",0.5,,0.5,
28,0.5934222445196984,"0,4,5,7,8,10,14,21,25,27,28,32,35,36,37,39,44,48,49",0.7487464637596332,"2,3,4,6,10,11,15,16,18,21,34,39,48",0.5,,0.5,
29,0.609555703802535,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7292301534356237,"3,4,7,9,12,18,20,29,36,39,41,42,47,48",0.5,,0.5,
30,0.6773554867750095,"0,2,3,4,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,26,27,28,29,30,31,33,34,35,36,37,38,40,42,43,44,45,46,47,48,49",0.736599241977324,"0,3,4,12,14,16,18,22,27,28,30,34,39,47",0.5,,0.5,
31,0.6301352326737393,"0,1,2,3,4,5,8,9,10,11,12,14,15,20,22,27,30,31,33,36,42,43,46,47,49",0.7173596263056831,"8,11,17,23,25,29,33,37,39,40,45,46,47",0.5,,0.5,
32,0.656689378757515,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7405263861055444,"0,3,5,7,15,16,22,28,31,39,40,46,47,48",0.5,,0.5,
33,0.6836184568868732,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,25,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49",0.7060726314736385,"3,6,8,10,13,16,19,21,28,32,36,49",0.5,,0.5,
34,0.6809912885042418,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7184606843933269,"0,4,13,16,23,26,30,33,35,37,39,42",0.5,,0.5,
35,0.6245470563708018,"1,2,4,8,9,10,11,14,17,19,20,26,29,32,35,37,38,40,41,43,44,45,47,48",0.7361803435242847,"2,5,8,9,15,19,24,26,27,30,32,42,45,48",0.5,,0.5,
36,0.6667964972967084,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48",0.7466164594370072,"0,1,3,4,5,7,8,13,14,25,27,29,32,41,47",0.5,,0.5,
37,0.5955680109293308,"0,1,2,3,4,7,12,14,16,17,18,19,21,25,26,27,28,31,32,34,37,38,40,43,46,47,49",0.692815159771336,"1,3,4,11,12,24,30,32,33,37,42,43,44,46,48",0.5,,0.5,
