simulation,LASSO_CV_c_index,LASSO_CV_features,AIC_Cox_c_index,AIC_Cox_features,BIC_Cox_c_index,BIC_Cox_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
0,0.9223065199551156,"7,8,21,23,26,32,36,38,40,42,43,50,52,53,55,59,64,65,67,72,82,84,88,90,97",0.8989697253903655,"23,26,55,52,59,84,72,65,7,90,43,42,82,40,8,36,67,99,53,79,25,92,78,19,60,85,75,86,94,64,49,69,13,12,34",0.9167657583725514,"23,26,55,52,59,84,72,65,7,90,43,42",0.8664634588867116,"23,26,52,55",0.9304264572063397,"23,26,52,55,59,72,84"
1,0.9324819038691872,"4,6,7,9,12,13,15,25,27,29,32,33,34,36,39,42,44,45,48,52,54,57,59,62,63,68,69,70,71,77,79,81,83,85,88,89,94,95,99",0.8909740665521012,"63,44,42,88,79,81,29,45,69,34,9,99,52,83,62,94,37,95,6,1,27,10,68,39,40,74,22,59,91,58,70,31,17,57,7,84",0.9253319793782222,"63,44,42,88,79,81,29,45,69,34,9,99,52,83,62,94",0.912388689267302,"42,44,63,79,88",0.9436884861740352,"29,42,44,63,79,81,88"
2,0.93975445504398,"10,30,45,50,65,66,74,87,89,92",0.8309491419445876,"65,45,30,87,10,66,89,13,50,54,28,88,27,43,52,67,51,42,6,99,46,32,86,75,39,72,93,69,9,7,38,0,49,85,3,81,64,70,11,95,83,92,53,58,90,74,80,8,21,71",0.9263900272358307,"65,45,30,87,10,66,89,13,50,54,28,88",0.9116961979681564,"10,30,45,65,87,89",0.9376505082425708,"10,30,45,65,66,87,89"
3,0.9237654508920417,"1,9,10,12,14,18,19,25,28,29,32,35,36,39,45,48,50,59,63,69,73,74,80,81,83,88,97,99",0.8472171848070972,"39,63,97,28,88,69,59,29,80,25,99,53,19,74,26,89,11,73,98,86,50,71,83,14,18,7,32,91,36,44,13,55,9,41,1,35,38,82,51,87,48,40,22,16,46,66,37,75",0.9310722766851368,"39,63,97,28,88,69,59,29,80,25,99,53",0.885256361041911,"28,39,63,97",0.920485321487098,"28,39,63,69,88,97"
4,0.9234382673996736,"9,26,39,41,46,57,71,80,82,84,87",0.8342047032853288,"39,46,26,82,57,71,9,32,84,34,29,97,95,99,80,31,72,50,21,96,3,88,41,15,68,61,25,86,48,7,24,69,70,74,19,27,79,6,35,98,55,23,13,30,43,1,44,73,33,22,59,83,0,93,4,5,10",0.9008328184329072,"39,46,26,82,57,71,9,32,84,34,29,97,95,99",0.8837750914938449,"26,39,46,57,82",0.9320885945594828,"9,26,39,46,57,71,82"
5,0.9480279280528968,"2,3,11,15,21,25,27,35,39,42,47,59,61,63,68,69,91,94,99",0.9115294335239992,"15,91,59,3,35,63,99,69,2,52,94,7,83,28,23,27,13,61,47,90,67,78,71,85,95,81,57,19,9,86,37,10,17,51,87,20,45",0.9358291242700436,"15,91,59,3,35,63,99,69,2,52,94,7,83,28,23,27,13",0.9185087268365524,"3,15,35,59,91",0.9523036291781244,"3,15,35,59,63,91,99"
6,0.9377432871346044,"2,4,11,12,43,49,54,55,57,58,62,64,66,74,77,84,90,97",0.9050488020562152,"97,64,12,66,58,90,54,74,84,31,19,21,77,49,94,57,80,46,39,5,11,40,87,45,82,88,79,93,85,67,7,16,43,23,61,83,98,55,96",0.933544905329796,"97,64,12,66,58,90,54,74,84,31,19,21,77,49,94",0.9237927586178398,"12,58,64,66,97",0.9357983674796212,"12,58,64,66,90,97"
7,0.9403169785045382,"0,3,8,12,27,45,47,51,52,59,62,66,69,75,84,88,90,97",0.8901400482512328,"12,51,0,62,59,45,75,96,69,37,14,27,47,97,23,1,32,67,68,3,89,99,49,77,55,13,20,33,17,34,29,57,84,85,74,2,5,8,94,98",0.9326658670126394,"12,51,0,62,59,45,75,96,69,37,14,27,47",0.905175719892618,"0,12,51,59,62",0.9437930256025284,"0,12,45,51,59,62,75"
8,0.9353394704415472,"4,8,19,24,30,32,38,39,43,46,47,58,59,63,73,81,83,88,89,92",0.8910809667143051,"81,59,43,39,88,58,83,95,63,32,50,47,38,42,41,14,96,73,90,99,98,77,70,13,12,92,17,54,3,27,15,89,85,55,56,82,10,57,36,51,74,20,71",0.9349322815617956,"81,59,43,39,88,58,83,95,63,32,50",0.910554176081246,"39,43,58,59,81",0.9425996747811692,"39,43,58,59,81,83,88"
9,0.9424430641821946,"1,7,25,36,40,43,52,59,67,92",0.887081259725062,"43,7,67,36,40,25,52,73,56,37,49,89,60,15,76,54,47,69,66,71,35,81,42,63,45,68,2,99,23,1,97,90,20,82,64,51,62,8,77",0.9335648058845466,"43,7,67,36,40,25,52,73,56,37,49",0.9418798143075756,"7,25,36,40,43,52,67",0.9421087149415532,"7,25,36,40,43,52,67"
10,0.9252959600785688,"3,4,5,18,19,23,24,34,38,42,49,53,64,71,73,75,77,82,96",0.8931504485852312,"96,24,38,71,73,42,3,75,18,6,19,34,62,16,5,88,58,22,89,72,27,63,10,79,13,91,4,30,76,7,82,51,93,14,92,56,83",0.9265249243510112,"96,24,38,71,73,42,3,75,18,6,19",0.8751234272973404,"24,38,71,96",0.9280750650315868,"3,24,38,42,71,73,96"
11,0.9452971367489984,"12,26,31,33,42,60,64,93,98",0.9283956057107264,"93,31,60,33,12,26,42,10,46,82,3,62,5,18,59,75,0,81,88,28,63,41,4,71,48,52,40,83,16,92,9,51",0.9419040469565548,"93,31,60,33,12,26,42,10,46,82,3,62,5",0.9246611670052955,"12,31,33,60,93",0.9520044388958246,"12,26,31,33,42,60,93"
12,0.9449043492626464,"0,8,14,16,17,20,30,35,38,46,51,56,59,64,65",0.9129644113691568,"38,17,16,51,35,46,30,65,68,31,82,0,64,61,54,43,79,98,13,49,87,93,58,18,72,1,14,7,89,22,37,74,36,97,42,2,83,77,85,71,81,50,92,9,96",0.9393003079512338,"38,17,16,51,35,46,30,65,68,31,82,0,64,61,54",0.8939207380504338,"16,17,30,35,38,51",0.9498578984457884,"16,17,30,35,38,46,51"
13,0.9405254756234788,"4,9,18,23,31,39,43,46,50,62,64,65,68,70,76,89,93,96",0.8876494910109125,"96,23,68,43,50,93,65,46,4,62,9,2,32,89,0,76,70,34,10,28,95,80,85,12,42,79,64,54,78,73,5,60,41,74,47,30,72,51,1,44,39,16,77,57",0.9298903514510768,"96,23,68,43,50,93,65,46,4,62,9,2,32,89",0.9274173710517364,"23,43,50,68,93,96",0.9450422631041792,"23,43,50,65,68,93,96"
14,0.9242892321468548,"7,15,31,42,62,67,86,93",0.8701721118265977,"93,62,86,31,42,67,7,55,5,82,68,35,20,15,46,14,61,33,11,75,96,50,26,58,9,89,69,78,57,64,2,6,73,29,54,34,76,24,12,47,39,25,22,72",0.9096696032341748,"93,62,86,31,42,67,7,55,5,82,68,35,20,15",0.8652207693016764,"42,62,86,93",0.9286374590131552,"7,31,42,62,67,86,93"
15,0.9418428490672696,"3,4,7,11,15,19,22,23,25,27,31,33,44,47,51,55,58,59,60,63,65,67,68,70,73,77,80,83,84,94",0.9347641479806544,"44,58,27,11,59,33,63,51,3,99,25,77,31,47,60,49,26,81,94,19,15,5,16,67,32,55",0.9390766911626154,"44,58,27,11,59,33,63,51,3,99,25,77,31,47,60",0.8936122102882985,"11,27,44,58,59",0.9538998806607624,"11,27,33,44,58,59,63"
16,0.938951137075324,"0,2,3,11,16,19,29,31,33,35,43,44,48,51,54,56,84",0.9091176478045788,"2,43,19,11,33,56,84,0,35,48,49,51,46,39,88,54,29,40,37,91,74,4,99,89,23,62,13",0.930832249378152,"2,43,19,11,33,56,84,0,35,48,49,51,46",0.9061941382746476,"2,11,19,33,43",0.9412103278742562,"2,11,19,33,43,56,84"
17,0.9351181050227052,"2,6,8,9,12,14,19,20,24,26,34,41,44,47,48,50,51,54,64,66,68,69,81,83,90,94",0.9035917058878706,"41,81,69,94,48,8,66,19,64,9,24,71,0,68,18,65,20,17,49,22,38,34,83,97,4,12,29,74,85,59,36,90,67,44,57,7,98,40,11,73,78,84,43,3,92",0.9449808813873548,"41,81,69,94,48,8,66,19",0.8330969945430569,"41,69,81",0.947734182313766,"8,41,48,66,69,81,94"
18,0.9268059341930291,"0,1,4,6,8,16,17,18,19,26,27,28,31,34,36,47,64,68,69,70,73,77,81,82,85,87,92",0.8639343475931981,"68,27,31,8,82,64,26,28,34,70,18,92,36,47,77,99,87,88,17,10,80,94,1,75,85,7,19,93,72,74,43,50,89,95,38,69,96,86,21,51,13,46,65,4",0.912812559127406,"68,27,31,8,82,64,26,28,34,70,18,92,36,47,77",0.9147392797848894,"8,26,27,31,64,68",0.9350564558466512,"8,26,27,31,64,68,82"
19,0.8986642712076238,"3,7,31,41,46,50,55,69,80,82,95",0.8012029370410874,"46,69,80,7,41,82,31,98,74,95,33,72,36,87,50,67,58,8,93,84,19,26,99,44,3,6,42,68,55,15,71,13,20,4,32,53,17,66,14,79,65,81,39,30,90,16,76,0,92,70",0.8967062438160704,"46,69,80,7,41,82,31,98,74,95,33,72,36",0.8452351195125761,"7,46,69,80",0.9147008279956256,"7,31,41,46,69,80,82"
20,0.9152733218579368,"6,9,14,27,29,30,33,35,36,38,43,49,53,58,60,61,62,63,65,66,68,72,75,76,77,84,87,89,90,97,98,99",0.8737194561847269,"99,98,65,14,72,43,61,53,63,27,37,89,74,67,70,66,22,19,10,82,71,90,84,76,31,91,62,24,9,4,48,3,28,21,26,8,92,80,87,32,15,59",0.8948277208946499,"99,98,65,14,72,43,61,53,63,27,37,89,74,67,70,66,22,19,10",0.8615140519733103,"65,98,99",0.9262853925743948,"14,43,61,65,72,98,99"
21,0.9371941893015776,"4,5,14,18,23,27,29,30,35,37,40,56,57,67,70,72,85,89,94",0.8817160292686255,"37,67,85,70,29,14,35,30,89,40,27,1,94,72,57,53,31,25,92,60,4,18,20,36,21,91,38,80,34,5,19,66,9,98,87,79,41,95,82,51,13,74",0.9280772590965974,"37,67,85,70,29,14,35,30,89,40,27,1,94",0.9044676893369958,"29,37,67,70,85",0.9414837377577336,"14,29,35,37,67,70,85"
22,0.931903158024844,"22,29,33,55,56,77,81,85,91,92",0.9132495931442226,"22,33,56,92,85,55,29,71,37,38,7,6,32,98,20,42,66,9,70,0,81,58,93,14,47,2,87,77,51,61,84,31,5,35",0.922128319222133,"22,33,56,92,85,55,29,71,37,38,7,6,32,98,20,42,66,9,70,0,81,58",0.923274210493789,"22,33,55,56,85,92",0.9425638094060936,"22,29,33,55,56,85,92"
23,0.9486239028414548,"6,8,9,25,31,38,42,49,51,52,66,72,78,91,94,96,98",0.9321499573984664,"51,78,9,52,42,72,38,96,8,66,89,91,28,82,36,49,35,80,71,50,40,90,79,2,0,29,69,67,7,86,17,87,43,85",0.9506958250497016,"51,78,9,52,42,72,38,96,8,66,89,91,28,82,36,49",0.8476974885381588,"9,51,52,78",0.956619466872236,"9,38,42,51,52,72,78"
24,0.9116624105259772,"4,6,7,8,11,16,23,24,33,34,35,37,41,43,49,51,56,59,67,72,90,91",0.8733483687719206,"24,56,34,35,23,6,90,7,59,91,63,83,58,49,67,37,21,43,1,74,10,98,13",0.8999499793774627,"24,56,34,35,23,6,90,7,59,91,63",0.8672376623110698,"24,34,35,56,90",0.913101600367403,"6,23,24,34,35,56,90"
25,0.9204890178201408,"6,8,9,16,17,23,29,33,34,36,38,43,47,48,52,53,59,61,71,72,74,76,79,93,96,97,98",0.8753626191462909,"47,98,53,79,34,23,43,9,6,32,37,22,60,65,35,99,15,17,61,5,68,97,49,96,51,52,70,56,45,33,24,82,77,91,67,7,83,40,86,66,74,29,31,90,59,11,88,69,39",0.9206437353225584,"47,98,53,79,34,23,43,9,6,32,37",0.8818676612791823,"23,47,53,79,98",0.925246581019478,"23,34,43,47,53,79,98"
