simulation,LASSO_CV_c_index,LASSO_CV_features,AIC_Cox_c_index,AIC_Cox_features,BIC_Cox_c_index,BIC_Cox_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
157,0.9359554858190161,"0,11,15,21,28,29,37,38,47,50,54,57,69,76,78,79,80,83,88",0.8885457733943382,"76,38,78,0,80,29,79,28,69,50,7,63,19,90,2,13,10,21,56,37,11,20,17,18,66,62,83,55,88,43,22,31,47,4,33,85,48,67,3,75,52,12,30,68,26,95,8,92,34,64,45,5,98",0.9342730185519705,"76,38,78,0,80,29,79,28,69,50,7",0.8564628630951596,"38,76,78,80",0.9392624042404504,"0,28,29,38,69,76,78,79,80"
158,0.9333677488432565,"1,5,23,31,33,44,49,51,56,59,61,62,63,64,72,83,85,88,89,91,96,99",0.857185193682842,"31,5,33,88,85,99,89,62,51,23,61,56,94,32,60,59,67,24,83,91,8,84,58,19,44,82,50,42,76,28,40,2,21,16,6,25,77,54,57,11,78,46,7,36,69,95,68,55,37,71,81,0",0.9333540918948743,"31,5,33,88,85,99,89,62,51,23,61,56,94",0.7771267965715597,"5,31,33",0.8626384131718535,"5,31,33,85,88,99"
159,0.9540154311696953,"1,3,4,5,6,16,21,28,30,31,32,37,47,60,63,66,73,88,94,96,97",0.926507866094203,"47,97,88,96,60,73,94,6,5,38,69,3,37,0,98,21,55,45,90,28,63,8,1,74,41,91,12,49,15,76,31,52,86,29,24,80,16,68,87,51",0.9546993245562615,"47,97,88,96,60,73,94,6,5,38,69",0.8471775535100367,"47,60,88,96,97",0.957889066683566,"5,6,47,60,73,88,94,96,97"
160,0.9454741362193531,"0,4,8,13,23,25,42,50,52,56,70,80,81,85,87,91",0.9188704070907979,"52,25,91,13,4,8,42,0,85,32,83,48,87,14,44,81,1,10,24,74,56,50,72,3,71,60,59,57,15,31,39,55,77,18,41,19",0.9476344151494854,"52,25,91,13,4,8,42,0,85,32,83",0.7992290769308155,"0,25,52,91",0.9511766372187468,"0,4,8,13,25,42,52,85,91"
161,0.9340702744973293,"5,21,24,28,35,40,48,51,56,58,80,84,91",0.8903972324943338,"40,58,84,56,21,35,80,51,48,5,57,7,28,61,82,47,23,99,9,67,73,24,92,83,22,55,27,68,43,77,87,91,19,89,59,13,18,66,26,42,97,6",0.9252163770593926,"40,58,84,56,21,35,80,51,48,5,57,7,28,61,82,47,23,99",0.8191154055164552,"40,56,58,84",0.8588678144922925,"21,40,56,58,84"
162,0.9291788499358583,"3,7,12,15,18,19,34,41,44,48,50,51,53,55,56,57,59,60,63,66,67,68,69,75,78,85,87,97",0.8669231421483218,"41,68,59,19,44,12,67,51,15,78,55,18,75,66,17,45,83,34,57,81,62,63,92,22,6,39,31,80,87,61,77,54,37,16,0,56,73,43,50,90,2,5,40,26,32",0.9163122235685741,"41,68,59,19,44,12,67,51,15,78,55,18,75,66,17,45,83,34,57,81",0.8785356553801044,"12,19,41,44,59,68",0.9163149588207781,"12,19,41,44,51,59,67,68"
163,0.9458431409471801,"0,4,5,7,10,12,13,15,16,24,38,40,41,43,44,48,51,55,72,86,93,95,96",0.9069821243627854,"38,4,12,40,48,24,93,43,41,96,5,15,87,55,35,29,94,74,3,68,46,20,58,19,7,76,16,99,72,98,83,37,33",0.9525791222241651,"38,4,12,40,48,24,93,43,41,96",0.7721683457301572,"4,38,40",0.9131800879658897,"4,12,24,38,40,48"
164,0.9250177881886428,"0,3,5,6,8,9,11,15,18,19,20,21,24,25,26,36,43,48,50,51,56,59,60,77,78,86,89,90,91,92,94",0.8692548148029708,"25,15,18,48,36,8,77,94,3,19,12,50,91,89,5,93,69,55,11,52,53,59,21,92,40,1,81,90,20,37,16,26,24,56,76,33,98,32,34,96,4,51",0.9226353701142441,"25,15,18,48,36,8,77,94,3,19,12,50,91,89,5",0.7600073551162029,"15,18,25",0.9007379100277416,"8,15,18,25,36,48,77"
165,0.9320354553110018,"1,12,20,22,24,34,40,42,47,49,53,54,55,63,75,81,83,86,88,89,92,93,98",0.8705364113143702,"93,1,83,42,55,92,86,89,12,20,54,3,21,48,53,96,15,34,44,11,98,84,69,56,66,40,17,64,8,61,33,50,94,45,90,62,10,41,7,14,80,88,16,60,31,4,73",0.932020097827172,"93,1,83,42,55,92,86,89,12,20,54,3",0.8709024313456484,"1,42,83,93",0.9222450593694729,"1,42,55,83,86,89,92,93"
166,0.924817178670932,"3,5,6,11,12,14,15,16,22,26,27,31,33,40,51,56,57,72,73,84,86,93,95",0.8903895309633207,"86,6,15,26,12,73,33,56,72,84,8,45,95,10,50,48,11,75,31,70,88,27,51,65,39,22,74,67,17,23,53,18,24,7,77,68,43,80,83,64,59,28,76",0.9294040468984407,"86,6,15,26,12,73,33,56,72,84,8,45",0.8633348492214086,"6,15,26,86",0.8870297479966756,"6,12,15,26,73,86"
167,0.9418611921894657,"2,4,5,10,12,16,21,26,34,35,38,44,46,54,58,68,71,74,79,92,93,98",0.8891373346439264,"5,58,2,35,68,79,74,93,16,98,49,92,75,44,10,4,54,9,21,43,86,81,34,19,94,30,67,52,51,71,70,56,62,20,27,33,59,90",0.9417186276790248,"5,58,2,35,68,79,74,93,16,98,49,92",0.8345001113003634,"2,5,58,68",0.9459280324346767,"2,5,16,35,58,68,74,79,93"
168,0.9325164011779287,"6,13,24,26,33,41,53,58,62,69,85,89,90,92,97",0.8755201760070949,"24,13,85,58,26,89,62,69,92,53,45,11,83,90,60,6,0,96,97,37,79,16,50,18,36,1,17,29,52,54,25,64,74,59,20,98,27,48,44,10,43,66,31,30,8,9,99,68,95",0.9091994405976055,"24,13,85,58,26,89,62,69,92,53,45,11,83,90,60,6,0,96,97,37",0.8045388909733829,"13,24,58,85",0.8946231424315813,"13,24,26,58,85,89"
169,0.9313201262272089,"3,12,19,21,29,31,33,35,39,45,46,48,51,56,59,62,72,73,79,81,87,89,95",0.8771837100899266,"33,51,59,35,19,79,45,48,12,55,3,92,84,4,38,7,87,95,46,21,66,10,62,34,9,6,1,41,47,71,37,39,29,31,94,81,86,49,8,26,61,18,43,56,93,11,65,20",0.9337358716277535,"33,51,59,35,19,79,45,48,12,55,3,92",0.8064516129032258,"33,35,51,59",0.8924078046365811,"19,33,35,51,59,79"
170,0.9410476823331012,"0,3,4,5,6,8,10,12,13,14,16,18,26,36,37,44,46,49,50,51,56,58,61,62,72,77,80,94,95,98",0.9197162515983681,"72,14,56,6,36,50,95,8,80,51,12,29,43,46,2,13,76,94,83,91,31,16,71,53,40,17,61,41,69,4,68,58,45,32",0.9260567761543329,"72,14,56,6,36,50,95,8,80,51,12,29,43,46,2,13,76,94,83,91,31,16,71",0.7473135501907452,"14,72",0.9490401848944614,"6,8,14,36,50,56,72,80,95"
171,0.9199229650591518,"5,13,14,16,18,23,24,32,34,35,47,55,61,65,66,68,72,77,79,83,87,89,91,92",0.8544642272268731,"23,72,13,77,32,61,68,87,92,16,83,65,66,5,35,59,85,14,34,89,42,80,27,12,18,46,81,57,95,54,43,76,31,38,99,64,94,44,24,40,19,7,97,78,21,30,15,71,53,49",0.9070733273067904,"23,72,13,77,32,61,68,87,92,16,83,65,66,5,35,59,85,14,34,89",0.8096057854812718,"13,23,72",0.9022782952744042,"13,23,32,61,68,72,77"
172,0.9368550642955282,"2,4,5,11,14,15,19,20,25,26,28,29,30,32,35,41,42,45,49,52,53,54,60,66,70,71,72,73,74,78,81,90,92,93,94,96,97",0.9240401123061459,"53,28,93,25,19,70,60,15,81,41,75,45,54,47,88,20,94,90,6,66,65,35,21,63,61,36,67,79,26,30,48,92,0",0.9315929863201556,"53,28,93,25,19,70,60,15,81,41,75,45,54,47,88,20,94,90,6,66,65,35,21,63,61,36",0.8278604432508525,"28,53,70,93",0.9326059233440428,"15,19,25,28,53,60,70,93"
173,0.9314396264176117,"0,1,2,5,10,20,26,27,28,29,31,32,39,44,49,57,59,61,69,70,73,75,78,81,82,89",0.8700840560373583,"61,44,10,69,32,27,39,82,31,79,3,17,8,28,59,20,86,67,47,4,66,53,29,22,54,0,30,77,2,50,43,45,75,72,11,83,60,16,35,25,40,19,58,7,36,90",0.9288058705803869,"61,44,10,69,32,27,39,82,31,79,3",0.8348365577051368,"10,44,61",0.8784683122081388,"10,31,32,44,61,69"
174,0.9431395295876457,"0,4,13,14,16,23,26,29,34,35,36,40,43,47,51,61,67,73,76,82,87,89,96",0.9192920505724091,"51,76,61,89,43,82,13,16,26,36,38,67,19,35,64,14,1,98,60,4,34,15,27,80,6,95,87,30,50,7,45,84,96,8,81,18,93,59,58,99,66",0.9357181705412234,"51,76,61,89,43,82,13,16,26,36,38,67,19,35,64,14,1",0.8115778559506172,"51,61,76",0.9188794551597199,"43,51,61,76,82,89"
175,0.9463742260468045,"23,31,33,36,48,55,58,61,65,72,85",0.9029739767436503,"72,33,85,31,61,55,65,23,48,90,62,9,7,10,64,81,58,34,1,84,36,47,40,54,98,3,79,41,30,93,43,77,46,87,91,52,67,83,26,24,95",0.9390410275180514,"72,33,85,31,61,55,65,23,48,90,62,9,7,10,64,81",0.854283074261113,"31,33,65,72,85",0.9497477533280947,"23,31,33,48,55,61,65,72,85"
176,0.9283963197006675,"1,6,7,9,11,12,13,15,17,27,34,38,44,49,62,63,64,65,67,73,75,80,81,85,87,89,96,98",0.880960011394794,"17,81,27,98,9,85,67,87,13,15,38,6,68,89,65,64,80,78,24,11,46,73,50,61,10,63,69,18,77,83,57,95,49,12,33,8,22,5,53,92,47",0.9262652740913611,"17,81,27,98,9,85,67,87,13,15,38,6,68,89,65,64,80,78,24",0.8872682350943221,"9,17,27,81,98",0.8988218988218988,"9,17,27,81,85,98"
177,0.9361770018855237,"3,9,10,14,17,18,21,27,52,59,60,66,67,69,73,74,78,83,84,87,91,93,96,98",0.9193523292150684,"59,84,67,87,60,98,3,21,17,86,45,33,27,4,5,18,22,43,89,31,10,68,77,90,15",0.9385134689679725,"59,84,67,87,60,98,3,21,17,86,45,33",0.8405374401708838,"59,67,84,87",0.9148376208119618,"3,59,60,67,84,87,98"
178,0.9288836668688094,"19,22,32,36,37,38,49,52,55,63,69,74,77,80,82,85,87,91,96,98",0.9141436729330907,"91,85,74,52,80,55,82,37,49,19,86,36,32,45,34,33,95,96,75,84,14,35,27,44,51,20,77,42,87,13,76,28,0,26,98,70,48",0.9197114412775419,"91,85,74,52,80,55,82,37,49,19,86,36,32,45,34,33,95,96,75,84,14",0.8630533656761674,"52,74,85,91",0.9402061855670103,"37,49,52,55,74,80,82,85,91"
179,0.939983423124741,"6,17,20,25,30,34,42,47,56,58,59,61,64,66,70,71,74,76,83,86,92,99",0.8896712253073629,"30,76,61,25,83,59,71,99,56,34,66,14,74,19,10,87,78,9,22,70,80,33,89,32,95,27,94,73,16,65,2,44,17,35,81,63,58,69,38,4,82,40,88,53,50",0.9356789611824837,"30,76,61,25,83,59,71,99,56,34,66,14,74,19,10",0.8662660588479072,"25,30,61,76,83",0.9345848874153889,"25,30,59,61,71,76,83,99"
180,0.9310493496954068,"11,16,24,25,26,27,31,46,50,53,64,75,79,88,94",0.908399800929881,"27,26,24,16,53,11,79,64,46,73,39,50,49,87,96,59,21,95,89,86,18,88,99,34,93,83,20,80,58,81,66,82,42,69,74,41,8,51,65,9,5,32",0.9362523187144541,"27,26,24,16,53,11,79,64,46,73,39,50,49",0.8132546633772193,"24,26,27",0.9425491088418537,"11,16,24,26,27,46,53,64,79"
181,0.9341559137525218,"2,6,9,14,16,17,20,21,26,27,39,41,51,61,63,69,73,75,76,81,85,86,87,89,92,94",0.91791621133154,"6,76,17,94,39,21,63,75,89,14,74,61,85,29,32,16,9,51,73,27,95,86,81,78,62,41,15,13,60,67,92",0.9386716123066577,"6,76,17,94,39,21,63,75,89,14,74,61,85",0.773794762945528,"6,76,94",0.9444718813046402,"6,17,21,39,63,75,76,89,94"
182,0.9350446452788839,"14,20,22,28,29,33,34,36,37,39,43,44,54,56,57,59,60,69,72,81,88,89,90,92,95",0.8741483221403695,"81,28,29,95,89,22,56,88,39,20,72,68,33,14,44,59,76,65,36,10,24,2,13,70,47,83,80,86,92,73,0,19,63,57,48,49,38,58,71,21,78,17,26,74,85,87",0.9402876175803669,"81,28,29,95,89,22,56,88,39,20,72,68,33",0.8381567955213679,"28,29,81,95",0.9086372069305964,"28,29,56,81,88,89,95"
183,0.9463131071826724,"7,8,14,19,21,26,33,39,41,42,43,50,52,56,65,68,69,72,75,76,77,78,83,96,99",0.9181862823167171,"39,8,52,77,43,14,21,83,56,26,65,50,79,47,75,59,85,48,70,46,23,19,13,91,89,51,28,20,42,81,16,98,53,63,38,87,11,25,60",0.9319557254339863,"39,8,52,77,43,14,21,83,56,26,65,50,79,47,75,59,85,48,70",0.8272734511864946,"8,39,52,77",0.950575994054255,"8,14,21,39,43,52,56,77,83"
184,0.9473446214138572,"10,15,16,17,19,25,33,41,42,45,47,50,54,57,59,64,65,67,68,71,77,82,89,92,93,95",0.9157636760510699,"41,67,42,59,45,25,82,89,16,95,64,29,15,23,46,49,40,24,97,92,6,52,62,2,1,58,5,11,47,21,69,32,53,72,18,83,73,56,87,63,43,85,91,13,99,68",0.9555287589252318,"41,67,42,59,45,25,82,89,16",0.8470079887454153,"41,42,59,67",0.9353391727656913,"25,41,42,45,59,67,82"
