simulation,LASSO_CV_c_index,LASSO_CV_features,AIC_Cox_c_index,AIC_Cox_features,BIC_Cox_c_index,BIC_Cox_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
0,0.924518479958355,"4,8,11,23,25,26,27,38,43,51,52,54,55,58,66,67,70,83,84,85,91,96,99",0.8727911859093536,"8,58,84,99,43,26,66,55,83,25,23,51,22,82,4,31,18,61,79,32,12,75,30,80,38,57,45,0,37,52,16,15,93,81,53,14,11,27,98,50,1",0.9255453032131845,"8,58,84,99,43,26,66,55,83,25,23,51,22,82",0.8576720000457637,"8,43,58,84,99",0.8651658076436838,"8,26,43,58,84,99"
1,0.9337261189044757,"3,4,7,11,14,17,19,29,37,39,53,57,59,60,61,62,68,81,82,83,85,87,88,96,97",0.8704809619238477,"97,14,61,59,19,57,7,37,11,29,38,5,39,82,17,9,73,89,3,0,18,35,47,71,62,50,45,98,21,42,48,4,93,20,86,94,55,91,60,41,52,83,33,49,96,54,81,2,87",0.9422818971275885,"97,14,61,59,19,57,7,37,11,29,38,5,39,82",0.8418891115564462,"14,59,61,97",0.8931462925851703,"14,19,57,59,61,97"
2,0.9422085441883339,"13,29,34,37,41,49,51,53,66,67,71,73,77,80,87,88,97",0.8914473510266457,"37,80,67,77,88,87,71,66,49,73,32,51,34,97,40,78,29,48,68,47,27,72,19,12,17,82,58,85,11,74,21,38,98,36,64,26,96,33,52,30,69,39,4,1,89,9",0.9354717599716569,"37,80,67,77,88,87,71,66,49,73,32,51,34,97,40",0.8886474081359624,"37,67,71,77,80,88",0.922717345897383,"37,66,67,71,73,77,80,87,88"
3,0.9303321828107023,"0,5,6,9,11,16,21,22,27,28,30,31,33,40,48,55,57,60,67,76,85,89,96,97",0.9220745310192325,"11,33,31,48,0,21,9,22,30,5,92,57,44,52,38,74,25,67,16,24,72,40,90,97,80,82,39,98,81,49,18,94,45,76,3,27,70,29",0.945555528356439,"11,33,31,48,0,21,9,22,30,5,92,57,44",0.8100359300329926,"11,31,33,48",0.9110888078355215,"0,9,11,21,31,33,48"
4,0.9255560974179812,"0,1,5,7,8,9,13,15,16,18,19,20,22,23,24,27,28,31,32,38,41,44,47,49,51,52,62,67,70,72,74,76,78,83,88,90,91,95,98",0.9114241476992611,"7,67,41,44,52,18,24,31,27,19,70,38,0,78,23,1,72,62,13,84,90,6,29,91,12,20,25,43,85,94,14,15,71,83",0.9287246601589878,"7,67,41,44,52,18,24,31,27,19,70,38,0,78,23,1,72,62,13,84",0.8580702413597371,"7,41,44,67",0.8687431545453819,"7,41,44,52,67"
5,0.9458377561959684,"5,7,9,10,15,17,19,21,25,27,31,33,38,39,45,48,49,50,53,56,58,59,60,65,70,74,75,77,82,83,84,85,88,91,93,95,98",0.92030133557249,"65,59,93,50,88,38,58,49,60,21,74,15,48,82,85,32,45,17,95,83,78,79,89,31,99,96,13,86,36,52,33,72,22,62,98,53",0.9326642268308011,"65,59,93,50,88,38,58,49,60,21,74,15,48,82,85,32,45,17,95",0.8699889626472748,"50,59,65,93",0.9180727409073866,"38,50,59,60,65,88,93"
6,0.9550295614197721,"3,6,7,8,9,18,21,23,35,45,49,61,66,71,72,76,79,80,86,90",0.8895888696619492,"49,66,23,76,80,3,72,21,6,86,8,99,90,92,35,47,45,19,51,26,41,44,7,94,95,59,14,2,22,53,61,58,42,82,4,62,11,46,68,25",0.9560389757534556,"49,66,23,76,80,3,72,21,6,86,8",0.8897395093010321,"3,23,49,66,72,76",0.9345142451022804,"3,21,23,49,66,72,76,80"
7,0.9268306825085902,"1,9,15,18,21,26,27,39,41,48,52,53,59,61,67,68,69,73,74,76,79,82,88,94",0.9329768648419715,"74,59,9,21,73,53,1,88,67,27,69,54,83,40,57,45,51,79,42,63,85",0.9403154771358487,"74,59,9,21,73,53,1,88,67,27,69,54",0.7366948261648881,"9,59,74",0.90850810121285,"1,9,21,53,59,73,74,88"
8,0.9419822173948404,"2,7,10,11,12,14,17,21,23,27,28,37,38,45,48,51,58,62,66,68,70,85,87,88,89,91,94,95",0.8909379025551016,"12,38,62,66,7,11,23,10,37,28,95,85,89,54,47,50,53,9,29,88,45,68,99,65,34,13,74,5,71,4,77,83,75,48,59,18,78,41,96,16,73,82,70,94,49",0.9483916160972192,"12,38,62,66,7,11,23,10,37,28",0.7949779488350006,"12,38,62",0.9057479949312491,"7,11,12,38,62,66"
9,0.9381376881313024,"1,2,4,8,10,11,13,20,21,22,24,25,31,33,36,40,43,44,46,49,53,55,56,60,61,68,70,72,77,80,81,85,86,87,88,89,90,94,95,99",0.9204264546029908,"21,80,43,72,90,1,20,2,86,60,13,56,89,4,85,99,53,54,91,24,22,33,45,88,49,15,61,58,77,36,98,7,83,73,40,69,51,84,76",0.9398348786849328,"21,80,43,72,90,1,20,2,86,60,13,56,89,4,85,99,53,54",0.8054985568204072,"21,43,80,90",0.8733606359639787,"1,20,21,43,72,80,90"
