simulation,LASSO_CV_c_index,LASSO_CV_features,AIC_Cox_c_index,AIC_Cox_features,BIC_Cox_c_index,BIC_Cox_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
0,0.9266931509890319,"1,2,8,10,13,19,25,32,36,37,44,45,49,50,51,65,66,73,75,84,86,87,88,91,92,94,96,99",0.8815820381570422,"2,84,87,37,96,86,13,75,91,19,65,83,43,42,79,33,10,36,74,82,71,92,88,99,68,69,32,66,25,98,39,67,29,7,64,89,12,44,35,95",0.9352657079651728,"2,84,87,37,96,86,13,75,91,19,65",0.7345992116654921,"2,84,87",0.836522551684439,"2,37,84,87,96"
1,0.9318624033774836,"0,2,6,7,12,13,14,15,16,17,24,26,27,28,30,31,32,37,39,40,41,42,43,45,47,54,55,56,57,59,60,62,65,66,67,72,73,80,82,89,95,96,98",0.9019314704540173,"47,17,43,57,30,56,6,72,28,54,82,41,55,13,26,15,0,27,59,98,71,60,37,24,42,7,32,48,76,2,77,95,31,1,81,12,65,23,49,99,73,63,94",0.9497044981788353,"47,17,43,57,30,56,6,72,28,54,82,41,55",0.8381837066650989,"17,43,47,57",0.9078303083241646,"17,30,43,47,56,57,72"
2,0.9398878839973093,"4,6,7,8,10,12,13,16,19,20,21,24,26,27,31,32,34,35,39,40,43,44,46,49,52,56,57,58,59,62,63,66,67,68,70,71,72,78,79,82,89,90,92,95,96,97",0.9184109425218626,"26,49,70,95,66,13,27,71,8,31,39,59,4,40,82,97,79,32,96,89,60,94,42,16,69,28,0,57,56,46,12,29,44,55,7,25",0.9381837207564093,"26,49,70,95,66,13,27,71,8,31,39,59,4,40,82,97,79,32,96,89",0.7960774347858585,"26,49,95",0.8617026683608641,"26,49,66,70,95"
3,0.9482227889051191,"4,6,8,11,12,13,15,20,25,26,29,32,37,39,44,46,47,48,59,60,62,65,68,81,90,99",0.9097158607940713,"13,12,68,47,44,37,48,99,4,62,8,78,35,67,29,31,93,15,45,32,2,9,51,17,57,92,10,90,84,55,83,82,52,73,88,41,58,77,81,18,85,20,46",0.952604953248661,"13,12,68,47,44,37,48,99,4,62,8,78,35",0.7968001672539812,"12,13,37,47,68",0.9197923629851534,"12,13,37,44,47,48,68,99"
4,0.9396616770110746,"13,14,18,20,22,32,39,49,53,62,71,83,87,89,90",0.8653538396008276,"39,14,83,62,90,20,71,32,18,13,87,22,27,49,28,76,96,58,73,2,33,64,99,63,38,9,88,48,5,6,10,77,25,89,72,34,65,30,57,68,80,52,43,19,78,40,56,82,23,42,47",0.9458683217719362,"39,14,83,62,90,20,71,32,18,13,87",0.8464585615188025,"14,39,62,83",0.8679323354022149,"14,39,62,83,90"
5,0.9433051363908286,"2,5,6,7,12,13,16,18,21,24,26,28,33,34,35,39,40,43,44,45,46,57,58,60,61,62,64,65,67,68,71,75,79,82,85,88,89,91,94,98",0.9252799660071228,"7,62,6,34,28,16,60,91,18,79,12,64,24,33,10,69,35,89,2,76,75,26,65,90,22,11,43,57,53,61,27,13,23,47,45,41",0.947526291365921,"7,62,6,34,28,16,60,91,18,79,12,64,24",0.865300428824618,"6,7,34,62",0.9070199764062596,"6,7,16,28,34,62"
6,0.9505085743106927,"2,5,9,12,24,25,28,30,32,36,42,43,49,55,66,69,71,74,76,77,79,81,92,93",0.9383196032279758,"36,77,32,79,74,25,49,5,24,9,71,42,2,67,40,93,35,6,59,4,12,28,82,54,34,52,86,95,30,22,72,21,43,85",0.9436732935440484,"36,77,32,79,74,25,49,5,24,9,71,42,2,67,40,93,35,6,59,4,12",0.8376581413920645,"32,36,74,77,79",0.9237480035305985,"5,24,25,32,36,49,74,77,79"
7,0.9481655532434282,"3,5,6,14,16,17,22,25,26,30,32,33,44,50,56,59,60,63,64,68,71,75,83,90,91,92,96,99",0.9167440197950119,"6,33,90,63,60,64,3,92,83,32,14,96,16,66,17,50,79,94,68,74,24,29,51,61,20,87,44,30,18,26,82,34,81,72,57,47,39,53",0.9203904693556924,"6,33,90,63,60,64,3,92,83,32,14,96,16,66,17,50,79,94,68,74,24,29,51,61,20,87,44",0.7988523104802174,"6,33,60,90",0.89340508009166,"3,6,33,60,63,64,90,92"
8,0.9421028778608657,"1,3,8,10,12,13,16,22,24,25,27,34,37,38,40,41,56,62,64,69,80,81,84,85",0.9168636569639289,"3,12,34,80,85,13,84,37,41,8,64,27,47,39,53,50,24,69,96,71,25,40,48,98,23,57,0,66,90,62,17,97,49,59,45,74,15,44,61,42,19,65,51,99,73",0.9407123581154853,"3,12,34,80,85,13,84,37,41,8,64,27,47,39",0.8533619677399419,"3,12,13,80,85",0.9124049811507323,"3,8,12,13,34,37,64,80,85"
9,0.9452902130890374,"0,1,2,6,9,11,18,20,21,23,24,25,28,34,36,37,38,39,40,41,42,43,47,48,51,53,54,58,59,62,64,65,68,70,74,76,78,81,84,85,86,87,88,90,93,99",0.9161125905084102,"88,59,47,65,87,48,41,39,23,6,9,68,70,63,58,93,1,35,66,78,69,74,24,2,85,53,56,73,67,22,54,7,0,76,83,36,95,18,92,15",0.9478163537601814,"88,59,47,65,87,48,41,39,23,6,9,68,70,63,58",0.6505021576870041,88,0.6781445566553339,"59,88"
10,0.9323826602661989,"0,2,8,12,16,17,19,26,32,36,43,45,54,56,57,62,66,67,74,91,92,93,98",0.921761329376111,"62,26,91,8,16,45,54,2,43,98,32,57,50,85,6,24,3,47,87,40,4,71,11,10,27,95",0.9405816281516169,"62,26,91,8,16,45,54,2,43,98,32",0.8480149935917013,"8,26,62,91",0.8673965079340219,"8,16,26,45,62,91"
11,0.9387920077405426,"8,14,21,36,37,42,52,57,58,60,67,70,72,74,76,79,85,86,87,92,93",0.9145829135979345,"87,8,92,70,36,67,60,57,93,72,85,79,33,21,31,40,17,14,12,64,32,63,24,38,90,10,83,74,52,29,76,99,25,6,59",0.931708117869162,"87,8,92,70,36,67,60,57,93,72,85,79,33,21,31,40,17,14,12,64,32,63",0.8197239571285373,"8,70,87,92",0.9197092819353346,"8,36,57,60,67,70,87,92,93"
12,0.9521817991839184,"4,5,6,19,21,28,32,37,41,44,50,53,62,65,70,73,77,82,86,91,95,97,98",0.9350939190402067,"98,6,50,73,95,77,44,37,97,62,21,28,35,4,18,32,87,25,70,83,79,13,58,66,74,96,89,45,67,42,85,88,61",0.9422420006054971,"98,6,50,73,95,77,44,37,97,62,21,28,35,4,18,32,87,25,70,83,79",0.8022623088732126,"6,44,50,73,98",0.9096389254300772,"6,37,44,50,62,73,77,95,98"
13,0.9480151178490555,"3,6,7,11,12,14,21,22,27,28,30,47,49,52,65,71,73,78,79,86,89,90,95",0.9188425596155686,"14,78,12,49,27,52,86,47,6,3,95,22,7,43,76,5,37,56,40,87,60,79,65,11,38,97,4,42,69,58,9,32,39,48,94,10,82,30,41",0.9487114744686959,"14,78,12,49,27,52,86,47,6,3,95,22,7,43,76,5",0.853762452025813,"12,14,27,49,78",0.9331524223642105,"6,12,14,27,47,49,52,78,86"
14,0.9273146510500596,"0,3,4,6,7,8,9,12,13,14,17,19,21,23,25,26,27,34,37,38,41,45,48,49,50,51,52,53,54,55,57,60,64,65,70,73,74,76,78,79,82,83,84,92,96,97",0.9027918615467253,"38,37,41,53,65,70,3,45,49,51,83,55,82,93,54,50,0,96,9,79,48,71,8,76,25,6,74,44,46,19,94,26,20,61,92,15,75",0.9104560520902933,"38,37,41,53,65,70,3,45,49,51,83,55,82,93,54,50,0,96,9,79,48,71,8,76,25,6,74,44,46,19,94",0.7310851707738867,"37,38",0.8822675523064628,"37,38,41,53,65,70"
15,0.9551610106209844,"0,1,3,8,14,22,27,29,31,37,38,40,42,44,45,49,50,54,55,57,61,62,64,67,69,70,72,75,76,80,81,87,88,90,91,93,94,95,97",0.946720022319658,"40,0,88,93,64,45,80,1,8,61,97,91,87,37,4,22,65,19,35,73,67,51,60,17,58",0.9497219616134706,"40,0,88,93,64,45,80,1,8,61,97,91,87,37,4,22,65,19,35,73,67,51",0.7753455307346614,"0,40,64,88",0.9494634802801992,"0,1,8,40,45,61,64,80,88,93"
16,0.9477598988421392,"4,8,10,13,18,28,29,32,38,44,45,51,63,65,66,69,78,81,84,90,92,97",0.9291316457160803,"29,97,78,13,4,92,63,28,38,8,32,81,94,18,41,37,23,79,2,89,87,71,33,22,3,25,7,10,99,51,85,61,73,59,24,40,39",0.9545919112279165,"29,97,78,13,4,92,63,28,38,8,32,81,94,18,41,37",0.8104309402006077,"4,29,78,97",0.9224731884836513,"4,13,28,29,63,78,92,97"
17,0.9504082233865707,"2,4,6,11,14,18,34,35,37,38,48,49,52,53,69,71,77,79,83,95",0.9362453443595733,"52,69,71,48,53,37,83,2,38,34,49,35,79,95,81,6,56,86,87,63,80,20,15,7,14,89,13,73,39",0.9426356711487069,"52,69,71,48,53,37,83,2,38,34,49,35,79,95,81,6,56,86,87",0.8966290006944007,"2,37,48,52,53,69,71,83",0.9326089472465964,"2,37,38,48,52,53,69,71,83"
18,0.9415435525730076,"2,3,11,23,31,33,35,38,45,49,52,59,67,72,73,77,78,81,84,94,96,97,98",0.8892225124513913,"31,33,98,11,59,67,2,23,81,45,73,43,93,60,49,21,74,16,24,96,18,25,63,84,55,15,35,97,99,82,42,32,0,17,54,85,70,1,27,44,47,22,38,79,91",0.9481562982062718,"31,33,98,11,59,67,2,23,81,45,73,43,93",0.8312154069694195,"11,31,33,59,67",0.9068868302215354,"2,11,31,33,59,67,98"
19,0.9188658657307416,"2,11,12,14,22,30,34,35,36,37,41,44,48,49,51,54,57,58,65,67,76,79,80,81,82,92,93,97,98",0.923826718862491,"11,54,79,67,93,14,2,37,81,82,58,98,77,32,44,75,87,50,22,36,19,17,9,80,71,45,12,90",0.9395951448884089,"11,54,79,67,93,14,2,37,81,82,58,98",0.7715448389128869,"11,67,79",0.8482355786537077,"11,54,67,79"
20,0.9467386159235066,"0,1,9,10,11,13,14,15,22,29,42,47,59,67,75,76,77,79,83,84,86,88,89,98",0.9386713731218134,"13,14,59,47,11,75,89,76,83,15,84,49,50,51,61,31,21,41,10,79,48,23,67,0,1,92,38,29,57,18,53",0.9386713731218134,"13,14,59,47,11,75,89,76,83,15,84,49,50,51,61,31,21,41,10,79,48,23,67,0,1,92,38,29,57,18,53",0.7513152378247522,"13,14,59",0.752126695608661,"13,14,59"
21,0.94139218862491,"7,13,14,15,20,21,22,24,36,38,49,51,54,55,57,61,63,77,78,79,82,86,94,95",0.9209385124190065,"82,24,51,57,7,20,36,13,14,21,38,49,94,68,86,15,33,45,80,73,89,78,63,40,87,12,47,53,31,39,67,19,11,97,61,93,0,88,98,46,77",0.9301121535277178,"82,24,51,57,7,20,36,13,14,21,38,49,94,68,86,15,33,45,80,73,89,78,63",0.8134927330813535,"7,24,51,82",0.8712343637508999,"7,20,24,51,57,82"
22,0.9419239719481427,"7,13,15,20,26,28,44,57,59,62,65,66,77,80,82,83,84,86,87,88,89,92,97",0.9210359808222297,"7,28,87,15,65,13,80,88,86,62,59,97,44,20,92,66,52,77,84,0,61,69,90,6,17,93,83,68,58,72,19,78",0.9391097850575413,"7,28,87,15,65,13,80,88,86,62,59,97,44,20,92,66,52,77,84,0",0.8442719515843369,"7,15,28,80,87",0.9157570639267835,"7,13,15,28,65,80,87,88"
23,0.9551759380931523,"5,7,10,14,17,19,20,28,30,32,34,38,39,43,46,48,49,51,52,59,61,64,66,67,73,76,81,86,88,91,93,95,97,99",0.9387432953991355,"30,7,10,59,5,66,14,95,81,39,97,61,99,57,77,84,50,12,62,25,73,49,60,48,54,23,38,68,18,11,91,89,27,33,46,88,32",0.9534486510907804,"30,7,10,59,5,66,14,95,81,39,97,61,99,57,77",0.7776923776229555,"7,10,30",0.9388589988347011,"5,7,10,14,30,59,66,81,95"
24,0.9341536699763745,"5,8,12,28,29,36,39,47,49,50,56,58,69,71,74,75,84,85,87,89,90",0.9094138044516507,"5,74,89,84,36,39,58,71,50,47,56,87,11,98,94,70,28,86,75,30,3,19,82,40,59,88,22,60,20,53,17,25,48,14",0.9366285929862019,"5,74,89,84,36,39,58,71,50,47,56",0.8198764411409797,"5,74,84,89",0.8347126012377291,"5,36,74,84,89"
25,0.9263247096356114,"5,6,10,18,19,23,32,35,41,42,45,55,58,59,61,62,68,69,72,74,83,91,92,95,96,97",0.8865486581715242,"42,97,23,72,62,59,69,91,58,45,96,6,99,76,95,38,41,87,77,40,54,86,57,65,78,2,34,21,90,31,5,19,80,64,12,48,27,1,56,14,74,30,13,98,52",0.9218095335542386,"42,97,23,72,62,59,69,91,58,45,96,6,99,76,95,38,41,87,77",0.7882012493473852,"23,42,97",0.8291684047864539,"23,42,72,97"
26,0.9467926630050979,"2,4,5,8,9,11,19,20,22,23,26,27,31,34,35,36,39,42,45,46,47,48,51,54,55,58,61,62,63,65,70,71,76,77,78,81,85,87,88,89,90,91,94,95,97",0.9134254854776428,"45,88,46,55,39,81,70,36,63,87,20,94,47,19,31,97,76,91,60,14,93,62,68,66,4,83,23,92,37,21,57,58,85,71,77,22,90",0.9482423670682667,"45,88,46,55,39,81,70,36,63,87,20,94,47,19,31,97",0.7719194454881958,"45,46,55",0.9258972042563738,"36,39,45,46,55,63,70,81,88"
27,0.9426007797489134,"0,4,5,6,7,10,11,13,15,16,18,19,25,27,31,33,36,37,40,42,46,47,51,55,57,61,63,65,67,68,71,72,73,75,78,79,82,83,84,87,89,90,91,92,95,97,99",0.9141116965001905,"18,33,83,82,27,40,57,99,72,19,67,36,37,31,58,6,95,16,12,13,7,55,42,28,91,61,89,78,0,9,34,8,5,97,76,52,4,50,17,47,74,70,46,43",0.9514748873414719,"18,33,83,82,27,40,57,99,72,19,67,36,37,31,58",0.7522738235145197,"18,33,83",0.7526602336048863,"18,33,83"
28,0.9294457965514397,"5,8,9,11,13,15,16,18,20,22,23,24,25,29,30,34,35,37,38,40,42,44,45,48,51,56,57,62,63,64,65,67,68,71,72,74,76,77,78,80,82,83,85,91,93,94",0.9065400441382724,"71,62,35,8,16,20,15,64,5,45,37,83,65,9,52,42,84,99,88,67,74,82,40,61,22,94,41,11,24,86,0,23,33,44,77,17,46",0.9299253361933834,"71,62,35,8,16,20,15,64,5,45,37,83,65,9,52,42,84,99",0.7904566454912961,"8,35,62,71",0.867920344856035,"8,16,20,35,62,64,71"
29,0.9455309396485867,"0,3,7,8,9,12,17,22,23,27,28,32,33,39,41,43,44,57,59,67,68,74,77,84,85,86,88",0.9158956511897688,"41,32,44,85,12,84,0,17,67,74,43,39,9,68,7,86,88,48,21,61,31,72,91,1,22,14,11,47,37,18,58,81,13,60,79,53,10,96,3,64,83,46,19,80",0.9361486008544833,"41,32,44,85,12,84,0,17,67,74,43,39,9,68,7,86,88,48,21,61",0.8062388591800357,"32,41,85",0.9224146224146225,"0,12,17,32,41,44,84,85"
30,0.9488537657557196,"0,6,7,11,13,16,18,23,28,30,31,32,35,36,41,42,51,53,55,58,59,60,66,67,68,77,81,85,89,90,91,93,96",0.9322262060562883,"35,59,96,6,13,7,55,28,30,77,23,90,32,11,49,91,89,27,68,56,85,12,63,10,16,62,92,58,64,41",0.943118077227871,"35,59,96,6,13,7,55,28,30,77,23,90,32,11,49,91,89",0.8168993724816016,"6,35,59,96",0.9066776114548566,"6,7,13,35,55,59,96"
31,0.940683984596932,"2,4,9,10,11,13,14,19,21,24,28,30,32,38,41,42,45,47,48,52,59,60,64,66,72,73,75,76,78,79,81,82,84,86,89,93,94",0.9241222671127665,"66,86,19,30,93,47,72,79,78,73,28,52,4,37,2,88,36,3,45,75,76,42,87,43,22,55,0,71,11,96,63",0.9412363487153589,"66,86,19,30,93,47,72,79,78,73,28,52,4,37,2,88",0.8233276518738295,"19,30,66,86",0.9011084106643099,"19,30,47,66,79,86,93"
32,0.9321508052515836,"2,12,14,15,17,18,29,31,36,40,47,56,58,65,66,67,69,74,87,89,92,96",0.89622723501758,"18,40,74,87,17,29,69,14,47,31,66,51,73,26,93,60,37,90,86,42,48,91,44,77,8,45,75,19,32,63,7,89,98,82,15,35,22,76,41,12,83,67,53,10,97,33,25,59,85,62,20",0.9335809004595794,"18,40,74,87,17,29,69,14,47,31,66,51,73,26,93,60",0.7347265568416755,"18,40,74",0.8750497109522116,"17,18,29,40,69,74,87"
33,0.9539546155540868,"0,4,5,6,11,15,17,20,22,24,26,27,31,32,33,34,39,41,46,47,48,53,56,57,59,60,63,64,65,69,72,75,78,79,80,84,87,89,92,98",0.9446987561843991,"60,20,4,56,72,79,32,89,63,15,24,27,30,95,53,59,33,62,98,8,84,44,17,0,19,47,34,39,41,1,9,92,71",0.9537560620031061,"60,20,4,56,72,79,32,89,63,15,24,27,30",0.8366829045392605,"4,20,56,60,72",0.9242015019352171,"4,20,32,56,60,72,79"
34,0.9485157084702668,"0,2,6,7,11,13,16,17,21,25,28,31,33,36,39,46,47,49,55,57,58,60,61,63,64,65,67,73,76,78,79,85,87,88,95,96,99",0.9085148970124829,"11,63,46,13,79,6,85,61,78,76,49,21,57,17,43,96,28,31,12,36,0,47,99,67,95,2,58,87,88,53,30,8,16,94,14,4,32,5,50,33,84,68,74",0.9531464275571063,"11,63,46,13,79,6,85,61,78,76,49,21",0.8045117052785329,"11,46,63",0.8271892454795039,"11,13,46,63"
35,0.9536976714862139,"0,2,3,9,10,23,38,40,41,55,57,59,69,75,77,80,91",0.9230111487054472,"55,77,80,91,10,59,23,0,41,3,75,62,27,74,65,84,98,48,20,8,81,22,70,5,4,78,93,79,21,1,18,43,58,34,54,49,72",0.9537580909549428,"55,77,80,91,10,59,23,0,41,3,75,62,27,74,65,84",0.8148983902151984,"3,10,55,77,80",0.9444429850369872,"0,3,10,23,41,55,59,77,80,91"
36,0.9355136940547762,"0,2,3,4,7,8,9,10,11,12,13,14,17,19,22,24,25,27,28,31,37,39,43,44,45,48,49,50,51,53,57,58,60,62,66,67,69,70,72,74,76,78,79,82,83,84,85,87,88,89,93,94,95,96,97,99",0.9319438877755511,"8,78,7,39,9,85,2,14,51,48,44,82,70,4,88,99,50,74,13,12,93,6,19,97,53,57,11,49,43,58",0.937806279225117,"8,78,7,39,9,85,2,14,51,48,44,82,70,4,88,99,50,74,13,12,93,6,19",0.7863406813627255,"7,8,78",0.8579585838343353,"7,8,9,39,78,85"
37,0.9329480417461564,"1,2,3,4,5,6,7,15,17,20,21,22,24,28,32,33,36,37,38,40,43,48,50,51,54,55,56,57,63,65,68,69,70,73,74,75,76,79,82,86,88,89,91,92,94,97,98",0.9114998316687241,"69,40,3,75,79,37,15,68,55,38,65,43,21,70,93,36,7,24,91,48,9,32,82,88,98,57,89,77,94,90,13,72,2,64,19,14,1,18,92",0.9322211566909132,"69,40,3,75,79,37,15,68,55,38,65,43,21,70,93",0.8360606400669245,"3,40,69,75",0.8929515103906306,"3,15,37,40,69,75,79"
38,0.9302282825187682,"0,2,7,11,13,14,16,21,25,28,39,42,47,50,52,60,63,69,70,74,76,78,80,92,93,94,95,96",0.8900273224043715,"16,21,2,13,0,78,11,52,25,80,47,74,94,76,39,14,42,73,28,9,1,98,63,96,49,31,10,6,59,4,32,71,24,92,20,70,83,86,3,65,54",0.9249757417905112,"16,21,2,13,0,78,11,52,25,80,47,74,94,76,39,14,42,73,28",0.8502476890863592,"0,2,13,16,21",0.8535697870384557,"0,2,13,16,21"
