simulation,LASSO_CV_c_index,LASSO_CV_features,AIC_Cox_c_index,AIC_Cox_features,BIC_Cox_c_index,BIC_Cox_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
0,0.9223314324698296,"0,2,4,10,12,13,14,16,17,20,21,22,29,32,35,37,38,39,41,46,49,50,51,52,53,55,56,57,59,62,65,66,67,68,69,70,72,73,74,75,77,78,79,80,81,88,90,92,95,97,98",0.9223809484511126,"68,65,74,78,0,56,20,88,39,70,79,41,62,72,59,46,57,55,66,98,75,11,35,47,99,38,40,49,93,23,21,3,33,42,60,84,5,97,92",0.9384131228353952,"68,65,74,78,0,56,20,88,39,70,79,41,62,72,59,46,57,55,66,98,75,11,35,47",0.7517846384920733,"56,57,65,68,74,78",0.7700505338097872,"0,56,65,68,74,78"
1,0.939296060737238,"3,6,7,8,9,10,13,14,16,17,18,21,22,23,26,27,29,31,35,36,37,41,42,43,46,49,50,52,58,61,62,63,64,65,67,69,72,74,75,77,78,79,80,81,82,83,84,86,87,88,89,91,92,93,94,95,97,98,99",0.9416630592831852,"52,3,82,6,37,13,21,14,74,65,93,58,78,89,79,98,92,99,62,56,10,76,87,75,69,24,2,67,9,26,28,94,7,42,18,31,84,11",0.9469992119254548,"52,3,82,6,37,13,21,14,74,65,93,58,78,89,79,98,92,99,62,56,10,76,87,75,69,24,2,67,9",0.8022071637086122,"3,6,37,52,82",0.8166117234413328,"3,6,13,37,52,82"
2,0.94101083974057,"1,2,3,8,12,18,21,22,23,25,28,31,32,34,37,42,44,45,48,49,50,53,54,56,57,58,61,62,63,68,69,76,78,79,87,88,94,95",0.9297985080386536,"2,49,32,94,3,23,42,95,54,8,56,76,1,37,79,25,31,21,58,69,18,45,0,68,75,44,63,43,35,88,52,98,24,47,84,73,90,12,15",0.942160549518692,"2,49,32,94,3,23,42,95,54,8,56,76,1,37,79,25,31,21,58,69,18,45,0,68,75,44,63",0.7684532411436419,"2,3,49,94",0.8147609960957772,"2,3,23,32,49,94"
3,0.9576984141467598,"0,2,4,6,7,8,11,14,16,17,18,19,22,27,28,30,31,37,42,44,50,56,59,61,63,67,69,71,72,73,74,78,80,81,82,83,88,89,91,97,98",0.9416756391773272,"6,80,71,67,82,97,4,83,59,69,27,88,0,42,8,2,63,18,61,98,64,89,37,17,30,50,16,24,7,45,72,57,49,68,25,19",0.9629463552488536,"6,80,71,67,82,97,4,83,59,69,27,88,0,42,8,2,63,18,61,98,64",0.629750325226355,"6,67,80,97",0.7005597282437256,"6,67,71,82,97"
4,0.9477668456500824,"0,1,3,7,9,10,11,12,15,18,19,21,23,26,27,30,33,35,37,38,39,40,42,45,47,49,50,57,59,60,63,64,66,68,69,70,73,74,76,77,78,80,81,82,87,88,92,94,95,96,98",0.9199788944411682,"81,78,37,63,95,0,49,42,74,26,94,30,33,76,45,77,39,11,7,5,38,27,96,19,3,9,23,50,57,18,79,2,54,8,56,35,99,32,69,12,80,20,60,98,90,55",0.9433501970886744,"81,78,37,63,95,0,49,42,74,26,94,30,33,76,45,77,39,11,7,5,38,27,96,19,3,9,23,50,57",0.7819485396815543,"37,78,81",0.7818647381979578,"37,78,81"
5,0.9536924989639451,"0,3,4,5,6,11,12,13,19,21,24,31,32,35,36,37,38,39,40,44,47,48,49,50,51,52,57,58,59,61,64,68,69,70,71,74,75,77,80,82,83,85,87,89,90,91,92,93,94,95,96,97",0.9518110236220472,"59,11,68,13,90,77,40,75,83,12,48,0,80,82,51,24,70,4,6,38,99,85,96,64,3,47,92,94,71,57,93",0.9520306672192292,"59,11,68,13,90,77,40,75,83,12,48,0,80,82,51,24,70,4,6,38,99,85,96,64,3,47,92,94,71",0.8004641525072523,"11,13,59,68,75",0.8982732421605194,"11,13,40,59,68,75,77,83,90"
6,0.934855216791788,"1,4,5,18,22,26,29,36,40,41,45,46,50,52,53,59,60,67,68,76,78,79,80,91,95",0.9504213267963842,"50,60,68,91,95,53,36,1,52,76,18,41,5,40,4,46,54,29,22,25,74,45,7,99,85,72,61,13,11,21,38,89,82,10",0.9591874776569124,"50,60,68,91,95,53,36,1,52,76,18,41,5,40,4,46,54,29,22,25,74",0.7532301721056126,"50,60,68,91",0.8401613809304939,"1,36,50,53,60,68,91,95"
7,0.9499982585258556,"1,4,5,6,8,10,12,13,18,19,26,33,34,39,40,43,44,48,49,51,53,55,57,59,62,63,66,70,71,73,75,76,77,78,82,86,88,89,90,92,93,97",0.9374917949775886,"97,76,33,44,73,49,19,48,89,62,57,34,82,39,6,43,90,18,12,10,99,54,87,66,72,92,69,56,93,53,42,51,36,13,77,74,11,58",0.9464510096531252,"97,76,33,44,73,49,19,48,89,62,57,34,82,39,6,43,90,18,12,10,99,54,87,66,72,92",0.7645875251509054,"34,44,73,76,97",0.8170192928543297,"19,33,34,44,49,73,76,97"
8,0.9282463931999324,"0,1,2,4,7,8,13,14,15,17,18,19,20,21,22,25,28,29,31,33,34,35,36,38,39,41,42,44,47,49,51,52,54,55,57,58,61,64,68,71,73,75,79,80,81,82,83,84,87,88,90,91,92,93,94,95,96,97,98,99",0.9243487001316528,"54,35,34,81,84,98,38,25,73,57,61,58,13,21,87,20,92,44,1,88,79,90,17,55,82,36,29,93,41,95,62,12,46,5,10",0.9243487001316528,"54,35,34,81,84,98,38,25,73,57,61,58,13,21,87,20,92,44,1,88,79,90,17,55,82,36,29,93,41,95,62,12,46,5,10",0.7372020736710424,"34,35,54",0.7437656030635267,"34,35,54,81"
9,0.9250376101439932,"0,1,2,3,6,9,14,15,18,20,25,29,30,31,32,33,34,35,36,45,46,48,49,50,51,52,53,54,55,56,57,59,60,61,63,67,68,69,70,74,76,77,78,81,82,84,85,90,91,97",0.9241886954652913,"97,68,48,6,55,34,63,82,2,15,29,60,76,53,25,50,52,77,69,67,1,45,51,84,18,30,85,70,47,40,36,57,72,27,46,56,54,10",0.9448339780786588,"97,68,48,6,55,34,63,82,2,15,29,60,76,53,25,50,52,77,69,67,1,45",0.7251584998925424,"6,48,68,97",0.7678406404470234,"6,48,55,68,97"
10,0.935031246315293,"2,3,4,7,8,13,15,16,20,21,23,24,26,29,33,35,40,42,43,45,46,47,55,58,59,63,66,70,71,72,76,79,81,83,89,90,92,95,96",0.9320598985968636,"79,58,15,59,45,96,23,26,63,46,76,21,83,66,55,33,24,47,2,13,3,92,95,42,78,80,0,53,39,29,32,12,54,51,1,27,4,90,84,61,49,17",0.946348045958941,"79,58,15,59,45,96,23,26,63,46,76,21,83,66,55,33,24,47,2,13,3,92,95,42",0.7678680449108465,"15,45,58,79",0.802261263739863,"15,26,45,58,59,79"
11,0.941887277381378,"1,2,3,5,11,12,13,15,16,19,27,28,32,38,39,42,43,45,46,47,49,52,53,57,61,63,65,67,71,79,82,83,90,91,93,94,97,98,99",0.9413704031877796,"13,63,52,2,5,42,98,11,45,71,19,43,99,97,12,53,93,91,3,18,88,57,67,39,17,35,79,62,26,16,0,92,81",0.9518568608248223,"13,63,52,2,5,42,98,11,45,71,19,43,99,97,12,53,93,91,3,18,88,57,67,39",0.7586210470135294,"5,13,52,63",0.8307606211817377,"2,5,13,42,45,52,63,98"
12,0.9428889196406148,"4,5,6,7,8,9,11,13,16,17,18,21,25,26,27,28,30,32,34,35,38,39,40,42,43,44,45,46,47,49,53,56,57,59,62,67,69,70,71,72,73,77,79,82,83,85,86,89,93,94,95,96,97,98",0.9368936144041085,"4,16,40,93,49,53,18,86,13,69,11,89,56,8,35,72,39,83,85,97,79,17,59,43,47,5,21,25,22,98,52,7,96",0.9464304934114428,"4,16,40,93,49,53,18,86,13,69,11,89,56,8,35,72,39,83,85,97,79,17,59,43",0.6982025616187708,"4,16,93",0.792874312570793,"4,16,18,40,49,53,93"
13,0.912450060266255,"0,1,4,5,6,7,8,13,16,19,20,22,23,26,35,37,40,41,42,45,48,54,56,58,65,66,72,80,82,85,86,88,94",0.9359918200408998,"8,42,20,85,41,7,56,0,6,35,37,26,48,1,66,86,19,80,23,59,55,46,58,98,97,30,14,62,9,43,82,78,51,70,94,4,67,25,88,52,12,61,47",0.9604247078102358,"8,42,20,85,41,7,56,0,6,35,37,26,48,1,66,86,19,80,23,59,55",0.7621798778423327,"8,20,41,42",0.8098267853031595,"8,20,41,42,85"
14,0.9527435927111866,"0,2,4,9,10,13,17,18,21,30,31,38,39,40,47,51,57,59,60,62,64,65,66,72,73,76,77,79,83,86,88,89,92,93,94,95,96,97,99",0.930388488098453,"96,39,40,72,18,95,97,57,89,47,59,88,2,13,0,83,86,51,64,94,85,38,3,76,98,16,6,79,21,53,17,22,54,34,63,92,4,71,82,99,29,11",0.9513418978177284,"96,39,40,72,18,95,97,57,89,47,59,88,2,13,0,83,86,51,64,94,85",0.705757236732122,"39,40,96",0.7070329076810308,"39,40,96"
15,0.940425473131648,"0,1,4,6,7,9,10,11,14,15,19,24,25,26,29,30,31,34,35,37,39,41,42,43,46,47,48,49,55,57,58,59,61,63,64,66,67,70,71,73,79,80,81,82,85,86,90,97",0.9421052631578948,"80,10,41,43,66,81,61,37,26,34,57,59,19,55,70,42,73,0,39,46,7,90,98,52,29,4,91,49,48,21,94,14,54,3,16,72,24,74,64,83",0.959428097803564,"80,10,41,43,66,81,61,37,26,34,57,59,19,55,70,42,73,0,39,46,7,90,98",0.7307362895427545,"10,26,41,43,80",0.7702472717226136,"10,26,37,41,43,80"
16,0.9324109003254843,"0,1,8,9,10,11,13,24,28,33,35,36,44,45,50,56,61,62,63,74,75,76,77,79,81,88,89,90,95,99",0.9421046180664316,"9,77,95,74,10,62,11,63,35,88,13,44,36,99,1,81,28,76,53,85,64,30,21,32,78,86,47,67,61,94,19,56,93,6,68,49,92,7,16,89",0.947342330686786,"9,77,95,74,10,62,11,63,35,88,13,44,36,99,1,81,28,76,53,85,64,30,21,32,78,86",0.7730869275082052,"9,35,74,77,95",0.7715807106184205,"9,35,74,77,95"
17,0.9521567539486318,"1,3,8,11,14,16,20,21,23,25,30,32,33,36,38,39,41,42,45,46,48,50,52,53,58,61,62,63,64,67,68,70,74,78,79,81,82,85,89,91,94,96",0.9542728452179872,"45,82,33,16,25,32,50,70,8,53,81,94,62,85,11,58,1,91,36,20,23,48,42,44,21,74",0.9541613288400392,"45,82,33,16,25,32,50,70,8,53,81,94,62,85,11,58,1,91,36,20,23,48,42,44",0.7606967325701262,"33,45,50,82",0.77674965117133,"25,33,45,50,82"
18,0.9562740044471396,"0,2,7,9,16,17,20,27,28,29,33,36,38,39,42,45,51,52,53,55,58,59,62,64,66,68,70,72,74,75,77,79,84,87,88,90,91,99",0.945252173034162,"28,79,59,16,36,29,42,66,70,27,68,88,64,45,2,87,55,39,74,43,51,7,69,3,65,90,62,17,86,78,22,37,81,67",0.957337780473014,"28,79,59,16,36,29,42,66,70,27,68,88,64,45,2,87,55,39,74,43,51,7",0.7344931271477664,"16,28,29,79",0.8818425308267637,"16,27,28,29,36,42,59,66,70,79"
