simulation,LASSO_CV_c_index,LASSO_CV_features,AIC_Cox_c_index,AIC_Cox_features,BIC_Cox_c_index,BIC_Cox_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
0,0.9343881486676016,"1,2,5,6,9,10,13,15,16,17,18,19,20,22,25,26,32,34,35,36,37,38,39,41,42,44,46,48,50,51,53,54,55,61,62,68,69,71,73,76,79,80,83,86,89,91,93,94,97,98",0.8731295375794076,"16,55,50,80,69,22,26,20,68,17,48,32,94,39,62,89,34,98,2,40,87,18,79,27,85,4,8,53,30,51,65,61,38,76,93,9,60,70,3,11,63,0,77",0.9323049872122762,"16,55,50,80,69,22,26,20,68,17,48,32,94,39,62,89,34,98,2",0.7261519264087122,"16,50,55",0.8228152586420262,"16,22,50,55,69,80"
1,0.9288232671493476,"4,10,11,12,15,17,20,21,23,25,26,29,31,32,34,35,38,40,41,43,44,49,50,51,55,58,60,61,64,68,73,77,78,79,80,83,84,87,88,89,90,92,93,94",0.9309075293287418,"51,29,25,58,11,50,21,55,92,44,32,87,61,10,26,73,39,23,90,40,79,83,77,78,57,41,88,93,68,24,69,42,56,96,37,34,91,74,65",0.9410471092487084,"51,29,25,58,11,50,21,55,92,44,32,87,61,10,26,73,39,23,90,40,79",0.8145471653213785,"25,29,51,58",0.8739541079385225,"11,21,25,29,50,51,58"
2,0.930458934349985,"5,6,7,9,11,12,17,18,20,21,23,25,27,31,33,34,35,36,37,38,39,40,41,43,48,49,53,54,55,56,59,62,65,67,69,70,72,75,78,80,81,82,86,88,91,92,93,94,97,99",0.9028927406359312,"25,82,78,18,91,48,55,27,53,86,65,59,35,54,94,23,20,36,37,97,67,9,39,19,41,71,92,12,15,40,21,6,33,46,1,66,26,16,70,81,7,14,28,45",0.9489918641669616,"25,82,78,18,91,48,55,27,53,86,65,59,35,54,94,23,20",0.7620537410420679,"25,78,82",0.8795556079602772,"18,25,48,55,78,82,91"
3,0.954750847757698,"8,13,16,20,21,26,27,28,32,34,41,42,45,46,48,49,51,58,61,63,64,65,66,69,70,73,75,77,80,81,82,85,86,87,88,90,93,99",0.9479837666317122,"65,45,90,88,26,85,8,75,66,70,93,48,73,82,86,29,27,69,22,42,31,1,7,58,80,97,24,5,28,99,16",0.9544131065382888,"65,45,90,88,26,85,8,75,66,70,93,48,73,82,86,29,27,69,22,42,31,1,7,58,80",0.757678846232415,"45,65,90,93",0.8133244358495962,"26,45,65,88,90,93"
4,0.9430905377808032,"0,2,3,6,8,9,10,17,18,20,30,31,32,34,40,41,42,45,46,47,48,49,50,51,52,54,56,58,59,64,68,70,75,76,77,78,83,86,87,90,91,92,93,99",0.907841298791374,"52,42,41,54,10,34,99,75,76,64,18,40,56,32,87,83,8,31,2,58,92,91,15,48,49,90,25,94,77,59,78,81,5,93,71,11,3,97,12,89,47,7,69,70",0.9310017082600152,"52,42,41,54,10,34,99,75,76,64,18,40,56,32,87,83,8,31,2,58,92,91,15,48,49",0.8210077449683394,"10,41,42,52,54",0.8757722491233929,"10,34,41,42,52,54,99"
5,0.9347107546846812,"3,6,8,11,14,19,20,22,23,24,26,29,36,41,42,47,50,53,54,55,56,59,63,64,66,67,70,71,73,74,79,84,93,96,97,98,99",0.9352151068620866,"70,56,71,26,47,73,84,36,55,66,20,23,96,79,99,24,67,19,63,40,50,41,44,51,53,22,18,82,15,38,64,27,10,16,59",0.9421878086358788,"70,56,71,26,47,73,84,36,55,66,20,23,96,79,99,24,67,19,63,40,50,41,44,51,53",0.8390892690185544,"26,47,56,70,71",0.9113762361895732,"20,26,36,47,55,56,70,71,73,84"
6,0.958756734355574,"0,1,3,4,10,12,13,17,18,19,24,25,26,27,28,31,35,36,37,39,41,48,54,57,62,65,70,71,72,74,80,81,89,90,98,99",0.940359165630612,"25,36,13,27,12,70,74,24,35,0,57,26,1,41,18,65,10,19,86,39,17,47,32,4,28,8,21,99,49,62,3,88,46,77,43,67,20,84,5,92,14",0.9613786434590412,"25,36,13,27,12,70,74,24,35,0,57,26,1,41,18,65,10,19,86,39",0.7775576737118387,"13,25,27,36",0.892347009255422,"0,12,13,24,25,27,36,70,74"
7,0.9402372238681432,"2,4,11,12,16,17,18,19,20,24,26,29,33,34,37,39,42,46,47,53,55,65,66,68,70,71,74,75,76,77,79,81,83,84,88,90,92,96,99",0.926328311073792,"77,76,46,88,2,24,74,16,39,37,70,55,11,66,42,44,92,33,29,17,31,83,47,19,72,93,57,51,49,79,89,1,68",0.9281410246254428,"77,76,46,88,2,24,74,16,39,37,70,55,11,66,42,44,92,33,29,17,31,83,47,19,72,93,57,51,49,79,89,1",0.7632250194077853,"24,46,76,77",0.8699282308021357,"2,16,24,46,55,74,76,77,88"
8,0.942953962996705,"4,5,8,12,13,19,32,44,50,51,52,54,55,60,61,64,65,67,68,69,71,73,74,76,77,80,81,88,92,95,97,98",0.9364504309672,"51,92,71,98,60,61,76,67,32,88,55,65,73,77,68,54,57,8,27,44,6,14,74,29,20,56,45,59,3,21,85,72,38,43",0.9385378618237136,"51,92,71,98,60,61,76,67,32,88,55,65,73,77,68,54,57,8,27,44,6,14,74,29,20,56,45",0.8192435298157782,"51,71,76,92,98",0.8916409108066764,"51,55,60,61,67,71,76,92,98"
9,0.9287366027046536,"0,1,2,3,8,10,12,14,16,18,19,20,23,24,25,29,35,37,38,39,42,43,45,47,48,50,51,52,54,56,58,59,60,64,65,68,69,70,75,84,86,88,92,95",0.9224420869138896,"65,84,47,58,38,8,48,35,43,10,25,20,88,69,18,3,2,71,1,59,45,68,30,91,67,78,17,46,27,94,37,39,57,52,29,24,16",0.929480178131256,"65,84,47,58,38,8,48,35,43,10,25,20,88,69,18,3,2,71,1,59,45,68,30,91,67,78,17,46,27",0.7845919187242097,"25,47,58,65,84",0.7861553337237331,"1,8,38,43,47,58,65,84"
