simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,LASSO_QUT_mse,LASSO_QUT_features,HarderLASSO_QUT_mse,HarderLASSO_QUT_features
0,34.120525955351695,"7,10,25,41,49",22.792566327693542,"10,25,41,49",0.2571230600097938,"0,3,6,8,10,12,17,18,20,21,22,25,29,36,38,40,41,42,43,49",0.0492227788699547,"10,25,41,49",0.0561587559244467,"10,25,41,49"
1,43.950132654521326,"13,17,28,29",27.142491664747208,"13,17,28,29",1.747055016979447,"2,4,5,6,8,9,10,11,13,16,17,20,21,22,23,24,25,26,27,28,29,31,33,34,35,36,37,38,39,41,43,44,46,48,49",0.0369797975900064,"13,17,28,29",0.0269316574077577,"13,17,28,29"
2,51.16640555180739,"6,9,11,32,33,46,47",25.009779422439554,"9,11,46,47",1.2678621467688544,"0,3,4,5,6,7,8,9,10,11,12,14,15,16,18,19,20,22,24,29,31,33,34,35,39,40,41,42,46,47,48",0.0482989212733897,"9,11,46,47",0.03351938691158,"9,11,46,47"
3,45.41399096313395,"12,15,16,31,33,46",25.4853787897464,"12,15,33,46",0.2947304157728553,"1,3,4,7,9,10,11,12,14,15,20,24,30,31,33,34,36,45,46,48,49",0.0278550049953212,"12,15,33,46",0.0322386640017425,"12,15,33,46"
4,33.889211250625884,"4,5,31,42",23.81349650469811,"4,5,31,42",0.3908635281497176,"0,1,2,3,4,5,6,7,9,14,17,18,20,21,23,25,26,31,32,35,36,38,39,41,42,43,46,47,48",0.0403301837297619,"4,5,31,42",0.0294044093517546,"4,5,31,42"
5,33.30731733851736,"27,30,37,38",21.507205882742745,"27,30,37,38",1.0322854746240422,"1,2,4,6,7,9,12,14,15,17,20,22,25,27,28,30,31,34,36,37,38,40,42,46",0.0549501732598765,"27,30,37,38",0.046064682041378,"27,30,37,38"
6,35.75071911209812,"2,22,39,43",27.398965795058476,"2,22,39,43,46",0.8904062601630776,"1,2,4,6,7,8,10,12,13,14,16,17,18,19,20,21,22,24,26,27,29,33,35,36,37,38,39,40,42,43,44,46,47,48",0.0613659148605393,"2,22,39,43",0.039440486713084,"2,22,39,43"
7,40.953512707422824,"1,14,24,29,33",21.762427617601368,"1,14,24,33",0.8546557803013438,"1,5,7,8,9,10,11,13,14,15,18,19,20,21,24,26,27,28,29,30,32,33,34,35,37,38,40,42,43,44,45,46,47,48",0.026942720949144,"1,14,24,33",0.0264509381765554,"1,14,24,33"
8,52.04126256386858,"2,8,9,11,29,39,45",23.655422402691784,"2,8,9,11",0.6649237567755177,"0,1,2,3,4,8,9,10,11,12,14,18,19,20,23,25,26,28,29,30,32,33,34,35,37,39,41,43",0.0354346004942916,"2,8,9,11",0.0327859968335538,"2,8,9,11"
9,37.28671472046301,"4,5,14,40,41",23.435477189730168,"5,14,40,41",0.3030159921531567,"4,5,6,12,13,14,17,26,29,32,33,34,35,36,40,41,43,46",0.0198120624338156,"5,14,40,41",0.0103914402994342,"5,14,40,41"
