simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,LASSO_QUT_mse,LASSO_QUT_features,HarderLASSO_QUT_mse,HarderLASSO_QUT_features
0,538.8326031936928,"0,11,12,16,18,20,23,25,29,37,42,46",779.5766705780231,"37,46",375.4467197961604,"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,40,41,42,43,44,45,46,47,48,49",654.244600035489,,145.44306474073267,"0,11,12,16,18,20,22,24,25,36,37,41,42,44,46,47"
1,489.9316032110726,"1,5,13,14,15,18,30,32,39,44,46,48",628.450123058386,"14,30,32,44,46,48",295.759681950167,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",628.8713185857024,,165.77982334509974,"1,4,5,10,13,14,15,18,30,32,33,35,39,41,44,46,48"
2,500.8419418469022,"10,11,16,20,23,24,29,35,37,39,44,45,46,47",747.1465434139951,"24,29,45,46,47",428.3590331001054,"0,1,2,3,4,5,6,7,8,9,10,11,13,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49",632.6638681029551,,279.311204007276,"10,11,19,23,24,27,29,32,35,37,39,40,42,43,44,45,47"
3,505.1395776250259,"2,5,6,7,8,10,14,15,18,25,28,34,41",776.8034422518381,8,367.65674748382,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",655.3055692275761,,199.49939819337223,"0,5,6,7,8,10,14,15,18,20,23,25,34,41,43"
4,561.9829456044513,"0,19,21,27,32,40,41,42",792.5369886250147,42,401.66980353948975,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",656.3749907920728,,447.2924547726636,"6,11,13,19,21,22,24,27,29,32,40,41,45"
5,522.0792521268675,"5,10,11,13,16,17,22,31,34,39,45,46",755.3557215320116,"31,39,45,46",336.75704885467854,"0,2,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,25,26,27,28,30,31,32,33,34,35,36,37,39,40,42,43,44,45,46,47,49",645.3232377315436,,196.4953953031561,"4,5,9,10,11,13,17,20,22,28,31,33,39,45,46"
6,507.2971120021621,"0,5,8,19,22,24,27,29,32,39,45",645.9305573465034,"22,27,29,39,45",474.4754086355774,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",633.3948156705643,,528.0470193601767,"1,4,6,8,9,14,18,19,22,24,25,27,29,32,38"
7,561.1784705196542,"7,15,23,28,35,36,37,42,48",741.5958916245498,"42,48",346.28501456160916,"0,1,3,4,5,7,8,9,10,11,12,13,14,15,16,17,19,21,22,23,24,25,26,27,28,29,30,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49",665.4405586436254,,379.0896424967358,"9,15,23,26,29,35,36,42,47,48"
8,555.7792953781353,"2,3,8,14,15,17,34,35,37,42,43",799.769482603274,"37,43",367.4928946478157,"0,1,2,3,4,5,6,7,8,9,11,12,14,15,16,17,18,22,23,24,25,26,27,29,30,31,32,33,34,35,36,37,38,41,42,43,45,46,47,48,49",671.0831133990903,,290.32425546870286,"0,3,6,7,8,14,15,24,26,29,35,37,42,43"
9,516.9454129538962,"3,12,14,19,20,32,33,34,35,37,38,41,42,44,45",839.21438979398,"38,42,44",408.2820717137766,"0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49",668.7094568961828,,387.4892628813854,"3,6,14,19,22,32,33,34,35,37,38,43,44,45"
