simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,LASSO_QUT_mse,LASSO_QUT_features,HarderLASSO_QUT_mse,HarderLASSO_QUT_features
0,3.500811032295016,"47,49",3.8537847657944826,"47,49",0.1119164379667761,"0,2,4,5,6,8,12,13,15,18,20,23,25,27,28,29,31,32,35,38,40,41,43,44,45,47,49",0.0114206297907659,"47,49",0.0166683157869028,"47,49"
1,2.5885069677338888,"44,47",3.6120171372503975,"42,44,47",0.0942982038367761,"4,5,23,34,41,43,44,47",0.0109129306306497,"44,47",0.00925331919053,"44,47"
2,2.003407833039632,"1,27",3.331468017597421,"1,27",0.0860413877551556,"1,19,22,27,33,34,36",0.007644848788907,"1,27",0.007928152012998,"1,27"
3,5.4363455676415775,"9,34,36,44",4.927028697322321,"9,36,41,44",0.1148756296964116,"6,7,9,14,15,18,20,23,24,26,27,38,40,44,48,49",0.006496954153136,"9,44",0.0141219716173087,"9,44"
4,3.2730386928750828,"20,37",4.177948319559719,"20,37",0.0844122742701366,"0,1,3,7,10,13,14,16,17,20,21,24,28,29,31,33,35,36,37,39,40,42,48",0.0164074253441621,"20,37",0.0213397628030917,"20,37"
5,3.1447836036769674,"2,34",4.000939317074627,"2,34",0.082629928898032,"1,2,5,9,13,14,15,16,21,22,23,26,27,31,33,34,35,36,37,38,40,46,47,48,49",0.0039453884157494,"2,34",0.0019540500374515,"2,34"
6,2.7064305742131647,"33,34",3.533201043762655,"33,34",0.0479539521324614,"1,2,5,7,10,11,15,16,20,22,23,26,29,33,34,35,38,39,42,43,44,46,47",0.0224123102381239,"33,34",0.0101485305567707,"33,34"
7,2.5382331974045753,"37,45",3.170274872828516,"37,45",0.0900208912795264,"0,2,4,5,8,11,14,15,16,18,19,20,23,24,25,26,29,32,33,35,36,37,38,39,43,44,45,46,47,48,49",0.0100782393585687,"37,45",0.0075575902496818,"37,45"
8,5.9353790661858445,"19,25,28,35",5.005933640480729,"19,25,35",0.0553783472871962,"0,2,3,4,5,6,8,9,11,12,14,15,17,19,20,31,32,34,35,36,38,40,44,46,49",0.0058725162725917,"19,35",0.0070913425326238,"19,35"
9,4.351628638455781,"8,18,32,33",3.349915039096284,"8,18",0.0969882487710778,"7,8,17,18,19,33,34,45",0.0111906844664093,"8,18",0.0048331080615336,"8,18"
10,4.282793384981027,"15,47",3.1739995706878465,"15,47",0.11713886392299,"2,3,8,11,13,15,17,18,19,20,21,28,31,33,35,36,38,42,43,45,46,47",0.0077887815304207,"15,47",0.0214983808949685,"15,47"
11,3.1984151610973863,"11,15,19",3.3271911395977196,"11,19",0.1174409571869088,"4,6,11,19,20,25,32,39,43,44,46,47",0.0078552365706396,"11,19",0.0028026640623132,"11,19"
12,3.840534908536171,"15,31",3.6686844883271705,"15,31",0.0488794005049493,"0,7,9,10,11,13,15,16,20,26,27,30,31,40,43,49",0.0367571957990498,"15,31",0.0234894491408821,"15,31"
13,3.95431667239692,"2,3",4.732336573825776,"2,3",0.1568591298480999,"1,2,3,6,8,9,10,13,19,20,25,31,32,33,34,36,37,38,41,43,44,45,46,49",0.0248314173525166,"2,3",0.0379417705093792,"2,3"
14,2.7057710907294887,"1,15",2.905216995085447,"1,15",0.0615665217762598,"1,2,3,6,8,12,13,15,16,19,20,23,25,28,30,33,36,37,43,44,45,46,49",0.0038658528046912,"1,15",0.003011455850043,"1,15"
15,4.024008875395862,"40,41",4.020365890067984,"40,41",0.0720690993006728,"0,1,4,11,13,17,19,20,27,29,38,40,41,45",0.0097176546602923,"40,41",0.0095381946307899,"40,41"
16,2.8035364049057163,"16,35",4.035295134370723,"16,35",0.066054582019026,"0,1,7,8,11,13,16,18,23,31,34,35,41,46",0.0227301610997186,"16,35",0.0164376818845912,"16,35"
17,4.643958154810698,"3,35,39,45",4.56532279151444,"3,35,39,45",0.0952091267384819,"0,1,2,3,4,5,6,7,8,13,14,15,16,17,18,20,21,23,24,26,29,30,31,32,33,35,37,38,39,41,43,44,45,47,49",0.016818033231483,"3,35",0.007068365299761,"3,35"
18,3.947817287230115,"5,8,21,22",2.956289418408451,"5,21",0.0990303252300047,"5,10,11,21,41,49",0.0041254605045996,"5,21",0.0041534610700482,"5,21"
19,4.363694041198002,"30,37,42",3.5814496297236547,"30,42",0.0453864387436161,"2,4,8,9,10,12,14,19,20,30,31,34,37,40,42,43,47,49",0.016944179057936,"30,42",0.0071807307549421,"30,42"
20,3.633169827890966,"4,27,29",2.6325352441034275,"27,29",0.0957682049028914,"0,1,3,4,6,7,9,10,11,12,15,17,19,22,23,24,27,29,31,35,37,38,40,42,43,44,45,48",0.0112377548236155,"27,29",0.0097809827850485,"27,29"
21,2.371828060621696,"20,32",2.826696086826474,"20,32",0.0807418795518646,"0,4,8,18,19,20,25,30,31,32,41,43,46",0.0195265251375232,"20,32",0.0074747812453655,"20,32"
22,4.203440049133529,"15,16,43,49",3.6575042247714777,"15,43",0.0946271518912287,"2,3,5,12,13,14,15,19,20,22,24,28,29,31,34,38,41,42,43,44,47,49",0.0110272111879266,"15,43",0.0059966734675143,"15,43"
23,3.9545420674002,"2,27,38",3.6473901659763617,"2,38",0.0856026631759744,"0,1,2,7,8,9,11,16,17,25,27,28,30,36,38,39,41,42,47",0.0042109679272472,"2,38",0.0066476969518032,"2,38"
24,3.6545124082690967,"8,25,27",3.4215400415852817,"25,27",0.1776381080355613,"6,15,22,23,25,26,27,28,32,36,37,42,44",0.0214225910356148,"25,27",0.0247821181388798,"25,27"
25,3.1535830839868804,"28,34",4.565277607338053,"28,34,41",0.1004031467877743,"0,1,3,7,10,11,24,28,29,32,33,34,37,39,41,42,43,46",0.0121774304097663,"28,34",0.0124875861439532,"28,34"
26,2.4432876090198135,"42,43",5.086348635442832,"42,43,46",0.0718360008957901,"2,5,8,10,13,21,36,40,42,43,45",0.0124479924020634,"42,43",0.0092136701585897,"42,43"
27,3.019748640096162,"6,34",4.222142112330425,"6,34",0.1150033725934348,"6,20,34,46",0.0296584861186953,"6,34",0.0302183004876931,"6,34"
28,4.836339792713107,"9,16,21,38,46",3.385009328693134,"16,21",0.1305702471625535,"4,5,6,8,10,11,12,13,14,15,16,17,18,21,22,24,25,26,27,28,29,30,32,35,42,44,45,49",0.0145819665437487,"16,21",0.0157068888396089,"16,21"
29,3.235204938061848,"5,19",3.247955141840799,"5,19",0.1258845080968327,"2,5,8,11,16,19,20,24,26,28,29,30,31,36,42,49",0.030087609661579,"5,19",0.0317160116663357,"5,19"
30,3.415844650054856,"14,38",3.705602202691449,"14,38",0.0865591494231466,"10,11,14,18,26,31,35,38,45",0.0023522266820851,"14,38",0.0068206383805196,"14,38"
31,2.31827658733206,"6,44",3.0605526044840974,"6,44",0.0947682223346055,"6,9,14,15,18,21,26,39,44,47,49",0.024639234709309,"6,44",0.0194254394723179,"6,44"
32,2.273716968696742,"4,17",3.0045686439384665,"4,17",0.0853528616377427,"1,4,5,6,7,10,16,17,22,23,25,30,31,32,34,37,39,42,43,44,45,48",0.0066249497988078,"4,17",0.0077529515630429,"4,17"
33,3.1841253163354266,"0,45",3.560187728434121,"0,45",0.0833862095173723,"0,2,3,6,10,13,14,15,16,17,18,20,21,22,33,35,36,37,40,42,45,46",0.0104136397203225,"0,45",0.0054588830850226,"0,45"
34,3.2719176056626624,"13,18",3.1628452642147145,"13,18",0.0749196441008998,"0,5,6,13,14,16,18,22,23,25,26,35,36,38,39,41,43,45,46,47",0.0119932264321276,"13,18",0.0103692688309828,"13,18"
35,3.285530746322195,"35,41",4.601938042596048,"35,41",0.0795778612516059,"4,5,7,11,12,14,18,19,20,24,26,27,28,31,32,35,37,39,40,41,42,43,45,46,47,48,49",0.0332579362835213,"35,41",0.0236352164251503,"35,41"
36,4.295117379147582,"10,16,24,30",3.861397311183607,"24,30",0.1469150926621595,"0,2,4,5,7,8,10,11,12,19,20,22,24,25,26,28,29,30,34,35,37,39,42,43,44,45,46",0.0173477775848031,"24,30",0.0176748960988201,"24,30"
