simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,LASSO_QUT_mse,LASSO_QUT_features,HarderLASSO_QUT_mse,HarderLASSO_QUT_features
0,151.66893049326526,"6,7,24,33,35,36,44,47",149.81369177526173,"7,33,35,36,44,47",45.84470608410871,"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,17,18,19,21,22,23,24,26,27,28,29,30,32,33,34,35,36,37,38,41,42,43,44,45,46,47,48,49",296.24345076386106,,10.755003938568484,"6,7,24,33,35,36,44,47"
1,176.6766505279118,"3,4,7,17,21,30,35,36,37,41,44",247.46830333380416,"17,21,35,36,41",39.94471305315248,"0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,40,41,43,44,45,46,47,48,49",296.2458271284754,,0.1052128401895337,"4,7,17,21,35,36,37,41"
2,143.04673868128086,"3,6,22,24,31,41,43,45",143.14103684884788,"6,22,24,31,41,43,45",52.58573839682951,"0,2,3,4,6,7,8,9,10,11,12,13,14,15,18,19,21,22,23,24,25,28,29,30,31,35,37,38,39,40,41,42,43,45,46,48",297.9685730440977,,0.1553633777481238,"3,6,22,24,31,41,43,45"
3,157.12422292717693,"16,19,20,21,24,25,26,27,37,39",107.3013444520134,"20,21,24,25,26,27,37,39",53.82447585595191,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,32,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49",291.6335177524522,,0.238128583405309,"20,21,24,25,26,27,37,39"
4,144.82757440151497,"8,13,17,18,24,31,36,42",135.30770585691684,"13,17,18,24,31,36,42",47.9006989104105,"0,1,6,7,8,9,10,12,13,14,16,17,18,19,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,46,48,49",286.1436153052187,,0.1946411538627424,"8,13,17,18,24,31,36,42"
5,164.37176872792992,"2,3,7,9,14,15,17,21,46",211.78944283070524,"7,9,14,17,21,46",61.74168544270565,"0,1,2,3,6,7,8,9,13,14,15,16,17,18,20,21,26,27,28,29,33,34,35,36,38,39,40,41,42,43,44,45,46,48,49",298.22812879463646,,0.1118780944436516,"2,3,7,9,14,15,17,21"
6,152.59990302531952,"7,12,17,19,40,41,45,49",119.94961072176804,"7,12,17,19,40,41,45,49",58.158306613152,"0,1,2,3,5,6,7,8,10,11,12,14,15,17,18,19,21,22,23,24,26,27,28,29,30,32,35,36,37,38,39,40,41,42,43,44,45,49",297.62382601481215,,0.12620910762659,"7,12,17,19,40,41,45,49"
7,152.7582345693722,"1,5,14,20,29,31,32,42",148.01575101297846,"5,14,20,29,31,32,42",48.55362500755352,"1,2,3,4,5,6,7,10,12,13,14,15,17,19,20,21,22,24,25,26,27,28,29,30,31,32,34,35,37,38,39,40,41,42,43,46,47,49",291.70482688077317,,0.1819196286000898,"1,5,14,20,29,31,32,42"
8,138.58822446696132,"0,2,5,19,20,41,44,46",194.476409778472,"19,20,41,44,46",50.739559733774485,"0,1,2,4,5,7,8,9,12,13,14,15,17,19,20,22,23,25,28,29,30,34,35,36,37,38,40,41,44,45,46",293.74299948171455,,0.1419008313822293,"0,2,5,19,20,41,44,46"
9,148.08026213375473,"6,12,22,32,34,38,46,48",144.3083487244704,"12,22,32,34,38,46,48",54.31893343672197,"2,3,4,5,6,7,8,9,10,12,13,14,15,17,18,19,20,21,22,23,24,25,27,29,30,32,33,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49",279.4696945132055,,4.880276878421102,"6,12,22,32,34,38,46,48"
10,149.05169928973086,"1,5,7,8,18,26,43,44",135.08870165443665,"5,7,8,18,26,43,44",56.03291770968289,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",296.14794018943513,,0.2104570135915126,"1,5,7,8,18,26,43,44"
11,154.46993561400393,"7,10,11,12,16,20,34,37,42",187.93430745498205,"10,11,16,20,34,42",52.020244106209525,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,22,23,24,25,26,28,29,30,31,32,34,35,37,38,39,40,42,43,44,47,48,49",286.032019000186,,3.171190064398304,"7,10,11,12,16,20,34,42"
12,165.01960036253678,"1,4,8,23,26,31,34,35,42,44",139.2968053087461,"8,23,31,34,35,42,44",53.74418750771713,"2,3,4,5,6,8,9,10,11,13,15,17,19,20,21,22,23,25,26,27,28,31,32,33,34,35,37,39,40,42,43,44,45,46,47,48,49",284.8769510262827,,0.212511883885365,"4,8,23,31,34,35,42,44"
13,162.84588658526386,"9,17,20,22,23,33,40,43,45",192.6529539878881,"22,23,33,40,43,45",49.852754630920565,"0,1,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",302.190792080318,,0.2278453508578466,"9,20,22,23,33,40,43,45"
14,156.99258179086354,"3,12,22,23,28,36,40,43",152.95469209810074,"3,12,23,28,36,40,43",45.65731219860013,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,43,44,46,47,48,49",312.4495490644663,,0.1446572440060113,"3,12,22,23,28,36,40,43"
15,170.57221656540986,"1,4,10,11,24,25,39,46,47",205.5978811600477,"24,25,39,46,47",54.488214269689344,"0,1,4,5,6,7,8,9,10,11,12,13,15,16,17,18,21,22,23,24,25,26,27,28,30,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",303.26946156762097,,0.1890875261967065,"1,4,11,24,25,39,46,47"
16,169.1732731967147,"2,3,14,26,38,39,42,44,47",183.0914314376674,"14,26,38,39,44,47",52.474459385244906,"0,1,2,3,4,5,6,9,11,14,15,17,20,21,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49",294.38419030736304,,0.15828414044556,"2,3,14,26,38,39,44,47"
17,150.80054570773626,"4,9,10,15,20,26,30,39,44",143.71323562505393,"4,15,20,26,30,44",53.14431798708317,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",281.32608496982664,,0.175478373052072,"4,10,15,20,26,30,39,44"
18,179.14643066658965,"5,10,13,21,24,27,28,29,30,31,41",133.72817447883077,"5,13,21,24,27,30,31,34,41",61.69670832889622,"2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,47,48,49",300.49081531594663,,0.1683428468727027,"5,13,21,24,27,30,31,41"
19,138.81627157601037,"24,29,30,36,38,44,45,49",108.09870904810651,"24,29,30,36,38,44,45,49",55.01381010443941,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,18,19,20,21,22,23,24,26,27,28,29,30,31,32,34,36,37,38,40,41,42,43,44,45,46,47,48,49",291.6036093301833,,0.2259783456839789,"24,29,30,36,38,44,45,49"
