simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,LASSO_QUT_mse,LASSO_QUT_features,HarderLASSO_QUT_mse,HarderLASSO_QUT_features
16,416.5999269022936,"4,6,8,9,10,12,18,22,23,29,37,38,43,45,46",501.9097004465128,,225.41276739498943,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,22,23,24,25,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",500.0146166793686,,23.97953327420672,"4,6,8,9,12,16,17,18,22,23,29,37,38,44,45"
17,335.27296149225214,"4,9,10,15,18,19,21,23,24,27,32,35",459.263279055275,"19,21,27,32,35",147.6287678989176,"0,1,2,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,31,32,33,34,35,37,38,39,40,41,42,43,44,45,47,48,49",475.2456925631501,,115.22406901857644,"0,4,9,10,14,15,19,21,23,27,31,32,34,35"
18,364.5177185334429,"7,11,16,21,30,34,36,39,42,46,48,49",529.5628809846423,"30,46,48,49",226.93802343123625,"1,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,33,34,36,37,38,39,40,42,43,44,45,46,48,49",502.9766408517121,,95.9798603186751,"7,8,11,16,21,23,24,30,34,36,39,42,49"
19,349.8142327069914,"11,12,16,17,18,21,24,33,35,39,46,47",462.77631538002686,"17,33,35,46,47",198.32210111497028,"2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",513.2094108147401,,184.28359815780303,"12,13,16,17,18,21,33,35,39,46,47"
20,351.7894129477181,"8,12,14,15,21,22,27,28,34,35,36,37,38,40",532.3500453127778,"22,27,36,38,40",155.75804425756257,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,25,26,27,28,31,32,33,34,35,36,37,38,39,40,41,42,43,46,47,49",506.8625984040567,,112.15692125759966,"8,12,14,15,21,22,27,28,31,35,36,38,40"
21,378.36230398365535,"7,9,13,19,26,28,34,35,36,39,40,42",471.99883682899446,"19,26,36,39,40,42",190.29169012023755,"0,1,2,3,4,6,7,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,49",531.6619424459728,,120.96888208336084,"7,9,13,17,19,26,28,34,35,36,39,42"
22,351.2721086218653,"1,6,10,12,15,17,18,22,30,34,36,40,42",577.4854658966507,"40,42",203.68950961988085,"0,1,3,4,5,6,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,29,30,31,33,34,36,37,38,39,40,41,42,45,46,47,48,49",488.312375862808,,101.44635149214535,"1,6,10,15,17,18,22,23,33,34,40,42"
23,394.71622732971525,"5,6,7,17,23,30,31,35,36,37,45,48,49",485.27536479861993,"17,30,36,37,49",268.81405985629567,"0,1,2,3,4,5,6,7,9,11,13,14,15,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49",529.1381595260426,,7.670059981590022,"4,5,6,7,17,19,23,26,30,35,36,37,38,45,48,49"
24,329.85750363372284,"6,10,11,25,27,29,32,33,34,39,43,47",467.4261077997805,"25,34,39,43,47",135.10011221840438,"0,1,2,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,41,42,43,44,45,46,47,48,49",477.9182753285376,,100.75369553902333,"4,6,10,11,22,23,27,29,32,33,39,43,45,47"
25,346.82006186573847,"3,9,10,11,14,18,21,26,29,33,46,49",449.8037827689544,"10,14,29,33,46,49",182.28185925408988,"0,1,3,4,5,6,9,10,11,14,16,18,19,20,21,23,24,25,26,28,29,30,32,33,34,37,38,39,40,45,46,49",500.88552477664814,,19.855852388539677,"3,9,10,11,14,18,21,25,26,28,29,30,33,46,49"
26,376.9099112071765,"3,4,10,11,12,16,18,19,23,39,42,44",467.55004446098593,"11,12,18,19,23,38,39,42",209.39026381948855,"0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,29,32,34,35,36,37,38,39,41,42,44,45,46,47,48",510.4217975354255,,2.866091444974835,"3,4,7,8,10,11,12,16,18,19,23,38,42,44"
27,352.87178791890346,"7,9,10,11,15,16,17,18,21,24,27,41,43",602.5359904469348,"21,24,43",220.34449871523464,"0,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,32,33,34,36,37,38,39,40,41,42,43,44,45,46",515.9833747317848,,106.33540988060572,"7,9,10,11,15,16,17,18,21,24,40,43"
28,355.00928031501604,"6,10,11,14,16,17,19,20,23,35,39,40,42,43,46",572.807163479775,"17,20,39,43",149.544463039591,"1,5,6,8,9,10,11,13,14,16,17,19,20,21,23,24,30,31,35,38,39,40,42,43,44,46,49",509.76571809641337,,9.787893034172209,"6,10,11,14,16,17,19,20,23,39,40,42,43,46,48"
29,345.48490857689745,"7,9,17,19,25,26,27,31,37,38,41,42,45",559.0182712987428,31,174.3023107785453,"0,1,2,3,4,6,7,8,9,10,11,12,13,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49",474.66298376501896,,90.8886885959772,"1,7,9,17,19,25,26,27,31,37,41,42,47"
30,371.3955287575949,"1,3,5,7,14,15,20,37,38,40,43,46,47",467.6566600833875,"37,40,43,46,47",236.8102509213365,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",501.4641050889089,,11.845809190490856,"1,3,5,7,9,14,15,16,20,37,38,40,43,46,47"
31,333.24655551532004,"5,11,12,13,17,18,22,23,30,34,39,44,45",447.68802945470424,"18,23,30,34,44,45",138.6184322615493,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,29,30,31,33,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49",473.8897247545168,,156.92236084434273,"1,5,11,12,13,17,18,22,23,30,34,37,39,42,44,45"
32,403.39811005600154,"10,11,14,16,24,28,32,38,39,40,41,47",531.233858627611,"40,47",536.7254296344407,"0,1,2,3,6,7,9,10,11,12,13,14,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37,38,39,40,41,43,44,46,47,49",531.3898495315568,,127.41500491684208,"10,11,14,17,22,24,28,38,39,40,41,47,49"
33,322.0316078828824,"0,3,7,9,13,15,21,22,24,30,38,39,40,49",546.7294765591374,"30,38,49",192.3193438326058,"0,3,4,7,8,9,12,13,14,15,18,20,21,22,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,47,48,49",498.64471774964665,,31.379644245219257,"0,3,7,9,13,14,15,21,22,24,30,38,39,40,46,49"
34,368.81995676791234,"3,7,9,10,13,15,22,23,25,27,30,31,34,39,46",502.4527976733548,"23,31,34,39",218.03351201328135,"0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,39,40,41,42,43,44,45,46,47,49",485.9152224500548,,140.42771476146427,"3,7,9,10,13,15,22,23,25,27,30,31,34,39,46"
35,367.6234052258904,"3,5,6,12,13,16,18,19,21,31,38,44,46",457.73361220981786,"21,31,38,44,46",394.7684583348455,"0,1,3,4,5,6,8,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,38,39,40,41,42,43,44,45,46,48,49",502.08940866086425,,170.30667531594924,"5,13,18,19,21,31,38,39,44,46"
