simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,LASSO_QUT_mse,LASSO_QUT_features,HarderLASSO_QUT_mse,HarderLASSO_QUT_features
0,99.40018563642916,"6,8,22,25,27,30",69.22615622645104,"6,8,22,25,27,30",10.986498312617671,"4,6,7,8,10,12,13,17,18,20,22,25,27,28,30,33,36,40,43,44",234.100132323512,,0.0488891445944857,"6,8,22,25,27,30"
1,109.26428392969828,"3,13,14,23,27,28,38",74.30807127931094,"3,14,23,27,28,38",10.137738343688136,"0,3,5,8,9,13,14,15,19,23,27,28,33,38,42,45,47",224.45167622610816,,0.0727205246637152,"3,14,23,27,28,38"
2,84.84209101370064,"3,7,13,26,31,33",58.50452324655025,"3,7,13,26,31,33",12.674665424848683,"0,2,3,4,5,6,7,8,9,10,13,16,18,20,21,22,23,24,26,27,29,30,31,32,33,34,36,37,38,41,42,43,44,46,47,48,49",180.73476787870408,"3,33",0.0679192927508546,"3,7,13,26,31,33"
3,90.48421936945827,"4,10,12,27,32,41",63.26363763427362,"4,10,12,27,32,41",13.964384702062468,"4,7,10,12,15,16,19,20,21,22,23,24,26,27,31,32,33,34,36,41,42,45,48,49",219.4266326158383,,0.0617600064257815,"4,10,12,27,32,41"
4,85.4029129761637,"0,10,23,35,42,48",65.86786211616655,"0,10,23,35,42,48",8.83260509080057,"0,1,3,6,7,10,11,12,13,21,22,23,25,26,27,30,31,35,42,45,46,48",191.4304776660282,"0,23",0.0752887793211673,"0,10,23,35,42,48"
5,91.59356654152884,"11,14,22,31,38,47",63.69342668504213,"11,14,22,31,38,47",4.9575268770271235,"2,7,9,11,13,14,15,20,22,24,25,26,31,35,38,42,45,47",214.86842912411777,,0.0894844090680324,"11,14,22,31,38,47"
6,93.9527333260425,"6,21,24,28,41,47",62.786392307716085,"6,21,24,28,41,47",10.341937296098214,"0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,27,28,30,31,33,35,37,38,41,43,44,45,46,47",206.9582276937333,"24,47",0.0935579488016282,"6,21,24,28,41,47"
7,78.79862933684277,"0,11,20,30,33,39",105.19701783493664,"11,20,30,33,39",7.519170580549065,"0,9,11,14,17,20,24,30,33,34,35,36,39",207.81200539068985,,0.0672797154313358,"0,11,20,30,33,39"
8,83.58734855107902,"13,25,31,34,36,49",63.84637701333492,"13,25,31,34,36,49",11.370185116576772,"1,3,4,5,6,11,13,14,15,19,20,21,22,24,25,28,30,31,32,34,35,36,38,40,42,44,45,47,48,49",203.4007812052687,,0.0999036558195191,"13,25,31,34,36,49"
9,81.60946950932036,"12,14,20,22,25,39",62.73226444015616,"12,14,20,22,25,39",10.080661001409588,"1,3,7,8,9,10,12,13,14,15,16,17,20,21,22,23,24,25,28,29,30,32,33,36,37,38,39,40,42,44,45,47,49",167.3024342453695,"20,22,39",0.0722452177525725,"12,14,20,22,25,39"
10,88.24106037893371,"14,16,22,30,43,46,47,49",58.536038516127626,"14,16,22,43,46,47",8.116261207004941,"1,3,4,6,14,16,17,18,22,23,24,28,31,35,36,39,43,45,46,47,48",218.90188084134985,,0.0547988688986364,"14,16,22,43,46,47"
11,104.28272466616772,"7,13,16,19,21,27,28,32,42",62.10801209876027,"7,13,16,21,27,28",4.079611479838067,"2,7,10,13,15,16,19,21,27,28,31,32,35,37,38,39,42",194.1009020308883,"7,16",0.1171068726382811,"7,13,16,21,27,28"
12,92.37737344203472,"0,8,15,18,38,39,44",108.9684835707764,"15,18,38,39,44",5.155227860629628,"0,1,2,3,9,10,13,15,18,21,22,26,30,33,38,39,44,47,49",220.8152800609234,,0.0959344850586682,"0,15,18,38,39,44"
13,87.88394627381786,"4,6,7,31,32,45",57.70765446504422,"4,6,7,31,32,45",2.7215601129695153,"2,3,4,6,7,8,9,21,25,31,32,42,45",227.2430191797144,,0.0537769052628375,"4,6,7,31,32,45"
