simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,LASSO_QUT_mse,LASSO_QUT_features,HarderLASSO_QUT_mse,HarderLASSO_QUT_features
0,612.8942096572661,"2,6,8,10,14,17,24,30,43",784.4637841307165,"10,24,30,43",324.2230438028731,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,36,38,39,40,42,43,44,45,46,47,48,49",712.427787365187,,520.8306023146604,"6,8,10,14,17,19,30,43,47,48"
1,579.3521485061901,"0,2,3,5,6,8,10,25,30,31,34,39,45",720.8615099660581,,566.9813048742817,"0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",724.927886827558,,499.7090412467265,"2,3,5,9,10,12,14,25,30,31,32,34,36,41,45"
2,629.160499351346,"2,3,15,20,30,32,37,44,48",750.9130046308449,"30,32,37,44,47,48",486.14581385331695,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49",727.1787411069894,,481.8532146077292,"3,4,18,23,24,30,32,33,36,37,43,44,47"
3,572.16496935346,"0,1,4,6,7,8,9,13,16,18,24,25,26,30,36",849.125221656813,"26,36",499.4374609623464,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",752.658165973094,,593.0515501785678,"0,4,7,13,16,19,24,25,26,36,45,48"
4,563.9868507241821,"7,8,12,13,15,19,21,27,34,35,45",709.8862410823367,,416.8833580125121,"0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",706.8720289240042,,477.7696888940345,"0,1,8,12,15,21,23,27,34,35,37,48,49"
5,671.6166662583539,"1,3,8,20,24,33,34,37,49",713.9222428514456,,484.7543464663865,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,49",715.7712990395514,,544.3671571052272,"7,10,12,23,24,26,30,32,34,46,49"
6,626.6614899019071,"2,6,8,10,18,19,25,27,35,36,39",809.2004027278258,39,588.0012597297998,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,41,42,43,45,46,47,49",720.4031223655016,,469.0036406047905,"2,7,8,11,15,18,19,21,25,27,32,35,36,38,39,42,43"
7,648.0033608800554,"5,14,16,17,19,20,31,37,39,43,46,48",900.3113509508713,"37,48",705.9531118492463,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",715.6945296286135,,425.5170168664069,"5,16,17,19,20,22,24,27,31,33,37,43,44,48"
8,570.0824504367191,"0,4,7,13,15,24,26,29,32,35,39,46,47",832.4129628668397,39,462.011837958248,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",717.4285953068675,,511.88143560778747,"4,7,8,13,18,24,26,30,32,35,39,43,46,47"
9,625.8813001892338,"11,13,17,19,27,30,32,34,39,41",776.4927364595109,"27,32,39",423.75813622891866,"0,1,2,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",739.6035958962322,,476.8097511259562,"13,16,19,25,27,29,30,32,35,39,41"
