simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,LASSO_QUT_mse,LASSO_QUT_features,HarderLASSO_QUT_mse,HarderLASSO_QUT_features
0,484.4530291612934,"1,6,19,23,25,27,29,31,32,35,40,44,48",695.68065349835,44,220.448347803245,"0,1,3,4,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,39,40,41,42,43,44,46,47,48,49",620.5086976211618,,257.2286237936697,"1,3,18,19,25,27,29,31,35,39,40,44,48,49"
1,462.39228644858576,"1,18,20,30,31,32,33,38,39,41",684.8661727277474,"31,38",322.7372801961079,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",583.0437174880228,,232.8394306554725,"1,13,14,20,29,30,31,32,33,37,38,39,41,48"
2,425.4494477917965,"1,4,6,12,15,25,26,32,34,38,42,44,48",626.174518130725,"15,44,48",186.30049864875835,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49",582.1883022151696,,132.62032838029964,"1,4,6,12,15,18,25,26,32,34,38,40,44,46,47,48"
3,393.4953321126326,"2,8,11,12,14,16,17,18,26,29,34,35,41,45",629.939480317922,"26,41,45",189.9613752942028,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",581.7022151104934,,24.604163723543746,"2,8,11,12,14,15,16,17,18,26,29,33,34,35,41,45,49"
4,405.8304855601155,"2,8,11,14,15,17,21,24,25,30,31,32,35,37",573.674251819927,"25,32,37",233.34690107819895,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,48,49",532.2630700131737,,187.9634446768713,"2,5,11,14,15,17,21,24,25,30,32,37"
5,442.2696797975588,"4,10,20,22,23,24,25,27,30,34,35,40,43",686.462557225999,30,327.26982945179367,"0,1,2,3,4,5,6,7,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,37,38,39,40,42,43,44,46,47,48,49",607.5224970320468,,195.9506935879656,"4,5,7,10,20,23,24,27,30,35,40,43"
6,509.8758951788107,"4,6,13,20,25,26,27,40,41,44,48",613.3984818926936,,260.6714665392142,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37,38,40,41,43,44,45,46,47,48,49",615.6622091345552,,256.25751321637745,"4,6,13,15,22,23,25,26,27,30,35,40,41,45"
7,415.5117563482839,"3,6,10,13,15,25,26,27,29,31,36,47",592.7694592489203,"25,29,31,47",438.559767596338,"0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",572.7356294703907,,151.91238046992927,"3,6,10,13,15,25,26,27,29,31,36,43,44,45,47"
8,443.4113394143225,"3,4,12,13,16,19,33,35,38,41,45,47,48",657.7027303695129,"12,19,38,47,48",550.1185294903728,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,27,29,30,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49",543.1032044011199,,339.6427028249881,"3,4,13,21,29,35,38,41,45"
9,484.3228031315807,"0,5,8,18,19,20,24,30,33,34,42,48",697.6832262076496,30,257.63994328269104,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,46,47,48",595.6941194659324,,362.9397973020971,"0,8,18,19,20,24,30,33,34,40,48"
10,420.4746298195411,"0,2,6,7,8,12,17,24,29,31,33,37",620.7291090126718,"24,29,37",320.4775242837394,"0,1,2,3,4,6,7,8,9,10,11,12,14,17,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,39,40,43,44,45,46,47,48,49",565.1965330223476,,112.87777923554764,"0,4,6,7,8,12,17,20,24,29,31,33,36,37"
11,416.4996871411746,"5,8,12,15,17,21,31,33,38,41,44,46,47,48,49",664.6612108683418,"41,44,46",241.92075913772493,"1,2,3,4,5,6,7,8,9,10,12,13,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49",593.0310549407499,,46.105107198641406,"5,8,12,15,16,17,18,21,31,33,38,41,44,46,47,48,49"
12,430.62187351732024,"6,8,12,13,18,23,35,36,40,41,48",644.6974545493342,"36,41,48",242.13169371413707,"0,1,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49",585.9355238283382,,199.3010490417824,"6,8,9,12,13,14,18,23,25,32,35,36,40,41,48"
13,437.7250083181175,"0,5,7,8,12,16,19,22,28,29,31,32,35,43,45",705.8203329415005,"31,43,44",212.67495061268352,"0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",605.3318437809108,,178.20756915491674,"0,5,7,8,12,16,19,22,28,29,31,32,38,43,45"
14,439.02345351188177,"8,20,22,23,24,30,37,39,42,44,49",692.2353039696762,"30,37,42",208.2326791837273,"0,1,2,3,5,6,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,28,30,31,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49",582.8203084464733,,202.35259918182908,"0,12,15,20,22,23,24,30,33,37,42,49"
15,437.7512965594016,"1,2,4,7,8,16,19,22,24,35,39,48",670.6329562067608,"22,39,48",201.07625186540832,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,48,49",557.2984091292047,,341.4187865504208,"1,4,15,19,22,24,35,39,40"
16,494.6004396104767,"1,2,15,16,23,30,31,32,40,41,43,48,49",810.4560044472655,"31,32",275.914973557443,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,43,44,45,46,48,49",669.3530171477668,,220.62251592144617,"1,5,6,16,20,23,26,30,31,32,40,43,48"
17,421.9840393244738,"2,4,7,8,20,21,22,29,37,40,41,43,45",715.4812409134281,"40,41,45",261.33885481933237,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,28,29,32,33,34,36,37,38,40,41,42,43,45,46,47,48,49",589.2438060519935,,187.83434794212573,"2,4,8,11,20,21,22,29,33,37,40,41,43,45"
18,508.1631774068627,"2,10,11,19,23,25,29,30,33,34,38,44",696.2793796050152,"34,44",486.4310959235788,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48",610.654989619602,,221.3515650551479,"2,9,11,16,19,22,23,25,26,29,30,34,41"
19,452.4840340423651,"4,8,13,15,20,26,35,39,40,46,48",623.0392182643564,"13,15,20,35,48",180.8783172631084,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,24,25,26,27,28,29,30,31,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49",576.9083128147366,,212.8693540326696,"4,8,13,15,16,20,25,26,35,38,40,47,48"
20,449.51047286321466,"7,8,11,13,14,15,24,29,31,37,44,49",749.3550095609539,"37,44",311.13442630753957,"1,3,6,7,8,11,12,13,14,15,16,17,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,43,44,46,47,48,49",594.8350417370149,,280.04819917429273,"11,15,16,20,23,24,29,31,32,37,44"
21,470.0547381533785,"0,7,8,9,22,26,27,31,32,38,43,44",591.8146210878848,,356.5163441955297,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49",591.021763378783,,222.44075011015312,"0,7,8,9,18,27,31,32,35,36,38,44,49"
22,411.16508900346537,"0,1,5,12,13,17,18,33,34,38,40,44,45,49",628.154675490273,"38,40,45",438.46860666914296,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,24,25,26,27,28,29,30,31,33,34,35,36,37,38,40,41,42,44,45,46,47,48,49",563.919016564024,,281.17468767746993,"5,11,12,17,33,34,38,40,44,45,49"
