simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,LASSO_QUT_mse,LASSO_QUT_features,HarderLASSO_QUT_mse,HarderLASSO_QUT_features
0,333.07286736048917,"1,3,9,10,11,17,18,32,33,37,41",488.9845244353338,"32,33,37,39",147.60493483498777,"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,46,47,48,49",471.72904860414553,,6.825183475506773,"1,3,9,10,11,17,18,32,33,37,39,41"
1,250.45558660389415,"1,3,12,17,19,25,26,29,30,31,38,40,42",346.82550126178955,"25,29,30,31,38,40",114.03583316971276,"0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,19,20,21,23,25,26,28,29,30,31,34,35,37,38,39,40,41,42,45,46,47,48,49",384.07958741352337,,8.412351915875766,"1,3,17,19,25,26,29,30,31,38,40,42"
2,280.7563835617977,"2,3,7,12,14,17,18,20,23,25,37,49",451.5863999389022,"23,25,37,49",107.126542317185,"1,2,3,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,48,49",439.5147901039092,,97.0683620608548,"2,3,7,12,14,17,23,25,37,49"
3,263.6092263756484,"5,7,8,9,13,14,15,23,27,36,42,45",338.4771451213766,"9,13,15,23,36,42,45",99.04311727353706,"1,2,5,7,8,9,11,12,13,14,15,17,19,21,22,23,27,30,32,36,37,39,42,43,45,46",418.52204286057,,12.741616905785015,"5,7,8,9,13,14,15,23,27,36,42,45"
4,290.9684140868685,"2,8,16,20,21,22,24,27,31,35,38,47",454.54216913941366,"21,22,31,47",127.73360297192464,"0,1,2,4,7,8,9,10,12,15,16,17,18,20,21,22,23,24,25,26,27,30,31,33,34,35,37,38,40,41,42,43,44,46,47,48,49",449.1690896175033,,7.745608823490517,"2,8,16,20,21,22,24,27,31,35,38,47"
5,299.1858635276944,"6,8,10,11,12,17,18,19,20,25,27,35,39,46",368.66403233055104,"18,25,27,35,39,46",147.14104969906086,"3,4,6,8,10,11,13,14,15,16,17,18,19,20,21,24,25,26,27,29,30,31,32,34,39,41,44,46",422.29884495283454,,7.1456040609426585,"6,8,10,11,17,18,19,20,25,27,39,46"
6,287.75989622913164,"2,3,4,13,17,22,30,37,43,45",428.2560533061488,"17,30,37,45",111.81534790212504,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,19,20,22,25,26,27,29,30,31,32,35,37,38,39,42,43,44,45,46,48",428.1578188579903,,19.68503017454207,"2,3,4,12,13,17,22,26,30,37,43,45,48"
7,293.65374103073424,"6,9,14,15,17,24,25,27,31,35,37,40",448.7229429957056,"27,31,37,40",113.570227427412,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",461.93539685015674,,7.060017652930144,"6,9,14,15,17,24,25,27,31,35,37,40"
8,296.68181090884974,"1,6,11,14,19,20,26,30,39,40,46,48",403.5435837238059,"26,30,39,40,46",111.23393431428174,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49",449.79191836197265,,4.589115668654535,"1,6,11,14,19,20,26,30,39,40,46,48"
9,279.82095685164825,"16,18,21,24,25,29,31,40,44,45,48",472.74618753861705,"29,40,45,48",132.20150175344136,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48",429.7002036596998,,2.6744445662977676,"9,16,18,21,24,25,29,31,40,44,45,48"
10,328.41349877156625,"0,2,3,8,11,17,21,23,32,37,47",459.125287608741,"23,32,37",173.35127259071632,"0,1,2,3,4,8,9,10,11,12,13,14,15,17,18,19,20,21,23,24,28,31,32,33,34,35,36,37,38,41,47,48",454.0112663284549,,2.8010449622668228,"0,2,8,11,17,20,21,23,32,36,37,47"
11,292.4287194356194,"3,6,7,10,15,19,21,22,30,33,35,45,48",433.24252673431744,"21,22,35,45",129.76837856494006,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",444.7329263556222,,93.47996624542554,"3,6,7,10,15,19,21,22,33,35,45"
12,286.59250660939455,"0,3,6,8,10,11,12,14,25,26,30,32",434.1432350042879,"25,30,32",121.51854721538024,"0,1,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49",412.0609609926766,,9.602213181224798,"0,3,6,8,10,11,12,14,25,26,30,32"
13,281.73271050155967,"7,15,18,22,25,27,30,45,47",356.9334850608448,"15,25,27,30,45,47",125.41510438294772,"0,2,3,4,5,7,9,10,13,15,17,18,19,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,39,41,45,47,48,49",423.15889977158366,,7.503930931960822,"7,15,18,22,25,27,28,30,35,38,45,47"
