simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,LASSO_QUT_mse,LASSO_QUT_features,HarderLASSO_QUT_mse,HarderLASSO_QUT_features
0,256.1105415711831,"5,8,11,23,27,32,36,38,39,41,46",305.430202892417,"27,32,38,39,41,46",106.0384672295248,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,25,26,27,28,29,30,32,34,35,36,38,39,40,41,42,43,46,48,49",389.82938108984706,,2.813674005441286,"5,8,11,23,27,32,38,39,41,46"
1,210.39715478592865,"3,10,13,18,30,35,36,38,41,43",282.0646679001692,"30,35,38,41,43",88.9912563130672,"0,2,3,5,6,7,8,9,10,13,14,15,16,18,20,21,22,23,24,25,26,28,30,31,34,35,36,37,38,39,40,41,42,43,44,46,48,49",372.99807757061245,,3.2743738166077883,"3,10,13,18,30,35,36,38,41,43"
2,215.9952165565024,"2,4,5,10,12,26,33,44,47,48",251.0075327291626,"5,12,26,44,47,48",93.9005622140476,"0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49",362.5240093868447,,9.056147784001697,"2,4,5,10,12,26,33,44,47,48"
3,212.71096109295328,"1,11,19,24,28,29,30,45,47,48",327.5188433906069,"28,29,30,47",85.03046015114751,"0,1,3,4,5,6,8,9,11,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,39,41,43,44,45,46,47,48,49",337.805386678834,,7.946078199575161,"1,11,19,24,28,29,30,45,47,48"
4,196.42730942603865,"0,1,2,3,11,12,16,19,26,29",324.6481029753772,"12,19,26,29",85.23306884612084,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49",327.25487060447085,,8.07427084089184,"0,1,2,3,11,12,16,19,26,29"
5,224.97453676168237,"2,3,11,17,18,31,42,44,45,46,49",320.90586774562183,"3,17,31,44,45,46",85.45275957004422,"1,2,3,4,5,9,10,11,13,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",345.7107949056359,,0.2826094050703367,"2,3,11,17,18,31,42,45,46,49"
6,202.7892460389944,"1,2,3,8,16,21,23,24,33,35",268.9499578097739,"21,23,24,33,35",83.69332748856783,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,38,39,40,41,42,45,46,47,48,49",344.9169245691444,,8.678958225774844,"1,2,3,6,8,16,21,23,24,33,35"
7,219.08945113344416,"9,11,12,15,19,24,25,33,35,37,39",283.50960825555404,"19,24,33,35,37,39",86.04885036907751,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",349.1223956935252,,0.2778595655280644,"9,11,12,15,19,24,33,35,37,39"
8,198.85906176387644,"0,16,19,20,24,30,37,42,44,46",282.65291076342993,"19,20,30,37,44,46",89.09993348675252,"0,2,5,6,8,9,11,12,14,15,16,17,19,20,23,24,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48",354.37505255838744,,3.369946544657812,"0,16,19,20,24,30,37,42,44,46"
9,216.69033291076545,"8,16,18,22,24,27,34,40,42,45,48",194.02653976342972,"8,16,18,22,24,27,34,40,45",83.89052535213536,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,47,48,49",368.0793738952312,,3.1316337038480753,"8,16,18,22,24,27,34,40,42,45"
