simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
51,0.598598141546573,"0,3,4,5,10,15,16",0.5989916017426264,"0,3,4,5,10,15,16",0.5895215183034913,"0,4,10,15",0.598575764663385,"0,3,4,5,10,15,16",0.5962166018358634,"15,0,10,16,5,4,3,1,8,6,18,21,9",0.5987015014355836,"15,0,10,16,5,4,3",0.597100222330318,"0,1,2,3,4,5,6,8,9,10,11,12,13,15,16,17,18,20,21,24",0.604948914108465,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",,
52,0.5964472889135513,"0,4,5,10,15,16",0.5968658669487422,"0,4,5,10,15,16",0.5899382537372563,"0,4,10,15",0.5912508120120424,"0,4,5,10,15",0.6002609109741344,"15,0,16,4,5,10,14,1,3,8,18,21,17",0.5968605313459991,"15,0,16,4,5,10",0.5998231247690684,"0,1,2,3,4,5,6,8,9,10,13,14,15,16,17,18,21,23,24,25",0.6081282572187371,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",0.6001548658696165,
53,0.5999506462621472,"0,3,4,5,10,15,16",0.5982697677442943,"0,3,4,5,10,15",0.5899621106131323,"0,3,4,10,15",0.5898765676873723,"0,3,4,10,15",0.5999410526629966,"15,0,4,10,16,5,3,1,18,8,21,13",0.5998965490224922,"15,0,4,10,16,5,3",0.5988404536493251,"0,1,3,4,5,6,8,9,10,13,15,16,18,21,24,25",0.6071978109538649,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",0.5991213329133469,
54,0.6000914646157581,"0,3,4,5,10,15,16",0.6001444374287263,"0,3,4,5,10,15,16",0.594469292272571,"0,4,5,10,15",0.5946713343079622,"0,4,5,10,15",0.6016604181817601,"15,0,10,16,5,4,3,1,21,14,12,8",0.5979304932807048,"15,0,10,16,5,4",0.6014937800866944,"0,1,2,3,4,5,6,7,8,10,12,13,14,15,16,17,18,19,20,21,22,24",0.6072510464127024,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",,
55,0.5969004037749475,"0,3,4,5,8,10,15,16",0.5971553887443944,"0,3,4,5,8,10,15,16",0.5934666150492713,"0,4,5,10,15",0.5941609771428177,"0,3,4,5,10,15",0.5976480760732634,"15,0,16,4,5,10,3,8,1",0.5971109857309453,"15,0,16,4,5,10,3,8",0.597426061006018,"0,1,3,4,5,7,8,10,15,16,18,24",0.6100059399001224,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",,
56,0.5974046576052731,"0,3,4,5,10,15",0.5982625142465954,"0,3,4,5,8,10,15",0.5879891286699789,"0,4,10,15",0.5885096184813675,"0,4,5,10,15",0.5996401952814957,"15,0,4,5,16,10,3,8,1,14,25",0.5979407181934279,"15,0,4,5,16,10,3",0.5986271632067602,"0,1,3,4,5,6,8,9,10,14,15,16,17,18,19,25",0.6039646125485023,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",0.5979864989387916,
57,0.5958830222184415,"0,3,4,5,10,15,16",0.5967927076299797,"0,3,4,5,10,15,16",0.5867296782871756,"0,4,10,15",0.5970912396922701,"0,3,4,5,8,10,15,16",0.596720666500077,"15,0,16,4,10,5,3,1,14,8,6,18",0.5963671067112559,"15,0,16,4,10,5,3,1",0.5966781329916475,"0,1,2,3,4,5,6,8,9,10,11,12,14,15,16,17,18,21,25",0.6045417811969993,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",,
58,0.5937153155000924,"0,3,4,5,8,10,15,16",0.5939922573780841,"0,3,4,5,8,10,15,16",0.5862219946865617,"0,3,4,10,15",0.5890389502594227,"0,3,4,5,8,10,15",0.5943298220201108,"15,0,4,16,10,5,3,8,1,14",0.5938739495169941,"15,0,4,16,10,5,3,8",0.5939826431952416,"0,1,3,4,5,8,9,10,13,14,15,16,17,19,21,25",0.6020916723016461,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",0.5924491810318582,
59,0.594407799591867,"0,1,3,4,5,10,15,16",0.5931704032697519,"0,1,3,4,5,10,15",0.5841043312067304,"0,1,4,10,15",0.5840241641182765,"0,1,4,10,15",0.5939667474374497,"15,0,10,4,5,16,1,14,3,8,9",0.5934194272820588,"15,0,10,4,5,16,1,14,3",0.5940048334628614,"0,1,2,3,4,5,8,9,10,11,13,14,15,16,17,18,21,24",0.6056281291132242,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",,
60,0.5972969938694048,"0,3,4,5,8,10,15,16",0.5975106229242333,"0,3,4,5,8,10,15,16",0.5945421634052099,"0,3,4,5,10,15",0.592346413213396,"0,3,4,5,10,15,16",0.5980788815308504,"15,0,16,4,5,10,3,8,1,14,6,18,25",0.5967846033842248,"15,0,16,4,5,10,3",0.5989544148053715,"0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,21,24,25",0.6010859166575326,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",0.5977873031446835,
