simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
74,0.6921323312786113,"2,7,13,29,39,42,45",0.6899624087839369,"2,3,7,13,21,22,29,42,45,60,68",0.6905760634319902,"2,7,13,29,42,45",0.6892180913746997,"2,3,7,13,21,29,42,45",0.6967299607940897,"2,42,13,29,7,39,45,9,68,23,60,49,21,50,69,40,17,30,35,46,63,14,43,34,0,47",0.6940635906268413,"2,42,13,29,7,39,45,9,68,23,60",0.6978460828083216,"0,2,3,7,9,10,13,14,17,21,22,23,29,30,31,35,39,40,42,43,45,46,47,49,50,52,60,63,68,69",0.6966293965009291,"2,3,6,7,9,13,14,17,21,22,23,26,29,30,35,39,40,42,43,45,46,49,50,60,68,69",,
75,0.7033487672463,"2,3,7,13,29,42,43,46,49,60",0.7044500092773445,"2,3,7,13,29,42,43,45,49,60",0.702446527794499,"2,3,7,13,29,42,43,46,49,60",0.7049464534341047,"2,3,7,13,29,42,43,45,49,60",0.7032935280961897,"2,42,13,49,7,29,9,46,60,67,45,0,43,35,68,30,40,17,52,39,19,3,15,50,31,4,36,28,6",0.7008892086779288,"2,42,13,49,7,29,9,46,60,67,45,0,43",0.7086347289953132,"0,2,3,6,7,9,11,13,15,17,19,28,29,30,31,35,38,39,40,41,42,43,45,46,47,49,50,52,60,67,68",0.7098202461399873,"0,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,27,29,30,31,34,35,36,38,39,40,41,42,43,45,46,47,49,50,52,53,60,64,67,68",0.7039054079127958,
76,0.6968986166548355,"2,3,7,9,13,17,29,42,45,49",0.6971261476137601,"2,3,7,9,13,17,29,31,42,45,49",0.6969323515288717,"2,3,7,9,13,17,29,42,45,49",0.6972984108003276,"2,3,7,9,13,17,29,31,42,45,49",0.7026356985308103,"2,42,13,7,9,29,49,45,46,17,40,60,39,66,30,43,35,41,31,68,64,44,3,10,0,36,61,4,19,69,67,52,1",0.6948917505313242,"2,42,13,7,9,29,49,45,46",0.7033814545759921,"0,2,3,7,9,10,13,17,23,29,30,31,35,38,39,40,41,42,43,44,45,46,49,50,60,61,68,69",0.7030685097870611,"2,3,7,9,10,13,17,27,29,30,31,35,39,40,41,42,45,46,49,60,68",0.7009776653600982,
77,0.6902057228998489,"2,3,7,9,13,29,38,42,43,46,49,50",0.6900611802996192,"2,3,7,9,13,29,38,42,43,49,50",0.6907006931699038,"2,7,9,13,29,38,42,46,49,50",0.6899934920575604,"2,3,7,9,13,29,38,42,43,49,50",0.6935273823617133,"2,42,13,49,7,9,29,46,38,43,39,45,68,44,40,14,30,31,37,0,4,12,60,19,50,67,48,47,3,35,53",0.6895217896207132,"2,42,13,49,7,9,29,46,38,43,39",0.6955065583560782,"0,2,3,4,7,9,10,12,13,14,20,21,28,29,30,31,35,38,39,40,42,43,44,45,46,47,48,49,50,53,57,60,67,68",0.6956581518148557,"0,2,3,4,6,7,8,9,11,12,13,14,16,19,21,22,25,29,30,31,35,36,38,39,40,42,43,44,45,46,47,48,49,50,53,55,57,60,67,68",0.6936070570633033,
78,0.6945894025963738,"2,3,7,13,29,42,45,60",0.6931167943823038,"2,3,7,13,29,42,43,45,60",0.6928809082922979,"2,3,7,13,29,42,60",0.692980284591086,"2,3,7,13,29,42,43,45,60",0.6924031240230355,"2,42,13,7,29,3,60,39,43,35,30,45,49,40,46,9,44,68,19,69,20,1,66,53,67,0,31,5,36,34,50,63,64",0.6937477101013002,"2,42,13,7,29,3,60,39,43,35,30,45,49",0.6971993566357197,"0,1,2,3,4,5,6,7,8,9,10,13,17,18,19,20,22,23,28,29,30,31,33,34,35,36,38,39,40,42,43,44,45,46,47,48,49,50,53,60,63,64,65,66,67,68,69",0.7000448431127627,"0,1,2,3,4,5,7,8,9,12,13,17,19,20,22,23,25,26,29,30,31,32,35,38,39,40,41,42,43,44,45,46,49,50,53,55,60,63,64,65,67,68,69",0.6938085382984231,
79,0.692482787990631,"2,7,13,29,39,42,46,50",0.693307544893179,"0,2,3,7,13,29,38,42,50",0.6930939030449287,"2,7,13,29,39,42",0.6933586485910994,"0,2,3,7,13,29,38,42,50",0.6996302079636596,"2,42,13,29,7,39,35,46,50,0,38,68,9,45,49,30,53,43,10,3,40,60,19,67,15,31,37,41,11",0.6965973454468025,"2,42,13,29,7,39,35,46,50,0,38,68,9,45",0.6987422812122933,"0,2,3,6,7,9,10,11,13,15,17,19,21,23,28,29,30,35,38,39,40,41,42,43,44,45,46,49,50,53,60,68",0.6983078997799702,"0,1,2,3,5,7,9,10,13,14,16,19,21,23,27,29,30,35,38,39,40,41,42,44,45,46,49,50,51,53,60,64,68",0.7011569309390304,
80,0.7052788919519812,"2,3,7,13,29,42",0.7042197367506282,"2,3,7,13,17,29,31,42",0.7052065317171935,"2,3,7,13,29,42",0.70417007776597,"2,3,7,13,17,29,31,41,42",0.7053824664056969,"2,42,13,7,29,9,35,49,46,17,39,45,0,31,11,30,40,68,41,50,34,3,69,56,16,63,60,64,6",0.7090728383798686,"2,42,13,7,29,9,35,49,46",0.7092941755686308,"0,2,3,6,7,9,10,11,13,16,17,18,21,22,24,25,29,30,31,34,35,38,39,40,41,42,43,44,45,46,47,48,49,50,53,56,60,61,63,64,67,68,69,70",0.7092565766231039,"0,2,3,4,6,7,8,9,10,11,13,14,16,17,24,26,29,30,31,34,35,39,40,41,42,43,44,45,46,49,50,55,60,65,68,69",0.7070254693838172,
81,0.7038859546331991,"2,3,7,9,13,29,42,46,49,50,68",0.7047082066697236,"2,3,7,9,13,29,42,47,49,50,68",0.7000556187694241,"2,3,7,13,42,49",0.7056005128814768,"2,3,7,9,13,29,42,49,50,68",0.7042312721838222,"2,42,13,7,49,9,68,29,46,50,60,30,45,0,3,35,19,31,67,36,64,63,47,20,69,44,16,28,43,53,25,11",0.7041491885037561,"2,42,13,7,49,9,68,29,46,50,60",0.70825691059672,"0,2,3,5,6,7,9,11,12,13,14,15,16,17,19,20,25,28,29,30,31,32,35,36,38,39,40,41,42,43,44,45,46,47,49,50,53,56,57,60,63,64,66,67,68,69",0.7073157787476861,"0,2,3,7,9,13,14,19,29,30,31,35,38,42,43,44,45,46,47,49,50,60,64,68",0.7051051803293537,
82,0.7008611154722688,"2,3,7,13,29,42,46",0.7017292009741144,"2,3,7,13,29,42,45",0.7009607376121805,"2,13,29,42",0.7008850529475833,"2,3,7,13,29,42",0.7061020144793564,"2,42,13,29,7,46,9,40,45,68,10,35,39,11,19,67,50,0,30,3,53,31,49,36,60,63,27,17,16,56,43,28",0.7013968924932782,"2,42,13,29,7,46,9,40,45",0.7079001413015087,"0,2,3,7,9,10,11,13,17,19,21,28,29,30,31,35,38,39,40,41,42,43,45,46,49,50,53,60,63,67,68",0.7060724446569091,"0,2,3,6,7,8,9,10,11,13,15,17,19,21,25,29,30,31,35,38,39,40,41,42,43,45,46,49,50,57,60,67,68",0.7049234458418141,
83,0.7037791576581459,"2,7,9,13,29,42,50",0.7046262913797726,"2,3,7,9,13,29,42,50",0.7036572217436693,"2,7,9,13,29,42,50",0.7042740320712847,"2,3,7,9,13,29,42,50",0.698921687193734,"2,42,13,29,7,9,50,39,35,45,47,66,30,46,40,68,31,0,19,67,43,48,69,34,36,41,3,61,12,22,63,44",0.7026503591048335,"2,42,13,29,7,9,50,39,35,45,47,66,30,46",0.7076511577494196,"0,2,3,7,9,10,12,13,19,21,22,28,29,30,31,34,35,38,39,40,41,42,43,44,45,46,47,48,49,50,52,61,66,67,68,69",0.7055333234453527,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,19,21,25,29,30,31,32,34,35,38,39,40,41,42,43,44,45,46,47,48,49,50,51,57,61,62,66,67,68,69",0.6989059995322224,
