simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
41,0.6336674166496216,"4,5,8",0.633531056112361,"4,5,8",0.6360537260516806,"4,5",0.6546669393877412,"4,5,8",0.6512238358219131,"4,5,8,7,2",0.6409967955273744,"4,5,8,7",0.654871480193632,"0,2,4,5,6,7,8",0.6745414876934616,"0,2,3,4,5,7,8",0.6601213608781619,
42,0.6811433873385198,"2,4,5",0.6743630004996074,"2,4,5,8",0.6800371136963814,"2,4,5",0.6797516237242167,"2,4,5",0.6747912354578546,"4,5,2,8,7",0.6810720148454785,"4,5,2",0.686532010563129,"0,1,2,3,4,5,6,7,8",0.673435158090072,"2,4,5,7,8",0.6868175005352937,
43,0.6728407836644592,"2,4,5",0.6727028145695364,"2,4,5",0.6711161699779249,"2,4,5",0.6734616445916115,"2,4,5",0.6888796909492274,"4,5,2,6,8,7",0.6754621964679912,"4,5,2",0.6810844370860927,"2,4,5,6,8",0.6764624724061811,"2,4,5,6,8",0.6825331125827815,
44,0.6754901960784314,"2,4,5",0.6746788370520622,"2,4,5",0.6753549695740365,"2,4,5",0.6727180527383367,"2,4,5",0.6596348884381339,"4,5,2,3,6",0.6544286680189317,"4,5,2,3",0.6740365111561866,"0,2,3,4,5,6,7,8",0.6759296822177147,"1,2,3,4,5,6,7,8",0.6753887762001353,
45,0.6528581885938644,"2,4,5",0.6525920010647501,"2,4,5",0.6687296200173022,"4,5",0.6586810407932389,"2,4,5",0.652691821388168,"4,5,2,6,3",0.652458907300193,"4,5,2",0.6545551340919677,"2,3,4,5,6,7,8",0.6858321687628934,"0,1,2,3,4,5,6,7,8",0.648699008451454,
46,0.6472824274758253,"4,5,6,8",0.6468822940980327,"4,5,6,8",0.6614871623874625,"4,5",0.6478492830943647,"4,5,6,8",0.6543514504834945,"4,5,8,6,2",0.6510503501167055,"4,5,8",0.6626875625208403,"0,1,2,3,4,5,6,7,8",0.6549516505501833,"0,2,4,5,6,8",0.6656885628542848,
47,0.6783060921248143,"2,4,5",0.6776306902607051,"2,4,5",0.6641901931649331,"2,4,5",0.6717546940429555,"2,4,5",0.6830001350803728,"4,5,2,8,7",0.6789139538025125,"4,5,2",0.677326759421856,"2,4,5,6,8",0.6700661893826827,"1,2,3,4,5,6,7,8",0.6914088882885316,
48,0.660884030418251,"2,4,5",0.6598655621944596,"4,5",0.6561990765888104,"4,5",0.6627172732210755,"2,4,5",0.660884030418251,"4,5,2",0.660884030418251,"4,5,2",0.6686583378598587,"1,2,3,4,5,6,7,8",0.6642110266159695,"2,4,5,6,7,8",0.6688620315046171,
49,0.6682283074892774,"2,4,5,6",0.6682283074892774,"2,4,5,6",0.6780270537776312,"4,5",0.6682283074892774,"2,4,5,6",0.673705047838997,"4,5,2,6,7,8",0.6680303530188056,"4,5,2,6",0.668294292312768,"0,1,2,3,4,5,6,7,8",0.6701418673705047,"0,2,3,4,5,6",0.6673705047838997,
50,0.659419337887546,"4,5",0.6432277982133473,"4,5,8",0.6601418812401472,"4,5",0.6600761954808197,"4,5",0.6482856016815555,"4,5,8,7",0.659419337887546,"4,5",0.6664477141355754,"0,2,3,4,5,6,7,8",0.6533105622700999,"4,5,6,8",0.6684839726747241,
51,0.6683460141202275,"4,5",0.6684831037082734,"4,5",0.6560422235931181,"4,5",0.6520323531427789,"4,5",0.6889779971211186,"4,5,2",0.668688738090342,"4,5",0.6640619644937967,"2,4,5,6",0.6727671533347043,"0,1,2,3,4,5,6,7,8",0.7102611556652272,
52,0.6515539785794073,"2,4,5",0.6467244891254353,"2,4,5,6",0.6549379065641632,"2,4,5",0.6485314409619555,"2,4,5,6",0.6440961955450424,"4,5,2,6,8",0.6474472698600434,"4,5,2,6",0.648301465273671,"2,4,5,6,8",0.6707733753860307,"0,2,3,4,5,6,8",0.6528681253696038,
53,0.6443115707821591,4,0.6245959922430511,"4,6",0.6433096315449257,"2,4",0.6527795733678087,"2,4,6",0.7016160310277957,"4,5,2,6,8,7",0.6915966386554622,"4,5,2,6",0.6846800258564965,"2,4,5,6,8",0.687136393018746,"0,2,4,5,6,8",0.7042663219133808,
54,0.7062525375558262,"4,5",0.694038435512248,"4,5,6",0.707673568818514,"4,5",0.6819935038570849,"4,5,6",0.6874407903640547,"4,5,2,8,7,6",0.7065232101772906,"4,5",0.6869671132764921,"0,1,2,3,4,5,6,7,8",0.6395994045202328,"0,1,2,3,4,5,6,7,8",0.6846663959940452,
55,0.6558861142895605,"4,5,6",0.6564918893450898,"4,5,6",0.6526216598236522,"4,5",0.6539341724439658,"4,5,6",0.6699199030759911,"4,5,6,2",0.6566265060240963,"4,5,6",0.6617082856565929,"2,4,5,6",0.6835161876556506,"0,1,2,3,4,5,6,7,8",0.6834488793161473,
56,0.6644910382144065,"4,5",0.6649644910382144,"2,4,5",0.6658099425092999,"2,4,5",0.6657761244504565,"2,4,5",0.6718633750422726,"4,5,2,6",0.6649644910382144,"4,5,2",0.6750760906323977,"0,1,2,3,4,5,6,7,8",0.6722353736895502,"2,3,4,5,6,7,8",0.6748055461616503,
57,0.694887856132552,"4,5",0.6945510877618374,"4,5",0.6876810129992591,"4,5",0.688758671785546,"4,5",0.701589546709773,"4,5,2",0.701589546709773,"4,5,2",0.7019599919175591,"0,1,2,3,4,5,6,7,8",0.6840439145955411,"0,1,2,3,4,5,6,7,8",0.7018926382434162,
