simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
85,0.7401869158878505,68,0.7532710280373832,"11,68",0.5,68,0.7514018691588785,"11,68",0.6485981308411215,"68,29,37,4,71,38,14,25,11,63,35,3,34,41,24,42,12,27,7,59,52,15,60,32,0,44,2,1,13",0.7962616822429907,"68,29,37,4,71,38,14,25,11,63,35,3,34",0.7214953271028037,"1,11,37,68,71",0.7420560747663552,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74",0.8317757009345794,
86,0.7368421052631579,68,0.7368421052631579,68,0.5,68,0.7114337568058077,68,0.6388384754990926,"68,29,37,17,69,72,32,16,38,36,31,18,28,58,57,5,54,9",0.7295825771324864,"68,29,37,17,69",0.7749546279491834,"1,3,4,5,7,8,17,25,27,29,32,36,37,38,40,45,57,62,64,68,71,72",0.7658802177858439,"1,3,4,5,17,25,27,29,32,36,37,38,40,45,57,62,64,68,71,72",0.7023593466424682,
87,0.6953528399311532,68,0.6953528399311532,68,0.6953528399311532,68,0.6953528399311532,68,0.6643717728055077,"68,35,63,2,1,4,29,18,8,64,58,11,50,41,5,57,66,62,56",0.6523235800344234,"68,35,63,2,1,4,29,18,8,64,58,11,50,41,5,57",0.5783132530120482,"0,1,2,4,5,8,14,17,18,23,24,28,29,31,34,35,41,45,49,50,56,57,62,63,64,67,68,69,73",0.5886402753872634,"0,1,2,4,5,8,14,17,18,23,24,28,29,31,34,35,41,45,49,50,56,57,62,63,64,67,68,69,73",0.5593803786574871,
88,0.5627240143369175,"1,11",0.5609318996415771,"1,11",0.5627240143369175,"1,11",0.5609318996415771,"1,11",0.6532258064516129,"1,11,50,19,49,41,4,45,18,42,38,24,10,23,63,72,56,14,47,17,12,27,40,59,30,37,13,2,35,51",0.6164874551971327,"1,11,50,19,49,41,4,45,18,42,38,24,10,23",0.7060931899641577,"1,4,10,11,14,19,24,30,35,37,38,41,42,45,50,54,62,64,68,73",0.7007168458781362,"1,4,10,11,14,19,24,30,35,37,38,41,42,43,45,49,50,54,61,62,64,68,73",0.460573476702509,
89,0.5142857142857142,53,0.4839285714285714,"11,26,53",0.5142857142857142,53,0.4839285714285714,"11,26,53",0.6205357142857143,"53,61,45,4,63,11,66,36,2,25,14,26,32,50,19,38,47,24,43,0,9,52,34,40,31,46,7,71,8,69,54",0.575,"53,61,45,4,63,11,66,36,2,25,14,26,32,50,19,38,47,24,43,0,9",0.675,"0,4,7,8,9,11,12,14,17,18,19,22,23,24,25,26,28,29,31,32,34,35,36,37,38,40,42,43,45,47,48,50,51,52,53,54,59,63,64,65,66,68,69,71",0.6982142857142857,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74",0.7232142857142857,
90,0.72875226039783,"64,68",0.6419529837251357,11,0.7269439421338155,"64,68",0.5,11,0.488245931283906,"68,64,29,66,48,63,9,69,47,71,60,25,22,31,7,35,0,12,52,3,1,44,37,16",0.5108499095840868,"68,64,29,66,48,63,9,69,47,71,60,25,22,31,7,35,0,12,52,3,1,44",0.6817359855334539,"1,11,64,68",0.6817359855334539,"1,11,64,68",0.6003616636528029,
91,0.7418772563176895,68,0.7527075812274369,"37,68",0.7418772563176895,68,0.7527075812274369,"37,68",0.5839350180505415,"68,29,64,24,5,37,14,27,0,10,32,54,72,58,50,44,7,15,3,53,66,6,36,52,60,42,46",0.723826714801444,"68,29,64,24,5,37,14,27,0,10",0.7509025270758123,"0,3,4,5,10,11,14,24,25,27,29,32,35,36,37,38,42,45,48,50,51,52,54,57,58,64,68,69,72,73",0.7563176895306859,"0,1,3,4,5,6,10,11,12,14,15,17,19,20,21,22,23,24,25,27,29,32,35,36,37,38,39,42,43,45,47,48,50,51,52,53,54,56,57,58,63,64,65,67,68,69,71,72,73",0.6371841155234657,
92,0.7216494845360825,"1,68",0.7250859106529209,"1,68",0.5,"1,68",0.7225085910652921,"1,68",0.6786941580756014,"68,1,45,36,35,23,72,38,6,71,51,37,63,47,34,52,32,50,3,49,25,26,20,43,13,74,28,57,48,40",0.7594501718213058,"68,1,45,36,35,23,72,38,6,71,51,37,63,47,34,52,32,50,3,49,25,26,20",0.7594501718213058,"1,3,4,5,6,8,10,11,23,25,27,28,35,36,37,38,41,45,51,52,54,57,63,68,71,72,73,74",0.7542955326460481,"1,3,4,5,6,8,11,23,25,35,36,37,38,45,54,57,63,68,72,73,74",0.654639175257732,
93,0.5071174377224199,"1,2",0.5,,0.5,"1,2",0.5,,0.7322064056939501,"68,2,25,14,64,36,1,23,63,41,69,11,4,19,53,24,5,35,72,37,45,20,48,46,39,55,27,65,58",0.7633451957295374,"68,2,25,14,64,36,1,23,63,41,69,11,4,19,53",0.7259786476868327,"1,2,4,6,8,11,14,19,23,25,26,29,31,32,35,36,38,41,42,45,48,51,53,54,58,61,62,63,67,68,69,72,73,74",0.7099644128113879,"1,2,3,4,6,8,11,12,13,14,15,18,19,20,22,23,24,25,27,28,29,31,32,33,34,35,36,37,38,40,41,42,43,45,46,47,48,50,51,52,53,54,55,56,57,58,60,61,62,63,64,65,67,68,69,72,73,74",0.6903914590747331,
94,0.7088122605363985,68,0.7088122605363985,68,0.7088122605363985,68,0.7088122605363985,68,0.7567049808429118,"68,64,38,56,37,63,11,35,1,54,58,74,71,4,19,9,45,3,18,62,27,33,32,46,44,25,69,59,51,49,55,50,13",0.7432950191570882,"68,64,38,56,37,63,11,35,1",0.7739463601532567,"0,1,4,6,8,11,14,19,24,25,30,32,33,35,36,37,38,39,41,45,47,49,50,51,52,53,54,56,59,63,64,65,68,71,74",0.7931034482758621,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74",0.5900383141762452,
95,0.7087033747779752,68,0.7033747779751333,"11,68",0.5,68,0.7033747779751333,"11,68",0.5746003552397868,"68,6,64,21,71,24,41,26,55,25,22,52,62,56,36,69,72,35,0,23,2,48,17,50,30,73,1,10,51,5,19",0.4920071047957371,"68,6,64,21,71,24,41,26,55,25,22,52,62,56,36,69,72,35,0,23",0.6305506216696269,"0,1,4,5,6,11,21,23,24,35,37,38,41,42,45,50,52,57,61,62,63,64,68,71,72,73",0.6607460035523979,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74",0.5559502664298401,
96,0.654296875,37,0.74609375,"37,68",0.654296875,37,0.7451171875,"37,68",0.6025390625,"37,24,14,68,29,63,64,3,65,27,5,7,54,48,28,58,39,69,67,35,53,25,11",0.64453125,"37,24,14,68,29,63,64,3,65,27,5,7,54,48,28,58",0.66796875,"0,3,4,5,7,8,10,12,13,14,15,17,18,19,20,22,24,25,26,27,29,30,31,32,33,34,35,36,37,38,39,41,43,45,46,47,48,49,50,51,54,55,56,58,59,60,63,64,65,66,67,68,71,72,73",0.697265625,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74",0.4921875,
97,0.5048732943469786,"11,64",0.5029239766081871,"11,64",0.428849902534113,64,0.5048732943469786,"11,64",0.6861598440545809,"64,19,45,17,8,29,1,61,14,73,7,63,35,52,71,70,11,51,47,4,33,56,54,53,49,57,3",0.5964912280701754,"64,19,45,17,8,29,1,61,14,73,7",0.6237816764132553,"0,1,3,4,6,8,10,11,14,17,19,23,29,35,37,38,41,45,57,63,64,69,70,71,73",0.6354775828460039,"0,1,3,4,6,8,10,11,14,16,17,19,23,29,33,35,37,38,41,45,53,56,57,63,64,69,70,71,73",0.7407407407407407,
98,0.5,,0.5,,0.5,,0.5,,0.7611111111111111,"68,14,1,19,61,63,69,29,71,56,54,37,32,60,51,45,36,42,23,73,47,6,48,18,39,53,43,34",0.7185185185185186,"68,14,1",0.762962962962963,"1,68",0.762962962962963,"1,68",0.6388888888888888,
99,0.7060869565217391,68,0.7060869565217391,68,0.7060869565217391,68,0.7060869565217391,68,0.611304347826087,"68,69,6,71,28,21,25,2,36,29,61,7,48,55,5,24,42,18,13,59,8,3,52,12,19,34,50",0.5808695652173913,"68,69,6,71,28,21,25,2,36,29,61,7",0.6991304347826087,"2,3,4,5,6,7,9,11,14,17,21,23,24,25,29,30,32,33,35,36,37,42,45,50,52,53,56,59,61,63,64,68,69,71,73",0.7060869565217391,68,0.64,
