simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
69,0.8053359683794467,"7,10,16",0.825592885375494,"5,6,7,9,10,16",0.7989130434782609,"7,10,16",0.8144762845849802,"5,7,9,10,16",0.8300395256916996,"7,16,10,15,12,9",0.8053359683794467,"7,16,10",0.8270750988142292,"1,5,6,7,9,10,12,15,16",0.849802371541502,"1,2,3,5,6,7,9,10,12,13,15,16",0.8404150197628458,
70,0.8593676262387919,"6,7,9,10,16",0.8508730533270411,"1,3,6,7,9,10,15,16",0.832468145351581,"6,7,10,16",0.8468617272298253,"1,3,6,7,9,10,15,16",0.8371873525247758,"7,9,16,10,15",0.8371873525247758,"7,9,16,10,15",0.8466257668711656,"0,1,3,4,6,7,8,9,10,11,12,13,15,16",0.8395469561113733,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",0.8334119867862199,
71,0.8351593625498008,"1,6,7,9,10,16",0.8371513944223108,"1,4,6,7,9,10,16",0.8296812749003984,"1,7,9,10,16",0.8249501992031872,"1,3,4,5,6,7,9,10,16",0.8346613545816733,"7,16,9,10,1,6",0.8316733067729084,"7,16,9,10,1",0.8456175298804781,"1,4,6,7,9,10,15,16",0.8391434262948207,"1,4,5,6,7,9,10,16",,
72,0.7891028651949272,"1,3,7",0.8435885392202912,"1,3,6,7,9,10,15,16",0.7738374823860967,"1,7",0.8334899013621418,"1,3,6,7,9,10,15,16",0.8130577736026303,"7,1,9,15,12,16",0.7792390793799906,"7,1,9,15,12",0.8421794269610146,"0,1,3,6,7,8,9,10,12,15,16",0.8388914983560357,"1,3,6,7,9,10,12,15,16",0.8125880695162048,
73,0.8295036764705882,"3,5,7,9,10",0.8446691176470589,"3,5,6,7,9,10,16",0.8423713235294118,"3,7,9,10",0.8446691176470589,"3,5,6,7,9,10,16",0.8492647058823529,"7,9,10,1,3,5,2",0.8492647058823529,"7,9,10,1,3,5,2",0.8685661764705882,"1,2,3,5,6,7,9,10,15,16",0.8602941176470589,"1,3,5,6,7,9,10,15,16",0.859375,
74,0.8456046407853637,"1,7,9,10,16",0.8558679161088799,"1,3,6,7,9,10,15,16",0.8221775992860331,"3,7,10,16",0.8554216867469879,"1,3,6,7,9,10,15,16",0.8491744756804998,"10,9,7,16,1,12,15",0.8456046407853637,"10,9,7,16,1",0.8527443105756358,"0,1,2,3,6,7,9,10,11,12,13,15,16",0.8670236501561803,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16",0.8380187416331994,
75,0.829064039408867,"7,9,10,15,16",0.8177339901477833,"3,7,9,10,12,15,16",0.8305418719211822,"3,7,9,10,15,16",0.81871921182266,"3,7,9,10,12,15,16",0.854679802955665,"7,16,10,15,9,12,1",0.854679802955665,"7,16,10,15,9,12,1",0.8561576354679803,"1,2,3,5,7,9,10,12,15,16",0.8472906403940886,"1,2,3,5,7,9,10,11,12,15,16",0.8413793103448276,
76,0.8367528991971455,"1,7,9,10,16",0.8550401427297056,"1,6,7,9,10,16",0.7508920606601249,"7,9,16",0.7979482604817127,"1,3,6,7,9,10,16",0.8528099910793934,"7,16,9,1,10,12,6",0.8349687778768956,"7,16,9,1,10,12",0.8487957181088314,"0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16",0.8447814451382694,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",0.8505798394290812,
77,0.8322324966974901,"6,7,9,15",0.8608542492294143,"3,6,7,9,10,15",0.8218846323205636,"6,7,9,15",0.8612945838837517,"3,6,7,9,10,15",0.8494055482166446,"7,9,6,15,10,12,8,1",0.8326728313518273,"7,9,6,15",0.8652575957727873,"1,3,6,7,9,10,12,15,16",0.8529282254513431,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,
78,0.8124721603563474,"7,9,10,16",0.8360801781737194,"6,7,9,10,15,16",0.8033407572383073,"7,9,10,16",0.8171492204899777,"5,6,7,9,10,15,16",0.8240534521158129,"7,10,9,16,6,13",0.8120267260579065,"7,10,9,16",0.8432071269487751,"1,2,5,6,7,9,10,11,12,13,15,16",0.8472160356347439,"1,2,3,4,5,6,7,8,9,10,12,13,15,16",0.8383073496659242,
