simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,HarderLASSO_l1_mse,HarderLASSO_l1_features,HarderLASSO_nu_mse,HarderLASSO_nu_features
0,99.40018563642917,"6,8,22,25,27,30",69.22615622645104,"6,8,22,25,27,30",12.426518802897645,"0,2,3,4,6,7,8,10,12,13,14,15,17,19,20,21,22,23,25,27,28,29,30,33,35,36,37,40,41,42,43,44,46,47,48",234.09866139397872,,0.04657477700531838,"6,8,22,25,27,30"
1,109.26428392969828,"3,13,14,23,27,28,38",74.30807127931094,"3,14,23,27,28,38",12.639419943739325,"0,3,4,5,6,7,9,11,13,14,17,19,20,23,24,25,27,28,33,35,37,38,39,40,42,45,47",224.40412539880387,,0.036870626679214626,"3,14,23,27,28,38"
2,84.84209101370064,"3,7,13,26,31,33",58.50452324655025,"3,7,13,26,31,33",5.703512520602993,"0,2,3,4,5,6,7,8,9,10,13,16,18,19,20,21,22,23,24,26,27,29,30,31,33,36,37,43,45,46,47,48,49",206.85068472946983,,0.07196019970310037,"3,7,13,26,31,33"
3,90.48421936945827,"4,10,12,27,32,41",63.26363763427362,"4,10,12,27,32,41",14.10963286426316,"0,1,2,3,4,5,6,7,10,11,12,15,16,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,39,40,41,42,45,47,48,49",219.4252199644193,,0.05728151161241289,"4,10,12,27,32,41"
4,85.4029129761637,"0,10,23,35,42,48",65.86786211616655,"0,10,23,35,42,48",3.8139805760841727,"0,1,3,5,10,12,13,16,17,21,22,23,25,26,27,30,31,35,42,45,48",226.7282382115226,,0.10531723243158995,"0,10,23,35,42,48"
5,91.59356654152883,"11,14,22,31,38,47",63.69342668504213,"11,14,22,31,38,47",16.39360606701643,"0,2,3,5,7,9,10,11,13,14,16,17,18,20,22,25,26,27,28,31,32,34,36,37,38,40,41,44,45,46,47,48,49",214.89848232415528,,0.07862197874616576,"11,14,22,31,38,47"
6,93.9527333260425,"6,21,24,28,41,47",62.786392307716085,"6,21,24,28,41,47",25.642071250157723,"0,3,5,6,10,11,12,13,14,15,17,18,19,20,21,22,23,24,27,28,30,31,32,33,34,35,38,39,40,41,43,44,46,47,48",229.843501311934,,0.10754837362375773,"6,21,24,28,41,47"
7,78.79862933684277,"0,11,20,30,33,39",105.19701783493664,"11,20,30,33,39",5.745892325744143,"0,9,11,17,20,24,30,33,34,35,39,44",207.83272232886247,,0.07063705229565785,"0,11,20,30,33,39"
8,83.58734855107902,"13,25,31,34,36,49",63.84637701333492,"13,25,31,34,36,49",5.7264328184823645,"0,3,4,5,10,12,13,14,17,18,19,20,23,24,25,28,30,31,32,33,34,35,36,37,38,41,42,43,44,47,48,49",191.93740636755908,"25,31",0.07216502419403573,"13,25,31,34,36,49"
9,81.60946950932036,"12,14,20,22,25,39",62.73226444015616,"12,14,20,22,25,39",9.559060731161331,"3,5,7,8,9,10,12,14,16,17,20,22,23,24,25,28,29,30,36,37,38,39,40,42,44,47,49",214.17466543202846,,0.08429827071849756,"12,14,20,22,25,39"
